substrate,site_truth,site_count
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC,C#C[C@]1([O:1]C(C)=O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC,1
CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)[OH:1])CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1|CC(C)(O)c1ccccc1CC[C@H](c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1)[S:1]CC1(CC(=O)O)CC1|CC(C)(O)c1ccccc1[CH2:1]C[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1|CC(O)(c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1)[CH3:1],4
CC(C)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1,CC(C)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCC[CH2:1]2)cc1|CC(C)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CC[CH2:1]C2)cc1|CC(C)CN[CH2:1]c1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1|CC(C)C[NH:1]Cc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1|CC(CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1)[CH3:1]|C[CH:1](C)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1,6
CC(CN1c2ccccc2Sc2ccccc21)N(C)C,CC(CN1c2ccccc2S[c:1]2[cH:1][cH:1][cH:1][cH:1][c:1]21)N(C)C|CC(CN1c2ccccc2Sc2ccccc21)[N:1](C)C|CC(CN1c2ccccc2[S:1]c2ccccc21)N(C)C,3
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,CC1(C)CC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)[CH2:1]C1|CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)[CH2:1]1|CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)[CH2:1]C2)=C(c2ccc(Cl)cc2)C1|CC1(C)CCC(C[N:1]2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1|CC1([CH3:1])CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,5
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3cc[c:1]([OH:1])[cH:1]c3)C(=O)N2[C@H]1C(=O)O|CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H:1]1C(=O)O|CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O|CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc([OH:1])cc3)C(=O)N2[C@H]1C(=O)O|CC1([CH3:1])S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,5
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,CCC1(c2cc[cH:1]cc2)C(=O)NC(=O)NC1=O,1
CCC1Oc2ccccc2C1C(=O)c1cc(Br)c(O)c(Br)c1,CCC1Oc2c[cH:1]ccc2C1C(=O)c1cc(Br)c(O)c(Br)c1|CCC1Oc2ccccc2C1C(=O)c1cc(Br)c(O)c(Br)c1|CCC1Oc2ccccc2C1C(=[O:1])[c:1]1cc(Br)c(O)c(Br)c1,3
CCCCCCCCc1ccc(CCC(N)(CO)CO)cc1,CCCCCCCCc1ccc(CCC(N)(CO)C[OH:1])cc1,1
CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1,CCCCNc1ccc(C(=O)[O:1]CCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1,1
