SMILES,metabolite,predict_site
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC,CC(=O)O[C@@]1(C#C)CC[C@@H]2[C@]1(CC)CC[C@@H]1[C@@H]3C(=C/C(=N/[OH:1])CC3)CC[C@@H]21|CC(=O)O[C@@]1(C#C)CC[C@@H]2[C@]1(CC)CC[C@@H]1[C@@H]3C(=C/[C:1](=N/O)CC3)CC[C@@H]21|C#C[C@]1(OC([CH3:1])=O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@]12CC|C([C@]1(OC(C)=O)CC[C@H]2[C@H]3[C@@H]([C@H]4CC/C(=N\O)C=C4[CH2:1]C3)CC[C@]12CC)#C|C1CC2=C/C(=N/O)CC[C@@H]2[C@@H]2[C@@H]1[C@H]1[C@@](CC)([C@](O[C:1](=O)C)(C#C)CC1)CC2|C([C@]1(OC(C)=O)CC[C@H]2[C@H]3[C@@H]([C@H]4CC/C(=N\O)C=C4[CH2:1]C3)CC[C@]12CC)#C|C1CC2=C/C(=N/O)CC[C@@H]2[C@@H]2[C@@H]1[C@H]1[C@@](CC)([C@](O[C:1](=O)C)(C#C)CC1)CC2|C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@]12[CH2:1]C|[C@]12(C[CH3:1])CC[C@@H]3[C@@H]4C(=C/C(=N/O)CC4)CC[C@H]3[C@@H]1CC[C@@]2(OC(C)=O)C#C|C1CC2=C/C(=N/O)CC[C@@H]2[C@@H:1]2[C@@H]1[C@H]1[C@@](CC)([C@](OC(=O)C)(C#C)CC1)CC2|C1CC2=C/C(=N/O)CC[C@@H]2[C@@H:1]2[C@@H]1[C@H]1[C@@](CC)([C@](O[C:1](=O)C)(C#C)CC1)CC2|C([C@]1(OC(C)=O)CC[C@H]2[C@H]3[C@@H]([C@H]4CC/C(=N\O)C=C4[CH2:1]C3)CC[C@]12CC)#C
CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)OC2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1|CC(O)(CO)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1|CC(C)(O)c1ccccc1[C@H](O)C[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1|CC(C)(O)c1ccccc1CC[C@H](c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1)S(=O)CC1(CC(=O)O)CC1|CC(C)(O)c1ccccc1CC[C@H](c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1)[S+](O)CC1(CC(=O)O)CC1|CC(C)(O)c1ccccc1[C@@H](O)C[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,CC([CH3:1])(O)C1=CC=CC=C1CC[C@@H](SCC1(CC(=O)O)CC1)C1=CC=CC(/C=C/C2=CC=C3C=CC(Cl)=CC3=N2)=C1|CC(C)(O)C1=CC=CC=C1CC[C@@H](SCC1(CC(=O)O)CC1)C1=CC=CC(/C=C/C2=CC=C3[CH:1]=[CH:2]C(Cl)=CC3=N2)=C1|CC(C)(O)C1=CC=CC=C1CC[C@@H](SCC1(CC(=O)[OH:1])CC1)C1=CC=CC(/C=C/C2=CC=C3C=CC(Cl)=CC3=N2)=C1|CC(C)(O)C1=CC=CC=C1CC[C@@H](S[CH2:1]C1(CC(=O)O)CC1)C1=CC=CC(/C=C/C2=CC=C3C=CC(Cl)=CC3=N2)=C1|CC(C)(O)C1=CC=CC=C1CC[C@@H]([S:1]CC1(CC(=O)O)CC1)C1=CC=CC(/C=C/C2=CC=C3C=CC(Cl)=CC3=N2)=C1|C1([C@@H](CCC2=C(C(O)(C)C)C=CC=C2)SCC2(CC(=O)O)CC2)=CC(/C=C/C2=CC=C3C(=N2)C=C(Cl)C=C3)=CC=[CH:1]1|CC(C)(O)C1=CC=CC=C1CC[C@@H](SCC1(CC(=O)O)C[CH2:1]1)C1=CC=CC(/C=C/C2=CC=C3C=CC(Cl)=CC3=N2)=C1|C1=CC=C(/C=C/C2=NC3=C(C=C2)C=CC(Cl)=C3)C=C1[C@H:1](SCC1(CC(=O)O)CC1)CCC1=CC=CC=C1C(C)(O)C|C1(Cl)=CC=C2C=CC(/C=C/C3=CC([C@H](SCC4(CC(O)=O)CC4)CCC4=C(C(C)(C)O)C=CC=[CH:1]4)=CC=C3)=NC2=C1|C1(Cl)=CC=C2C(=C1)N=C(/C=C/C1=CC=CC([C@@H](CCC3=C(C(C)([CH3:1])O)C=CC=C3)SCC3(CC(=O)O)CC3)=C1)C=C2|C1=CC2=C(C=C1Cl)N=C(/C=C/C1=CC([C@@H](CCC3=C(C(C)(O)C)C=CC=C3)SCC3(CC(O)=O)CC3)=CC=C1)[CH:1]=[CH:2]2|C1([C@@H](CCC2=C(C(O)(C)C)C=CC=C2)SCC2(CC(=O)O)C[CH2:1]2)=CC(/C=C/C2=CC=C3C(=N2)C=C(Cl)C=C3)=CC=C1|C1([C@@H](CCC2=C(C(O)(C)C)C=C[CH:1]=C2)SCC2(CC(=O)O)CC2)=CC(/C=C/C2=CC=C3C(=N2)C=C(Cl)C=C3)=CC=C1
CC(C)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1,CC(C)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2O)cc1|NCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1|CC(C)CNC(=O)c1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1|CC(C)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCC(O)C2)cc1|CC(CO)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1|CC(C)(O)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1,CC(C)CNCC1=CC=C(C2=CC=CC=C2S(=O)(=O)N2CCC[CH2:1]2)C=C1|CC(C)CN[CH2:1]C1=CC=C(C2=CC=CC=C2S(=O)(=O)N2CCCC2)C=C1|C[CH:1](C)CNCC1=CC=C(C2=CC=CC=C2S(=O)(=O)N2CCCC2)C=C1|CC(C)CNCC1=CC=C(C2=CC=CC=C2S(=O)(=O)N2CCC[CH2:1]2)C=C1|CC(C)CN[CH2:1]C1=CC=C(C2=CC=CC=C2S(=O)(=O)N2CCCC2)C=C1|[CH3:1]C(C)CNCC1=CC=C(C2=CC=CC=C2S(=O)(=O)N2CCCC2)C=C1|CC(C)CNCC1=CC=C(C2=CC=CC=C2S(=O)(=O)N2CC[CH2:1]C2)C=C1|CC(C)[CH2:1]NCC1=CC=C(C2=CC=CC=C2S(=O)(=O)N2CCCC2)C=C1|CC(C)C[NH:1]CC1=CC=C(C2=CC=CC=C2S(=O)(=O)N2CCCC2)C=C1|N1([S:1](=O)(C2=CC=CC=C2C2=CC=C(CNCC(C)C)C=C2)=O)CCCC1|CC(C)C[NH:1]CC1=CC=C(C2=CC=CC=C2S(=O)(=O)N2CCCC2)C=C1|C(C1=CC=C(C2=CC=CC=C2S(=O)(=O)N2CCCC2)C=C1)[NH:1]CC(C)C|O=S(N1CCCC1)(C1=CC=CC=C1C1=CC=C(C[NH:1]CC(C)C)C=C1)=O|CC([CH3:1])CNCC1=CC=C(C2=CC=CC=C2S(=O)(=O)N2CCCC2)C=C1|CC([CH3:1])CNCC1=CC=C(C2=CC=CC=C2S(=O)(=O)N2CCCC2)C=C1
CC(CN1c2ccccc2Sc2ccccc21)N(C)C,CC(CN1c2ccccc2S(=O)c2ccccc21)N(C)C|CNC(C)CN1c2ccccc2Sc2ccccc21|CC(CN1c2ccccc2SC2C=CC(O)=CC21)N(C)C,CC(CN1C2=CC=CC=C2[S:1]C2=CC=CC=C12)N(C)C|CC(CN1C2=CC=CC=C2[S:1]C2=CC=CC=C12)N(C)C|CC(CN1C2=CC=[CH:1]C=C2SC2=CC=CC=C12)N(C)C|CC(CN1C2=CC=CC=C2[S:1]C2=CC=CC=C12)N(C)C|C12=CC=CC=C1SC1=C([CH:1]=CC=C1)N2CC(N(C)C)C|CC(CN1C2=CC=CC=C2SC2=CC=[CH:1]C=C12)N(C)C|C12=CC=CC=C1SC1=C([CH:1]=[CH:2]C=C1)N2CC(N(C)C)C|CC(CN1C2=CC=CC=C2SC2=CC=CC=C12)[N:1](C)C|CC(CN1C2=CC=CC=C2SC2=CC=CC=C12)[N:1](C)C|CC([CH2:1]N1C2=CC=CC=C2SC2=CC=CC=C12)N(C)C|C12=CC=CC=C1SC1=C(C=C[CH:1]=C1)N2CC(N(C)C)C|N1(CC(N(C)C)C)C2=C(C=CC=C2)SC2=C1C=C[CH:1]=[CH:2]2|[CH:1]1=CC=CC2=C1SC1=CC=CC=C1N2CC(N(C)C)C|S1C2=C(C=CC=C2)N(CC(C)N(C)C)C2=CC=[CH:1]C=C12
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1O|CC1(CO)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1|CC1(C)CCC(C[N+]2([O-])CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1|CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)C(=O)C2)=C(c2ccc(Cl)cc2)C1|CC1(C)CC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)C(O)C1,CC1(C)CCC(CN2CCN(C3=CC=C(C(=O)NS(=O)(=O)C4=CC=C(N[CH2:1]C5CCOCC5)C([N+](=O)[O-])=C4)C(OC4=CN=C5NC=CC5=C4)=C3)CC2)=C(C2=CC=C(Cl)C=C2)C1|CC1(C)CCC([CH2:1]N2CCN(C3=CC=C(C(=O)NS(=O)(=O)C4=CC=C(NCC5CCOCC5)C([N+](=O)[O-])=C4)C(OC4=CN=C5NC=CC5=C4)=C3)CC2)=C(C2=CC=C(Cl)C=C2)C1|CC1(C)CCC(CN2CCN(C3=CC=C(C(NS(=O)(=O)C4=CC([N+:1]([O-])=O)=C(NCC5CCOCC5)C=C4)=O)C(OC4=CN=C5NC=CC5=C4)=C3)CC2)=C(C2=CC=C(Cl)C=C2)C1|CC1([CH3:1])CCC(CN2CCN(C3=CC=C(C(=O)NS(=O)(=O)C4=CC=C(NCC5CCOCC5)C([N+](=O)[O-])=C4)C(OC4=CN=C5NC=CC5=C4)=C3)CC2)=C(C2=CC=C(Cl)C=C2)C1|CC1(C)CCC(CN2CCN(C3=CC=C([C:1](=O)NS(=O)(=O)C4=CC=C(NCC5CCOCC5)C([N+](=O)[O-])=C4)C(OC4=CN=C5NC=CC5=C4)=C3)CC2)=C(C2=CC=C(Cl)C=C2)C1|C1=CC2=C(N1)N=C[C:1](OC1=CC(N3CCN(CC4=C(C5=CC=C(Cl)C=C5)CC(C)(C)CC4)CC3)=CC=C1C(=O)NS(=O)(=O)C1=CC=C(NCC3CCOCC3)C([N+](=O)[O-])=C1)=C2|CC1(C)[CH2:1]CC(CN2CCN(C3=CC=C(C(=O)NS(=O)(=O)C4=CC=C(NCC5CCOCC5)C([N+](=O)[O-])=C4)C(OC4=CN=C5NC=CC5=C4)=C3)CC2)=C(C2=CC=C(Cl)C=C2)C1|CC1(C)CCC(CN2CCN(C3=CC=C(C(=O)NS(=O)(=O)C4=CC=C(NCC5CCOCC5)C([N+](=O)[O-])=C4)C(OC4=CN=C5NC=CC5=C4)=C3)CC2)=C(C2=CC=C(Cl)C=C2)[CH2:1]1|CC1(C)CCC(CN2CCN(C3=CC=C(C(=O)NS(=O)(=O)C4=CC=C(NCC5CCO[CH2:1]C5)C([N+](=O)[O-])=C4)C(OC4=CN=C5NC=CC5=C4)=C3)CC2)=C(C2=CC=C(Cl)C=C2)C1|CC1(C)CCC(CN2CCN(C3=CC=C(C(=O)NS(=O)(=O)C4=CC=C(NCC5CCOC[CH2:1]5)C([N+](=O)[O-])=C4)C(OC4=CN=C5NC=CC5=C4)=C3)CC2)=C(C2=CC=C(Cl)C=C2)C1|CC1(C)C[CH2:1]C(CN2CCN(C3=CC=C(C(NS(=O)(=O)C4=CC([N+]([O-])=O)=C(NCC5CCOCC5)C=C4)=O)C(OC4=CN=C5NC=CC5=C4)=C3)CC2)=C(C2=CC=C(Cl)C=C2)C1|C1=CC2=C(N1)N=CC(OC1=CC(N3CCN(CC4=C(C5=CC=C(Cl)C=C5)[CH2:1]C(C)(C)CC4)CC3)=CC=C1C(=O)NS(=O)(=O)C1=CC=C(NCC3CCOCC3)C([N+](=O)[O-])=C1)=C2|C1=CC2=C(N1)N=CC(OC1=CC(N3CCN(CC4=C(C5=CC=C(Cl)C=C5)CC(C)(C)CC4)CC3)=CC=C1C(=O)N[S:1](=O)(=O)C1=CC=C(NCC3CCOCC3)C([N+](=O)[O-])=C1)=C2|CC1(C)CCC(CN2CCN(C3=CC=C(C(=O)NS(=O)(=O)C4=CC=C(NCC5CCOCC5)C([N+:1](=O)[O-])=C4)C(OC4=CN=C5NC=CC5=C4)=C3)CC2)=C(C2=CC=C(Cl)C=C2)C1|O=S(C1=CC=C(NCC2CCOCC2)C([N+](=O)[O-])=C1)(NC(C1=CC=C(N2CCN(CC3=C(C4=CC=C(Cl)C=C4)CC(C)(C)CC3)C[CH2:1]2)C=C1OC1=CN=C2C(=C1)C=CN2)=O)=O|CC1(C)CCC(CN2CCN(C3=CC=C(C(=O)NS(=O)(=O)C4=CC=C(NCC5CCOCC5)C([N+](=O)[O-])=C4)C(OC4=CN=C5NC=CC5=C4)=C3)C[CH2:1]2)=C(C2=CC=C(Cl)C=C2)C1|CC1(C)CCC(C[N:1]2CCN(C3=CC=C(C(=O)NS(=O)(=O)C4=CC=C(NCC5CCOCC5)C([N+](=O)[O-])=C4)C(OC4=CN=C5NC=CC5=C4)=C3)CC2)=C(C2=CC=C(Cl)C=C2)C1|CC1(C)CCC(C[N:1]2CCN(C3=CC=C(C(=O)NS(=O)(=O)C4=CC=C(NCC5CCOCC5)C([N+](=O)[O-])=C4)C(OC4=CN=C5NC=CC5=C4)=C3)CC2)=C(C2=CC=C(Cl)C=C2)C1|O=S(C1=CC=C(NCC2CCOCC2)C([N+](=O)[O-])=C1)(NC(C1=CC=C(N2CCN(CC3=C(C4=CC=C(Cl)C=C4)CC(C)(C)CC3)CC2)C=C1OC1=CN=C2C(=C1)[CH:1]=[CH:2]N2)=O)=O
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,CC1(C)CN2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2S1|C[C@@H](C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12)c1ccc(O)cc1|CC1(CO)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O|CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)c(O)c3)C(=O)N2[C@H]1C(=O)O|CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(OC4O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]4O)cc3)C(=O)N2[C@H]1C(=O)O,[C@H]1(NC([C@@H](C2=CC=C([OH:1])C=C2)N)=O)[C@@H]2N(C1=O)[C@@H](C(=O)O)C(C)(C)S2|CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)C3=CC=C(O)C=C3)[C:1](=O)N2[C@H]1C(=O)O|CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)C3=CC=C([OH:1])C=C3)C(=O)N2[C@H]1C(=O)O|[CH3:1]C1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)C3=CC=C(O)C=C3)C(=O)N2[C@H]1C(=O)O|[C@H]1(NC([C@@H](C2=CC=C(O)C=C2)N)=O)[C@@H]2N(C1=O)[C@@H](C(=O)[OH:1])C(C)(C)S2|[C@H]1(NC([C@@H:1](C2=CC=C(O)C=C2)N)=O)[C@@H]2N(C1=O)[C@@H](C(=O)O)C(C)(C)S2|[C@H]1(NC([C@@H](C2=CC=C(O)C=C2)N)=O)[C@@H]2N(C1=O)[C@@H](C(=O)[OH:1])C(C)(C)S2|[C@H]1(NC([C@@H](C2=CC=C(O)C=C2)N)=O)[C@@H]2N(C1=O)[C@@H]([C:1](=O)[OH:2])C(C)(C)S2|CC1(C)S[C@@H]2[C@H](NC(=O)[C@H:1](N)C3=CC=C(O)C=C3)C(=O)N2[C@H]1C(=O)O|CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)C3=CC=C(O)[CH:1]=C3)C(=O)N2[C@H]1C(=O)O|[C@H]1(NC([C@@H](C2=CC=C([OH:1])C=C2)N)=O)[C@@H]2N(C1=O)[C@@H](C(=O)O)C(C)(C)S2|CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)C3=CC=C(O)C=C3)[C:1](=O)N2[C@H]1C(=O)O|[C@@H]1(C(=O)O)N2[C@H](SC1(C)C)[C@H](NC([C@@H:1](C1=CC=C(O)C=C1)N)=O)C2=O|CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)C3=CC=C(O)C=C3)[C:1](=O)N2[C@H]1C(=O)O|CC1(C)S[C@@H]2[C@H](N[C:1](=O)[C@H](N)C3=CC=C(O)C=C3)C(=O)N2[C@H]1C(=O)O|CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)C3=CC=C(O)C=C3)[C:1](=O)N2[C@H]1C(=O)O|CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)C3=CC=C(O)C=C3)[C:1](=O)N2[C@H]1C(=O)O|[C@H]1(NC([C@@H](C2=CC=C(O)C=C2)N)=O)[C@@H:1]2N(C1=O)[C@@H](C(=O)O)C(C)(C)S2
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,CCC1(c2ccc(O)cc2)C(=O)NC(=O)NC1=O,CCC1(C2=CC=[CH:1]C=C2)C(=O)NC(=O)NC1=O|CCC1(C2=C[CH:1]=[CH:2]C=C2)C(=O)NC(=O)NC1=O|CCC1(C2=CC=[CH:1]C=C2)C(=O)NC(=O)NC1=O|CCC1(C2=CC=[CH:1][CH:1]=C2)C(=O)NC(=O)NC1=O|CCC1(C2=C[CH:1]=CC=C2)C(=O)NC(=O)NC1=O|CCC1(C2=C[CH:1]=CC=C2)C(=O)NC(=O)NC1=O|CCC1(C2=C[CH:1]=[CH:1]C=C2)C(=O)NC(=O)NC1=O|[CH3:1]CC1(C2=CC=CC=C2)C(=O)NC(=O)NC1=O|C[CH2:1]C1(C2=CC=CC=C2)C(=O)NC(=O)NC1=O|C1=CC=C(C2(CC)C(=O)NC(=O)NC2=O)[CH:1]=[CH:2]1|C(C1(C2=CC=CC=C2)C(=O)NC(=O)N[C:1]1=O)C|N1C(=O)C(C2=CC=CC=C2)(CC)C(=O)N[C:1]1=O|CCC1(C2=C[CH:1]=CC=C2)C(=O)NC(=O)NC1=O|CCC1(C2=C[CH:1]=[CH:1]C=C2)C(=O)NC(=O)NC1=O|CCC1(C2=CC=CC=[CH:1]2)C(=O)NC(=O)NC1=O|C1(C2=CC=CC=C2)(CC)C(=O)[NH:1]C(=O)NC1=O|CCC1(C2=CC=[CH:1]C=C2)C(=O)NC(=O)NC1=O|CCC1(C2=CC=[CH:1][CH:1]=C2)C(=O)NC(=O)NC1=O|CCC1(C2=C[CH:1]=CC=C2)C(=O)NC(=O)NC1=O|CCC1(C2=C[CH:1]=[CH:1]C=C2)C(=O)NC(=O)NC1=O|C1=CC=C(C2(CC)C(=O)NC(=O)[NH:1]C2=O)C=C1|N1C(=O)NC(=O)C(CC)(C2=CC=CC=C2)[C:1]1=O
CCC1Oc2ccccc2C1C(=O)c1cc(Br)c(O)c(Br)c1,Oc1cc(Br)c(O)c(Br)c1|CCC1Oc2ccccc2C1C(=O)c1cc(O)c(O)c(Br)c1|CCC1Oc2cc(O)ccc2C1C(=O)c1cc(Br)c(O)c(Br)c1,CCC1OC2=C[CH:1]=CC=C2C1C(=O)C1=CC(Br)=C(O)C(Br)=C1|CCC1OC2=CC=[CH:1]C=C2C1C(=O)C1=CC(Br)=C(O)C(Br)=C1|CCC1OC2=CC=CC=C2C1C(=O)C1=CC(Br)=C(O)[C:1](Br)=C1|[CH3:1]CC1OC2=CC=CC=C2C1C(=O)C1=CC(Br)=C(O)C(Br)=C1|CC[CH:1]1OC2=CC=CC=C2C1C(=O)C1=CC(Br)=C(O)C(Br)=C1|CCC1OC2=CC=CC=C2C1C(=O)C1=CC(Br)=C([OH:1])C(Br)=C1|CCC1OC2=CC=CC=C2C1C(=O)C1=CC(Br)=C([OH:1])C(Br)=C1|C[CH2:1]C1OC2=CC=CC=C2C1C(=O)C1=CC(Br)=C(O)C(Br)=C1|CCC1OC2=[CH:1]C=CC=C2C1C(=O)C1=CC(Br)=C(O)C(Br)=C1|O1C(CC)C(C(C2=CC(Br)=C(O)C(Br)=C2)=O)C2=C1C=C[CH:1]=[CH:2]2|O1C(CC)C(C(C2=CC(Br)=C(O)C(Br)=C2)=O)C2=C1[CH:1]=[CH:2]C=C2|C1=CC=C2C(=C1)[CH:1](C(=O)C1=CC(Br)=C(O)C(Br)=C1)C(CC)O2|C1=CC=C2C(=C1)C(C(=O)C1=CC(Br)=C(O)C(Br)=C1)C([CH2:1]C)O2|C1=CC=C2C(=[CH:1]1)C(C(=O)C1=CC(Br)=C(O)C(Br)=C1)C(CC)O2
CCCCCCCCc1ccc(CCC(N)(CO)CO)cc1,CCCCCCCCc1ccc(CC[C@](N)(CO)COP(=O)(O)O)cc1,[CH3:1]CCCCCCCC1=CC=C(CCC(N)(CO)CO)C=C1|C[CH2:1]CCCCCCC1=CC=C(CCC(N)(CO)CO)C=C1|CCCCCCCCC1=CC=C(CCC(N)(C[OH:1])CO)C=C1|CCCCCCC[CH2:1]C1=CC=C(CCC(N)(CO)CO)C=C1|CC[CH2:1]CCCCCC1=CC=C(CCC(N)(CO)CO)C=C1|C(CCCCCCC)C1=CC=C(CCC(CO)(N)C[OH:1])C=C1|CCCCCCCCC1=CC=C(CCC(N)(C[OH:1])CO)C=C1|CCC[CH2:1]CCCCC1=CC=C(CCC(N)(CO)CO)C=C1|C(CCCCCCC)C1=CC=C(CCC(CO)(N)C[OH:1])C=C1|CCCC[CH2:1]CCCC1=CC=C(CCC(N)(CO)CO)C=C1|CCCCC[CH2:1]CCC1=CC=C(CCC(N)(CO)CO)C=C1|CCCCCC[CH2:1]CC1=CC=C(CCC(N)(CO)CO)C=C1|[CH2:1](CC1=CC=C(CCCCCCCC)C=C1)C(N)(CO)CO|OC[C:1](CO)(N)CCC1=CC=C(CCCCCCCC)C=C1|C(CCCCCCC)C1=CC=C(CCC(CO)(N)C[OH:1])C=C1|CCC[CH2:1]CCCCC1=CC=C(CCC(N)(CO)CO)C=C1|C(CCC)CCCCC1=CC=C(CCC(N)(C[OH:1])CO)C=C1|C(CC1=CC=C(CCCCC[CH2:1]CC)C=C1)C(N)(CO)CO
CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1,CCCCNc1ccc(C(=O)O)cc1,CCCCNC1=CC=C(C(=O)O[CH2:1]COCCOCCOCCOCCOCCOCCOCCOCCOC)C=C1|CCC[CH2:1]NC1=CC=C(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)C=C1|CCCCNC1=CC=C(C(=O)OC[CH2:1]OCCOCCOCCOCCOCCOCCOCCOCCOC)C=C1|CCCCNC1=CC=C(C(=O)OCCO[CH2:1]COCCOCCOCCOCCOCCOCCOCCOC)C=C1|C1=C(NCCC[CH3:1])C=CC(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)=C1|CCCCNC1=CC=C(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCO[CH2:1]COC)C=C1|CCCCNC1=CC=C(C(=O)O[CH2:1]COCCOCCOCCOCCOCCOCCOCCOCCOC)C=C1|C1=C(NCCCC)C=[CH:1]C(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)=C1|CCCCNC1=CC=C(C(=O)OCCOCCO[CH2:1]COCCOCCOCCOCCOCCOCCOC)C=C1|CCCCNC1=CC=C(C(=O)OCCOCCOCCOCCOCCOCCO[CH2:1]COCCOCCOC)C=C1|O(CCOC(=O)C1=CC=C(NCCCC)[CH:1]=C1)CCOCCOCCOCCOCCOCCOCCOCCOC|CCCCNC1=CC=C(C(=O)OCCOC[CH2:1]OCCOCCOCCOCCOCCOCCOCCOC)C=C1|O(C[CH2:1]OCCOCCOCCOCCOC)CCOCCOCCOCCOC(=O)C1=CC=C(NCCCC)C=C1|CCCCNC1=CC=C(C(=O)OCCOCCOCCOCCO[CH2:1]COCCOCCOCCOCCOC)C=C1|CCCCNC1=CC=C(C(=O)OCCOCCOCCO[CH2:1]COCCOCCOCCOCCOCCOC)C=C1|CCCCNC1=CC=C(C(=O)OCCOCCOCCOCCOCCOCCOCCO[CH2:1]COCCOC)C=C1|CCCCNC1=CC=C(C(=O)OCCOCCOCCOCCOCCO[CH2:1]COCCOCCOCCOC)C=C1|CCCCNC1=CC=C(C(=O)OCCOCCOC[CH2:1]OCCOCCOCCOCCOCCOCCOC)C=C1
