,Molecule_Name,Molecule_Number,Atom_Number,Atom_Name,Atom,Span2end,Span2end_N_Correction,Span2end_CO_Correction,COO-Dist,COO_Correction,N+dist,N_Correction,Relative Span,2DSASA,Reactivity,Energy,3A4 Score,2D6 Score,2C9 Score,3A4 Ranking,2D6 Ranking,2C9 Ranking,N_ox,Similarity
0,Smiles,0,0,C,C.1,0,0.0,0.0,0,0,0,0,1.0,62.87599399999998,63.9,63.9,53.38496024,61.38496024,61.38496024,1,1,1,0.0,1.0
1,Smiles,0,1,N,N.2,1,6.7,5.9,0,0,0,0,0.9333333333333333,4.376416799999999,92.1,92.1,84.45827666133333,98.624943328,97.824943328,16,11,11,0.0,0.3333333333333333
2,Smiles,0,2,C,C.3,2,13.4,11.8,0,0,0,0,0.8666666666666667,31.87177252,78.1,78.1,69.89179576586666,90.2251290992,88.6251290992,11,7,8,0.0,0.3333333333333333
3,Smiles,0,3,C,C.4,3,20.1,17.700000000000003,0,0,0,0,0.8,6.467401899999999,999.0,999.0,992.341303924,1018.841303924,1016.4413039240001,20,20,20,0.0,0.0
4,Smiles,0,4,N,N.5,4,26.84,23.64,0,0,0,0,0.7333333333333333,14.503063040000011,72.0,72.0,65.55321081173334,98.2598774784,95.0598774784,5,10,9,0.0,0.6666666666666666
5,Smiles,0,5,C,C.6,5,26.85,23.650000000000002,0,0,0,0,0.6666666666666666,7.054432700000003,999.0,999.0,993.3844893586667,1025.567822692,1022.367822692,22,22,22,0.0,0.0
6,Smiles,0,6,N,N.7,4,26.84,23.64,0,0,0,0,0.7333333333333333,20.386940520000003,75.6,75.6,68.91785571253334,101.6245223792,98.4245223792,9,13,13,0.0,0.6666666666666666
7,Smiles,0,7,C,C.8,5,26.85,23.650000000000002,0,0,0,0,0.6666666666666666,33.210087040000005,92.0,92.0,85.33826318506667,117.52159651839999,114.3215965184,17,17,17,0.0,0.6666666666666666
8,Smiles,0,8,C,C.9,6,26.86,23.66,0,0,0,0,0.6,27.362155,86.3,86.3,80.4055138,112.06551379999999,108.86551379999999,13,15,15,0.0,0.6666666666666666
9,Smiles,0,9,C,C.10,7,26.87,23.67,0,0,0,0,0.5333333333333333,4.389126800000001,999.0,999.0,994.5577682613333,1025.694434928,1022.4944349279999,23,23,23,0.0,0.0
10,Smiles,0,10,N,N.11,7,26.87,23.67,0,0,0,0,0.5333333333333333,2.8528138999999992,63.9,63.9,59.51922077733333,90.655887444,87.455887444,4,8,6,0.0,0.3333333333333333
11,Smiles,0,11,C,C.12,6,26.86,23.66,0,0,0,0,0.6,22.207293520000007,59.9,59.9,54.2117082592,85.87170825919999,82.6717082592,3,3,3,0.0,0.3333333333333333
12,Smiles,0,12,C,C.13,5,26.85,23.650000000000002,0,0,0,0,0.6666666666666666,10.354177999999996,59.9,59.9,54.15249954666666,86.33583288,83.13583288,2,4,4,0.0,0.6666666666666666
13,Smiles,0,13,C,C.14,4,26.84,23.64,0,0,0,0,0.7333333333333333,30.474605000000004,75.9,75.9,68.81434913333335,101.52101580000001,98.32101580000001,8,12,12,0.0,0.3333333333333333
14,Smiles,0,14,C,C.15,4,26.84,23.64,0,0,0,0,0.7333333333333333,30.474605000000004,75.9,75.9,68.81434913333335,101.52101580000001,98.32101580000001,8,12,12,0.0,0.3333333333333333
15,Smiles,0,15,C,C.16,5,26.85,23.650000000000002,0,0,0,0,0.6666666666666666,10.354177999999996,59.9,59.9,54.15249954666666,86.33583288,83.13583288,2,4,4,0.0,0.6666666666666666
16,Smiles,0,16,C,C.17,6,26.86,23.66,0,0,0,0,0.6,22.207293520000007,59.9,59.9,54.2117082592,85.87170825919999,82.6717082592,3,3,3,0.0,0.3333333333333333
17,Smiles,0,17,N,N.18,4,26.84,23.64,0,0,0,0,0.7333333333333333,1.6527230000000017,89.6,89.6,83.66722441333333,116.37389107999999,113.17389107999999,15,16,16,0.0,0.3333333333333333
18,Smiles,0,18,C,C.19,3,20.1,17.700000000000003,0,0,0,0,0.8,2.9594190000000014,999.0,999.0,992.48162324,1018.98162324,1016.58162324,21,21,21,0.0,0.0
19,Smiles,0,19,O,O.20,2,13.4,11.8,0,0,0,0,0.8666666666666667,0.0,999.0,999.0,992.0666666666667,1012.4,1010.8,19,19,19,0.0,0.6666666666666666
20,Smiles,0,20,C,C.21,2,13.4,11.8,0,0,0,0,0.8666666666666667,13.542236999999997,75.9,75.9,68.42497718666667,88.75831052000001,87.15831052,7,5,5,0.0,0.3333333333333333
21,Smiles,0,21,C,C.22,1,6.7,5.9,0,0,0,0,0.9333333333333333,44.022037999999995,75.9,75.9,66.67245181333334,80.83911848000001,80.03911848000001,6,2,2,0.0,0.3333333333333333
22,Smiles,0,22,C,C.23,1,6.7,5.9,0,0,0,0,0.9333333333333333,0.5143910999999999,999.0,999.0,991.5127576893333,1005.679424356,1004.879424356,18,18,18,0.0,0.0
23,Smiles,0,25,N,N.26,6,26.86,23.66,0,0,0,0,0.6,11.32873652,75.6,75.6,70.34685053919999,102.00685053919999,98.80685053919998,12,14,14,0.0,0.3333333333333333
24,Smiles,0,26,C,C.27,2,13.4,11.8,0,0,0,0,0.8666666666666667,34.07657252,78.1,78.1,69.80360376586665,90.1369370992,88.53693709919999,10,6,7,0.0,0.3333333333333333
25,Smiles,0,27,N,N.28,1,6.7,5.9,0,0,0,0,0.9333333333333333,28.20775204,92.1,92.1,83.50502325173332,97.67168991839999,96.8716899184,14,9,10,0.0,0.3333333333333333
