,Molecule_Name,Molecule_Number,Atom_Number,Atom_Name,Atom,Span2end,Span2end_N_Correction,Span2end_CO_Correction,COO-Dist,COO_Correction,N+dist,N_Correction,Relative Span,2DSASA,Reactivity,Energy,3A4 Score,2D6 Score,2C9 Score,3A4 Ranking,2D6 Ranking,2C9 Ranking,N_ox,Similarity
0,Smiles,0,0,C,C.1,1,6.7,5.9,0,0,0,0,0.9230769230769231,56.614813,999.0,999.0,989.3507920953847,1003.4354074800001,1002.63540748,17,18,18,0.0,0.0
1,Smiles,0,1,C,C.2,2,13.4,11.8,0,0,0,0,0.8461538461538461,6.261549000000002,999.0,999.0,991.9803072707692,1012.1495380399999,1010.5495380399999,22,22,22,0.0,0.0
2,Smiles,0,2,C,C.3,3,20.1,17.700000000000003,0,0,0,0,0.7692307692307693,0.036586600000000025,999.0,999.0,992.8446903821538,1019.098536536,1016.698536536,24,24,24,0.0,0.0
3,Smiles,0,3,O,O.4,2,13.4,11.8,0,0,0,0,0.8461538461538461,0.0,999.0,999.0,992.2307692307693,1012.4,1010.8,23,23,23,0.0,0.0
4,Smiles,0,4,C,C.5,1,6.7,5.9,0,0,0,0,0.9230769230769231,6.143653,999.0,999.0,991.3696384953846,1005.45425388,1004.6542538799999,20,20,20,0.0,0.0
5,Smiles,0,5,C,C.6,0,0.0,0.0,0,0,0,0,1.0,57.17537269999998,66.4,66.4,56.11298509200001,64.112985092,64.112985092,3,1,1,0.0,0.6666666666666666
6,Smiles,0,6,O,O.7,0,0.0,0.0,0,0,0,0,1.0,0.0,999.0,999.0,991.0,999.0,999.0,19,17,17,0.0,0.6666666666666666
7,Smiles,0,7,C,C.8,3,20.1,17.700000000000003,0,0,0,0,0.7692307692307693,22.612543000000002,75.9,75.9,68.84165212615385,95.09549828,92.69549828000001,5,5,5,0.0,0.3333333333333333
8,Smiles,0,8,C,C.9,4,26.84,23.64,0,0,0,0,0.6923076923076923,21.888256000000005,75.9,75.9,69.48600822153847,101.86446976,98.66446976,8,10,9,0.0,0.3333333333333333
9,Smiles,0,9,C,C.10,5,26.85,23.650000000000002,0,0,0,0,0.6153846153846154,6.198746,75.9,75.9,70.72897323692308,102.50205016,99.30205016000001,11,16,15,0.0,0.3333333333333333
10,Smiles,0,10,C,C.11,6,26.86,23.66,0,0,0,0,0.5384615384615384,6.6718930000000025,75.9,75.9,71.3254319723077,102.49312428,99.29312428,14,15,14,0.0,0.3333333333333333
