,Molecule_Name,Molecule_Number,Atom_Number,Atom_Name,Atom,Span2end,Span2end_N_Correction,Span2end_CO_Correction,COO-Dist,COO_Correction,N+dist,N_Correction,Relative Span,2DSASA,Reactivity,Energy,3A4 Score,2D6 Score,2C9 Score,3A4 Ranking,2D6 Ranking,2C9 Ranking,N_ox,Similarity
0,Smiles,0,0,O,O.1,0,0.0,0.0,11,0.0,0,0,1.0,0.0,999.0,999.0,991.0,999.0,999.0,8,8,8,0.0,0.3333333333333333
1,Smiles,0,1,C,C.2,1,6.7,5.9,10,0.0,0,0,0.9090909090909091,7.5718888,999.0,999.0,991.4243971752727,1005.397124448,1004.5971244479999,9,9,9,0.0,0.0
2,Smiles,0,2,N,N.3,2,13.4,11.8,9,0.0,0,0,0.8181818181818182,18.341368520000007,75.6,75.6,68.32089071374544,88.2663452592,86.66634525919999,5,2,1,0.0,0.3333333333333333
3,Smiles,0,3,C,C.4,3,20.1,17.700000000000003,8,0.0,0,0,0.7272727272727273,7.306466800000003,999.0,999.0,992.8895595098181,1018.807741328,1016.407741328,13,13,13,0.0,0.0
4,Smiles,0,4,O,O.5,2,13.4,11.8,9,0.0,0,0,0.8181818181818182,0.0,999.0,999.0,992.4545454545455,1012.4,1010.8,12,12,12,0.0,0.3333333333333333
5,Smiles,0,5,N,N.6,4,26.84,23.64,7,5.9,0,0,0.6363636363636364,-0.6360060999999995,999.0,999.0,993.9345311530909,1025.865440244,1028.565440244,15,16,16,0.0,0.3333333333333333
6,Smiles,0,6,C,C.7,5,26.85,23.650000000000002,6,11.8,0,0,0.5454545454545454,10.391660799999999,62.2,62.2,57.42069720436364,88.63433356800002,97.23433356800001,4,4,3,0.0,0.3333333333333333
7,Smiles,0,7,C,C.8,5,26.85,23.650000000000002,6,11.8,0,0,0.5454545454545454,29.306593999999997,75.9,75.9,70.36409987636364,101.57773624000001,110.17773624,6,6,7,0.0,0.3333333333333333
8,Smiles,0,8,C,C.9,4,26.84,23.64,5,17.700000000000003,0,0,0.6363636363636364,10.329771000000001,62.2,62.2,56.69590006909091,88.62680916000001,103.12680916000001,2,3,4,0.0,0.3333333333333333
9,Smiles,0,9,O,O.10,3,20.1,17.700000000000003,6,11.8,0,0,0.7272727272727273,0.0,999.0,999.0,993.1818181818181,1019.1,1028.5,14,14,15,0.0,0.3333333333333333
10,Smiles,0,10,C,C.11,4,26.84,23.64,5,17.700000000000003,0,0,0.6363636363636364,8.751088999999999,62.2,62.2,56.759047349090906,88.68995644,103.18995644,3,5,5,0.0,0.6666666666666666
11,Smiles,0,11,C,C.12,3,20.1,17.700000000000003,6,11.8,0,0,0.7272727272727273,20.669145,62.2,62.2,55.555052381818186,81.47323420000001,90.8732342,1,1,2,0.0,0.4
12,Smiles,0,12,O,O.13,2,13.4,11.8,7,5.9,0,0,0.8181818181818182,0.0,999.0,999.0,992.4545454545455,1012.4,1016.6999999999999,12,12,14,0.0,0.0
13,Smiles,0,13,P,P.14,1,6.7,5.9,8,0.0,0,0,0.9090909090909091,0.9696124999999999,999.0,999.0,991.6884882272727,1005.6612155,1004.8612155,10,10,10,0.0,0.0
14,Smiles,0,14,O,O.15,0,0.0,0.0,9,0.0,0,0,1.0,0.0,999.0,999.0,991.0,999.0,999.0,8,8,8,0.0,0.3333333333333333
15,Smiles,0,15,O,O.16,0,0.0,0.0,9,0.0,0,0,1.0,0.0,999.0,999.0,991.0,999.0,999.0,8,8,8,0.0,0.3333333333333333
16,Smiles,0,16,O,O.17,0,0.0,0.0,9,0.0,0,0,1.0,0.0,999.0,999.0,991.0,999.0,999.0,8,8,8,0.0,0.3333333333333333
17,Smiles,0,17,O,O.18,5,26.85,23.650000000000002,5,17.700000000000003,0,0,0.5454545454545454,0.0,999.0,999.0,994.6363636363636,1025.85,1040.3500000000001,16,15,17,0.0,0.0
18,Smiles,0,18,C,C.19,3,20.1,17.700000000000003,8,0.0,0,0,0.7272727272727273,23.68206404000001,92.0,92.0,85.23453562021818,111.15271743839999,108.7527174384,7,7,6,0.0,0.3333333333333333
19,Smiles,0,19,C,C.20,2,13.4,11.8,9,0.0,0,0,0.8181818181818182,7.838676,999.0,999.0,992.1409984145455,1012.08645296,1010.48645296,11,11,11,0.0,0.0
