,Molecule_Name,Molecule_Number,Atom_Number,Atom_Name,Atom,Span2end,Span2end_N_Correction,Span2end_CO_Correction,COO-Dist,COO_Correction,N+dist,N_Correction,Relative Span,2DSASA,Reactivity,Energy,3A4 Score,2D6 Score,2C9 Score,3A4 Ranking,2D6 Ranking,2C9 Ranking,N_ox,Similarity
0,Smiles,0,0,C,C.1,0,0.0,0.0,0,0,9,0.0,1.0,56.605498,89.6,89.6,79.33578007999999,87.33578007999999,87.33578007999999,12,1,8,0.0,0.3333333333333333
1,Smiles,0,1,C,C.2,1,6.7,5.9,0,0,8,0.0,0.9375,0.016832200000000075,999.0,999.0,991.499326712,1005.699326712,1004.899326712,15,15,15,0.0,0.0
2,Smiles,0,2,C,C.3,0,0.0,0.0,0,0,9,0.0,1.0,56.605498,89.6,89.6,79.33578007999999,87.33578007999999,87.33578007999999,12,1,8,0.0,0.3333333333333333
3,Smiles,0,3,C,C.4,2,13.4,11.8,0,0,7,6.7,0.875,24.627197600000006,75.9,75.9,67.91491209600001,95.01491209600002,86.714912096,7,3,7,0.0,0.3333333333333333
4,Smiles,0,4,C,C.5,3,20.1,17.700000000000003,0,0,6,13.4,0.8125,6.521458999999998,999.0,999.0,992.23914164,1032.23914164,1016.43914164,18,17,18,0.0,0.0
5,Smiles,0,5,O,O.6,2,13.4,11.8,0,0,7,6.7,0.875,0.0,999.0,999.0,992.0,1019.1,1010.8,16,16,16,0.0,0.3333333333333333
6,Smiles,0,6,N,N.7,4,26.84,23.64,0,0,5,20.1,0.75,1.8599490000000003,89.6,89.6,83.52560204,136.46560204,113.16560204,14,13,14,0.0,0.3333333333333333
7,Smiles,0,7,C,C.8,5,26.85,23.650000000000002,0,0,4,26.8,0.6875,21.823802000000004,75.9,75.9,69.52704792,128.67704792,98.67704792,8,10,12,0.0,0.4
8,Smiles,0,8,C,C.9,6,26.86,23.66,0,0,3,33.5,0.625,21.861083,75.9,75.9,70.02555668000001,135.38555667999998,98.68555668,9,12,13,0.0,0.4
9,Smiles,0,9,C,C.10,7,26.87,23.67,0,0,2,40.2,0.5625,22.863873999999996,75.9,75.9,70.48544504,142.05544504,98.65544504,10,14,11,0.0,0.4
10,Smiles,0,10,C,C.11,8,26.88,23.68,0,0,1,46.9,0.5,24.150194000000006,41.1,41.1,36.13399224,113.91399224,63.81399224,2,7,2,0.0,0.4
11,Smiles,0,11,N,N.12,7,26.87,23.67,0,0,0,53.6,0.5625,3.9196679999999997,42.6,42.6,37.94321328,122.91321328000001,66.11321328000001,3,8,3,0.0,0.6666666666666666
12,Smiles,0,12,C,C.13,6,26.86,23.66,0,0,1,46.9,0.625,29.008450000000003,59.9,59.9,53.739661999999996,132.499662,82.399662,4,11,4,0.0,1.0
13,Smiles,0,13,C,C.14,5,26.85,23.650000000000002,0,0,2,40.2,0.6875,28.421470520000003,41.1,41.1,34.4631411792,107.0131411792,63.6131411792,1,4,1,0.0,0.6666666666666666
14,Smiles,0,14,N,N.15,4,26.84,23.64,0,0,3,33.5,0.75,4.099482999999999,63.9,63.9,57.736020679999996,124.07602068000001,87.37602068,5,9,9,0.0,0.3333333333333333
15,Smiles,0,15,C,C.16,3,20.1,17.700000000000003,0,0,4,26.8,0.8125,6.810639800000003,999.0,999.0,992.227574408,1045.6275744079999,1016.427574408,17,18,17,0.0,0.0
16,Smiles,0,16,N,N.17,2,13.4,11.8,0,0,5,20.1,0.875,19.296024520000003,75.6,75.6,67.8281590192,108.3281590192,86.6281590192,6,5,6,0.0,0.6666666666666666
17,Smiles,0,17,C,C.18,1,6.7,5.9,0,0,6,13.4,0.9375,35.95051104000001,92.0,92.0,83.0619795584,110.6619795584,96.4619795584,13,6,10,0.0,0.6666666666666666
18,Smiles,0,18,C,C.19,0,0.0,0.0,0,0,7,6.7,1.0,37.245113,86.3,86.3,76.81019547999999,91.51019548,84.81019547999999,11,2,5,0.0,1.0
19,Smiles,0,19,C,C.20,1,6.7,5.9,0,0,6,13.4,0.9375,35.95051104000001,92.0,92.0,83.0619795584,110.6619795584,96.4619795584,13,6,10,0.0,0.6666666666666666
20,Smiles,0,20,N,N.21,2,13.4,11.8,0,0,5,20.1,0.875,19.296024520000003,75.6,75.6,67.8281590192,108.3281590192,86.6281590192,6,5,6,0.0,0.6666666666666666
21,Smiles,0,21,C,C.22,5,26.85,23.650000000000002,0,0,2,40.2,0.6875,28.421470520000003,41.1,41.1,34.4631411792,107.0131411792,63.6131411792,1,4,1,0.0,0.6666666666666666
22,Smiles,0,22,C,C.23,6,26.86,23.66,0,0,1,46.9,0.625,29.008450000000003,59.9,59.9,53.739661999999996,132.499662,82.399662,4,11,4,0.0,1.0
23,Smiles,0,23,C,C.24,3,20.1,17.700000000000003,0,0,6,13.4,0.8125,6.521458999999998,999.0,999.0,992.23914164,1032.23914164,1016.43914164,18,17,18,0.0,0.0
24,Smiles,0,24,O,O.25,2,13.4,11.8,0,0,7,6.7,0.875,0.0,999.0,999.0,992.0,1019.1,1010.8,16,16,16,0.0,0.3333333333333333
25,Smiles,0,25,C,C.26,2,13.4,11.8,0,0,7,6.7,0.875,24.627197600000006,75.9,75.9,67.91491209600001,95.01491209600002,86.714912096,7,3,7,0.0,0.3333333333333333
