"Atom number","Rang","Delta P"
"1","1","0.443"
"19","2","0.346"
"21","3","0.346"
"25","4","-0.092"
"17","5","-0.228"
"15","6","-0.239"
"4","7","-0.249"
"18","8","-0.257"
"22","9","-0.257"
"5","10","-0.266"
"10","11","-0.268"
"24","12","-0.268"
"11","13","-0.288"
"23","14","-0.288"
"20","15","-0.295"
"29","16","-0.312"
"9","17","-0.325"
"16","18","-0.328"
"12","19","-0.359"
"2","20","-0.398"
"8","21","-0.406"
"27","22","-0.463"
"13","23","-0.486"
"3","24","-0.522"
"26","25","-0.597"
"14","26","-0.598"
"28","27","-0.658"
"7","28","-0.681"
"6","29","-0.781"
