"Atom number","Rang","Delta P"
"16","1","0.491"
"19","2","0.326"
"21","3","0.326"
"1","4","0.029"
"18","5","-0.140"
"22","6","-0.140"
"25","7","-0.266"
"11","8","-0.341"
"23","9","-0.341"
"10","10","-0.371"
"24","11","-0.371"
"5","12","-0.425"
"26","13","-0.475"
"27","14","-0.475"
"4","15","-0.485"
"9","16","-0.550"
"12","17","-0.617"
"15","18","-0.622"
"13","19","-0.650"
"17","20","-0.723"
"20","21","-0.725"
"3","22","-0.772"
"7","23","-0.797"
"14","24","-0.828"
"28","25","-0.869"
"29","26","-0.885"
"8","27","-0.892"
"6","28","-0.897"
"2","29","-0.919"
