"Atom number","Rang","Delta P"
"54","1","0.116"
"51","2","0.103"
"20","3","-0.032"
"22","4","-0.033"
"26","5","-0.035"
"7","6","-0.045"
"38","7","-0.071"
"31","8","-0.078"
"47","9","-0.085"
"24","10","-0.092"
"41","11","-0.092"
"3","12","-0.100"
"48","13","-0.107"
"1","14","-0.131"
"21","15","-0.164"
"17","16","-0.172"
"27","17","-0.178"
"14","18","-0.182"
"36","19","-0.192"
"16","20","-0.205"
"18","21","-0.205"
"52","22","-0.208"
"10","23","-0.214"
"33","24","-0.215"
"37","25","-0.216"
"6","26","-0.219"
"15","27","-0.224"
"19","28","-0.224"
"4","29","-0.229"
"13","30","-0.229"
"29","31","-0.231"
"8","32","-0.234"
"53","33","-0.234"
"44","34","-0.235"
"11","35","-0.237"
"5","36","-0.238"
"39","37","-0.242"
"12","38","-0.244"
"2","39","-0.246"
"35","40","-0.253"
"55","41","-0.253"
"34","42","-0.258"
"56","43","-0.258"
"25","44","-0.259"
"32","45","-0.259"
"46","46","-0.261"
"28","47","-0.263"
"30","48","-0.263"
"23","49","-0.273"
"50","50","-0.279"
"9","51","-0.286"
"45","52","-0.287"
"49","53","-0.303"
"43","54","-0.304"
"40","55","-0.308"
"42","56","-0.340"
