"Atom number","Rang","Delta P"
"13","1","0.047"
"3","2","-0.097"
"21","3","-0.123"
"1","4","-0.180"
"9","5","-0.217"
"29","6","-0.217"
"2","7","-0.230"
"17","8","-0.289"
"4","9","-0.323"
"27","10","-0.362"
"18","11","-0.412"
"5","12","-0.457"
"11","13","-0.512"
"6","14","-0.561"
"7","15","-0.565"
"10","16","-0.572"
"28","17","-0.572"
"26","18","-0.585"
"19","19","-0.605"
"8","20","-0.618"
"14","21","-0.651"
"16","22","-0.679"
"22","23","-0.679"
"23","24","-0.679"
"24","25","-0.679"
"15","26","-0.709"
"25","27","-0.756"
"20","28","-0.851"
"12","29","-0.872"
