"Atom number","Rang","Delta P"
"2","1","0.318"
"22","2","0.119"
"23","3","0.082"
"1","4","0.081"
"3","5","0.022"
"4","6","0.020"
"21","7","-0.005"
"7","8","-0.163"
"12","9","-0.163"
"14","10","-0.163"
"20","11","-0.163"
"25","12","-0.191"
"6","13","-0.192"
"24","14","-0.213"
"5","15","-0.311"
"10","16","-0.324"
"13","17","-0.372"
"26","18","-0.412"
"16","19","-0.465"
"9","20","-0.467"
"18","21","-0.575"
"27","22","-0.577"
"17","23","-0.629"
"11","24","-0.739"
"19","25","-0.777"
"28","26","-0.787"
"15","27","-0.811"
"8","28","-0.829"
"29","29","-0.899"
