"Atom number","Rang","Delta P"
"21","1","0.171"
"1","2","0.122"
"11","3","0.106"
"4","4","-0.063"
"10","5","-0.087"
"3","6","-0.158"
"7","7","-0.158"
"9","8","-0.158"
"12","9","-0.158"
"16","10","-0.158"
"23","11","-0.158"
"5","12","-0.175"
"2","13","-0.346"
"20","14","-0.538"
"8","15","-0.549"
"19","16","-0.626"
"6","17","-0.751"
"18","18","-0.842"
"22","19","-0.875"
"13","20","-0.890"
"15","21","-0.952"
"14","22","-0.971"
"25","23","-0.979"
"24","24","-0.988"
"26","25","-0.989"
"17","26","-0.992"
