"Atom number","Rang","Delta P"
"11","1","0.251"
"3","2","0.233"
"7","3","0.148"
"1","4","-0.030"
"6","5","-0.063"
"10","6","-0.063"
"19","7","-0.113"
"31","8","-0.129"
"30","9","-0.186"
"8","10","-0.216"
"2","11","-0.222"
"23","12","-0.233"
"22","13","-0.241"
"27","14","-0.285"
"4","15","-0.287"
"17","16","-0.301"
"18","17","-0.301"
"5","18","-0.309"
"28","19","-0.332"
"33","20","-0.332"
"24","21","-0.342"
"29","22","-0.350"
"32","23","-0.350"
"21","24","-0.353"
"16","25","-0.359"
"12","26","-0.420"
"26","27","-0.420"
"13","28","-0.442"
"9","29","-0.467"
"20","30","-0.477"
"25","31","-0.549"
"15","32","-0.610"
"14","33","-0.637"
