"Atom number","Rang","Delta P"
"6","1","0.154"
"21","2","0.131"
"14","3","-0.023"
"17","4","-0.023"
"4","5","-0.038"
"28","6","-0.069"
"29","7","-0.069"
"22","8","-0.095"
"13","9","-0.166"
"18","10","-0.166"
"3","11","-0.183"
"20","12","-0.188"
"8","13","-0.191"
"7","14","-0.250"
"27","15","-0.278"
"9","16","-0.323"
"23","17","-0.462"
"11","18","-0.486"
"2","19","-0.538"
"10","20","-0.546"
"12","21","-0.584"
"1","22","-0.589"
"15","23","-0.634"
"16","24","-0.661"
"26","25","-0.662"
"25","26","-0.665"
"24","27","-0.683"
"30","28","-0.725"
"5","29","-0.796"
"19","30","-0.796"
