"Atom number","Rang","Delta P"
"1","1","0.744"
"18","2","0.217"
"17","3","0.139"
"14","4","-0.047"
"16","5","-0.048"
"19","6","-0.096"
"7","7","-0.125"
"4","8","-0.219"
"28","9","-0.219"
"22","10","-0.300"
"11","11","-0.309"
"23","12","-0.314"
"26","13","-0.334"
"5","14","-0.344"
"27","15","-0.344"
"3","16","-0.378"
"24","17","-0.420"
"8","18","-0.436"
"9","19","-0.436"
"25","20","-0.463"
"6","21","-0.518"
"21","22","-0.649"
"2","23","-0.688"
"12","24","-0.708"
"10","25","-0.751"
"15","26","-0.756"
"20","27","-0.839"
"13","28","-0.915"
