"Atom number","Rang","Delta P"
"9","1","0.379"
"18","2","0.274"
"10","3","0.250"
"11","4","0.174"
"19","5","0.174"
"16","6","0.090"
"17","7","0.090"
"15","8","0.088"
"13","9","-0.040"
"22","10","-0.062"
"29","11","-0.062"
"23","12","-0.140"
"28","13","-0.140"
"14","14","-0.176"
"6","15","-0.256"
"7","16","-0.291"
"5","17","-0.299"
"21","18","-0.325"
"2","19","-0.341"
"12","20","-0.341"
"4","21","-0.349"
"26","22","-0.364"
"27","23","-0.364"
"1","24","-0.403"
"8","25","-0.477"
"25","26","-0.483"
"20","27","-0.503"
"24","28","-0.505"
"3","29","-0.570"
