"Atom number","Rang","Delta P"
"40","1","0.094"
"45","2","0.094"
"39","3","-0.093"
"46","4","-0.093"
"41","5","-0.097"
"44","6","-0.097"
"31","7","-0.127"
"52","8","-0.127"
"5","9","-0.272"
"19","10","-0.272"
"10","11","-0.343"
"14","12","-0.343"
"26","13","-0.379"
"47","14","-0.379"
"23","15","-0.453"
"61","16","-0.453"
"33","17","-0.467"
"54","18","-0.467"
"35","19","-0.471"
"56","20","-0.471"
"2","21","-0.478"
"16","22","-0.478"
"6","23","-0.485"
"20","24","-0.485"
"28","25","-0.541"
"49","26","-0.541"
"37","27","-0.547"
"58","28","-0.547"
"11","29","-0.557"
"12","30","-0.557"
"24","31","-0.578"
"62","32","-0.578"
"4","33","-0.588"
"15","34","-0.588"
"25","35","-0.594"
"60","36","-0.594"
"1","37","-0.651"
"17","38","-0.651"
"8","39","-0.656"
"22","40","-0.656"
"30","41","-0.673"
"51","42","-0.673"
"42","43","-0.717"
"43","44","-0.717"
"3","45","-0.773"
"7","46","-0.773"
"18","47","-0.773"
"21","48","-0.773"
"32","49","-0.773"
"53","50","-0.773"
"9","51","-0.806"
"13","52","-0.806"
"27","53","-0.818"
"34","54","-0.818"
"36","55","-0.818"
"38","56","-0.818"
"48","57","-0.818"
"55","58","-0.818"
"57","59","-0.818"
"59","60","-0.818"
"29","61","-0.887"
"50","62","-0.887"
