"Atom number","Rang","Delta P"
"5","1","0.044"
"15","2","0.026"
"18","3","0.026"
"21","4","0.026"
"24","5","0.026"
"27","6","0.026"
"30","7","0.026"
"33","8","0.026"
"36","9","0.026"
"12","10","0.018"
"11","11","-0.016"
"39","12","-0.032"
"16","13","-0.078"
"17","14","-0.078"
"19","15","-0.078"
"20","16","-0.078"
"22","17","-0.078"
"23","18","-0.078"
"25","19","-0.078"
"26","20","-0.078"
"28","21","-0.078"
"29","22","-0.078"
"31","23","-0.078"
"32","24","-0.078"
"34","25","-0.078"
"35","26","-0.078"
"40","27","-0.081"
"37","28","-0.089"
"14","29","-0.101"
"38","30","-0.107"
"1","31","-0.122"
"13","32","-0.128"
"2","33","-0.178"
"10","34","-0.194"
"6","35","-0.221"
"9","36","-0.245"
"8","37","-0.294"
"41","38","-0.294"
"3","39","-0.333"
"4","40","-0.338"
"7","41","-0.368"
"42","42","-0.368"
