name,truth,grouped
1,CC(C)(C)[C@H](NC(=O)C(F)(F)F)C(=O)N1CC2(C[C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O)SCCS2,CC(C)(C)[C@H](NC(=O)C(F)(F)F)C(=O)N1CC2(C[C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O)[S:1]CCS2|CC(C)([C@H](NC(=O)C(F)(F)F)C(=O)N1CC2(C[C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O)SCCS2)[CH3:1]|CC(C)(C)[C@@H](C(=O)N1CC2(C[C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O)SCCS2)[NH:1]C(=O)C(F)(F)F|CC(C)(C)[C@H](NC(=O)C(F)(F)F)C(=O)N1CC2(C[C@H]1C(=O)N[C@H](C#N)C[C@@H]1CC[NH:1]C1=O)SCCS2|CC(C)(C)[C@H](NC(=O)C(F)(F)F)C(=O)N1CC2(C[C@H]1C(=O)N[C@H](C#N)C[C@@H]1C[CH2:1]NC1=O)SCCS2|CC(C)(C)[C@H](NC(=O)C(F)(F)F)C(=O)N1CC2(C[C@H]1C(=O)N[C@H](C#N)C[C@@H:1]1CCNC1=O)SCCS2|CC(C)(C)[C@H](NC(=O)C(F)(F)F)C(=O)N1CC2(C[C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O)SC[CH2:1]S2|CC(C)(C)[C@H](NC(=O)C(F)(F)F)[C:1](=O)N1CC2(C[C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O)SCCS2|CC(C)(C)[C@H](NC(=O)C(F)(F)F)C(=O)N1CC2(C[C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O)[S:1]CC[S:1]2|CC(C)(C)[C@H](NC(=O)C(F)(F)F)C(=O)N1CC2(C[C@H]1[C:1](=O)N[C@H](C#N)C[C@@H]1CCNC1=O)SCCS2
2,CC[C@@H](C(=O)Nc1ccc(C(N)=O)c(F)c1)n1cc(OC)c(-c2cc(Cl)ccc2-n2cc(C(F)(F)F)nn2)cc1=O,CC[C@@H](C(=O)NC1=C[CH:1]=[C:1](C(N)=O)C(F)=C1)N1C=C(OC)C(C2=CC(Cl)=CC=C2N2C=C(C(F)(F)F)N=N2)=CC1=O|CC[C@@H](C(=O)NC1=CC=C(C(N)=O)C(F)=C1)N1C=C([O:1]C)C(C2=CC(Cl)=CC=C2N2C=C(C(F)(F)F)N=N2)=CC1=O|CC[C@@H](C(=O)NC1=CC=C(C(N)=O)C(F)=C1)N1C=C(OC)C([C:1]2=[CH:1]C(Cl)=CC=C2N2C=C(C(F)(F)F)N=N2)=CC1=O|CC[C@@H](C(=O)NC1=CC=C(C(N)=O)C(F)=C1)N1C=C(OC)C(C2=CC(Cl)=CC=C2[N:1]2[CH:1]=[C:1](C(F)(F)F)[N:1]=[N:1]2)=CC1=O|CC[C@@H](C(=O)NC1=CC=C([C:1](N)=[O:1])C(F)=C1)N1C=C(OC)C(C2=CC(Cl)=CC=C2N2C=C(C(F)(F)F)N=N2)=CC1=O|CC[C@@H:1](C(=O)NC1=CC=C(C(N)=O)C(F)=C1)N1C=C(OC)C(C2=CC(Cl)=CC=C2N2C=C(C(F)(F)F)N=N2)=CC1=O|CC[C@@H](C(=O)NC1=CC=C(C(N)=O)C(F)=C1)N1C=C(OC)C(C2=CC(Cl)=CC=C2N2C=C(C(F)(F)F)N=N2)=C[C:1]1=[O:1]|CC[C@@H](C(=O)NC1=CC=C(C(N)=O)C(F)=C1)[N:1]1C=C(OC)C(C2=CC(Cl)=CC=C2N2C=C(C(F)(F)F)N=N2)=CC1=O|CC[C@@H](C(=O)NC1=CC=C(C(N)=O)C(F)=C1)N1C=C(OC)C(C2=CC(Cl)=CC=C2N2C=C(C(F)(F)F)[N:1]=N2)=CC1=O|CC[C@@H](C(=O)NC1=CC=C(C(N)=O)C(F)=C1)N1C=C(OC)C(C2=CC(Cl)=CC=C2N2C=C(C(F)(F)F)N=[N:1]2)=CC1=O
3,CCCCCc1cc(O)c2c(c1)OC(C)(C)C1CCC(C)CC21,CCCCCC1=CC(O)=C2C(=C1)OC(C)([CH3:1])C1CCC(C)CC21|CCCCCC1=CC(O)=C2C(=C1)OC(C)(C)C1CC[CH:1](C)CC21|CCCCCC1=CC([OH:1])=C2C(=C1)OC(C)(C)C1CCC(C)CC21|CCCCCC1=CC(O)=C2C(=C1)OC(C)(C)C1CCC([CH3:1])CC21|CCCCCC1=CC(O)=C2C(=C1)OC(C)(C)C1C[CH2:1]C(C)CC21|CCCCCC1=CC(O)=C2C(=C1)OC(C)(C)C1C[CH2:1][CH:1](C)CC21|CCCCCC1=C[C:1]([OH:1])=C2C(=C1)OC(C)(C)C1CCC(C)CC21|CCCCCC1=CC(O)=C2C(=C1)[O:1]C(C)(C)C1CCC(C)CC21|CCCCCC1=CC(O)=C2C(=C1)OC(C)(C)C1CC[CH:1]([CH3:1])CC21|CCCCCC1=CC(O)=C2C(=C1)OC(C)(C)C1C2CC(C)C[CH2:1]1
4,CC(=O)Nc1ccc(C)c(C(=O)N[C@H](C)c2cccc3ccccc23)c1,CC(=O)NC1=CC=C([CH3:1])C(C(=O)N[C@H](C)/C2=C/C=C\C3=CC=CC=C32)=C1|CC(=O)NC1=CC=C(C)C(C(=O)N[C@H](C)/[C:1]2=[CH:1]/C=C\C3=CC=CC=C32)=C1|CC(=O)[NH:1]C1=CC=C(C)C(C(=O)N[C@H](C)/C2=C/C=C\C3=CC=CC=C32)=C1|CC(=O)NC1=CC=C(C)C(C(=O)N[C@H](C)/C2=C/C=C\C3=C[CH:1]=[CH:1]C=C32)=C1|CC(=O)N[C:1]1=[CH:1][CH:1]=[C:1](C)[C:1](C(=O)N[C@H](C)/C2=C/C=C\C3=CC=CC=C32)=[CH:1]1|CC(=O)NC1=CC=C(C)C(C(=O)N[C@H](C)/C2=C/[CH:1]=[CH:1]\C3=CC=CC=C32)=C1|CC(=O)NC1=C[CH:1]=[C:1](C)C(C(=O)N[C@H](C)/C2=C/C=C\C3=CC=CC=C32)=C1|CC(=O)NC1=C[CH:1]=C(C)C(C(=O)N[C@H](C)/C2=C/C=C\C3=CC=CC=C32)=C1|CC(=O)NC1=CC=C(C)C(C(=O)[NH:1][C@H](C)/C2=C/C=C\C3=CC=CC=C32)=C1|CC(=O)NC1=CC=C(C)C(C(=O)N[C@H](C)/C2=C/C=C\C3=CC=C[CH:1]=C32)=C1
5,Cc1ccc(N)cc1C(=O)N[C@H](C)c1cccc2ccccc12,CC1=CC=C(N)C=C1C(=O)N[C@H](C)/C1=C/C=C\C2=C[CH:1]=[CH:1]C=C21|CC1=CC=C(N)C=C1C(=O)N[C@H](C)/[C:1]1=[CH:1]/C=C\C2=CC=CC=C21|CC1=CC=C(N)C=C1C(=O)N[C@H](C)/C1=C/[CH:1]=[CH:1]\C2=CC=CC=C21|CC1=CC=C([NH2:1])C=C1C(=O)N[C@H](C)/C1=C/C=C\C2=CC=CC=C21|CC1=CC=C(N)C=C1C(=O)N[C@H](C)/C1=C/C=C\C2=CC=C[CH:1]=C21|CC1=CC=C(N)C=C1C(=O)[NH:1][C@H](C)/C1=C/C=C\C2=CC=CC=C21|CC1=CC=C(N)C=C1C(=O)N[C@H]([CH3:1])/C1=C/C=C\C2=CC=CC=C21|CC1=CC=C(N)C=C1C(=O)N[C@H](C)/C1=C/C=C\[C:1]2=[CH:1]C=CC=C12|CC1=CC=C(N)C=C1C(=O)N[C@H:1](C)/C1=C/C=C\C2=CC=CC=C21|CC1=CC=C(N)C=C1C(=O)N[C@H](C)/C1=C/C=C\C2=CC=C[CH:1]=[C:1]21
6,Cn1cc(Nc2nccc(N3C[C@H]4CC[C@@H](C3)N4C(=O)[C@@H]3CC3(F)F)n2)cn1,CN1C=C(N[C:1]2=[N:1][CH:1]=[CH:1][C:1](N3C[C@@H]4CC[C@H](C3)N4C(=O)[C@@H]3CC3(F)F)=[N:1]2)C=N1|C[N:1]1[CH:1]=[C:1](NC2=NC=CC(N3C[C@@H]4CC[C@H](C3)N4C(=O)[C@@H]3CC3(F)F)=N2)[CH:1]=[N:1]1|CN1C=C(NC2=NC=CC(N3C[C@@H]4CC[C@H](C3)N4C(=O)[C@@H]3CC3(F)F)=N2)[CH:1]=[N:1]1|CN1C=C(NC2=NC=CC([N:1]3C[C@@H]4CC[C@H](C3)N4C(=O)[C@@H]3CC3(F)F)=N2)C=N1|CN1[CH:1]=[C:1](NC2=NC=CC(N3C[C@@H]4CC[C@H](C3)N4C(=O)[C@@H]3CC3(F)F)=N2)[CH:1]=[N:1]1|CN1C=C(NC2=NC=CC(N3C[C@@H]4CC[C@H](C3)N4C(=O)[C@@H]3CC3(F)F)=N2)[CH:1]=N1|CN1C=C(N[C:1]2=[N:1]C=CC(N3C[C@@H]4CC[C@H](C3)N4C(=O)[C@@H]3CC3(F)F)=N2)C=N1|CN1C=C(N[C:1]2=[N:1][CH:1]=[CH:1]C(N3C[C@@H]4CC[C@H](C3)N4C(=O)[C@@H]3CC3(F)F)=N2)C=N1|CN1C=C(NC2=NC=CC(N3C[C@@H]4CC[C@H](C3)[N:1]4C(=O)[C@@H]3CC3(F)F)=N2)C=N1|CN1C=C(NC2=NC=CC(N3C[C@@H]4C[CH2:1][C@H](C3)N4C(=O)[C@@H]3CC3(F)F)=N2)C=N1
7,C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,C=CC(=O)NC1=CC(NC2=NC=C(C(=O)OC(C)C)C(/C3=C/N(C)C4=CC=CC=C43)=N2)=C(OC)C=C1N(C)CC[N:1](C)C|C=CC(=O)NC1=CC(NC2=NC=C(C(=O)OC(C)C)C(/C3=C/N(C)C4=CC=CC=C43)=N2)=C(OC)C=C1[N:1](C)CCN(C)C|C=CC(=O)NC1=CC(NC2=NC=C(C(=O)[O:1]C(C)C)C(/C3=C/N(C)C4=CC=CC=C43)=N2)=C(OC)C=C1N(C)CCN(C)C|C=CC(=O)NC1=CC(NC2=NC=C(C(=O)OC(C)C)C(/C3=C/N(C)C4=CC=CC=C43)=N2)=C(OC)C=C1N(C)C[CH2:1]N(C)C|C=CC(=O)NC1=CC(N[C:1]2=[N:1][CH:1]=[C:1](C(=O)OC(C)C)[C:1](/C3=C/N(C)C4=CC=CC=C43)=[N:1]2)=C(OC)C=C1N(C)CCN(C)C|C=CC(=O)NC1=CC([NH:1]C2=NC=C(C(=O)OC(C)C)C(/C3=C/N(C)C4=CC=CC=C43)=N2)=C(OC)C=C1N(C)CCN(C)C|C=CC(=O)[NH:1]C1=CC(NC2=NC=C(C(=O)OC(C)C)C(/C3=C/N(C)C4=CC=CC=C43)=N2)=C(OC)C=C1N(C)CCN(C)C|C=CC(=O)NC1=CC(N[C:1]2=[N:1]C=C(C(=O)OC(C)C)C(/C3=C/N(C)C4=CC=CC=C43)=N2)=C(OC)C=C1N(C)CCN(C)C|C=CC(=O)NC1=CC(NC2=NC=C(C(=O)OC(C)C)C(/C3=C/[N:1](C)C4=CC=CC=C43)=N2)=C(OC)C=C1N(C)CCN(C)C|C=CC(=O)NC1=CC(NC2=NC=C(C(=O)[O:1]C(C)C)C(/C3=C/N(C)C4=CC=CC=C43)=N2)=C(OC)C=C1N(C)CC[N:1](C)C
8,Cc1ccc([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1Cc1ccc(-c2ccc(F)cc2)s1,CC1=CC=C([C@@H]2O[C@H](C[OH:1])[C@@H](O)[C@H](O)[C@H]2O)C=C1CC1=CC=C(C2=CC=C(F)C=C2)S1|CC1=CC=C([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C=C1[CH2:1]C1=CC=C(C2=CC=C(F)C=C2)S1|CC1=CC=C([C@@H]2O[C@H](CO)[C@@H]([OH:1])[C@H](O)[C@H]2O)C=C1CC1=CC=C(C2=CC=C(F)C=C2)S1|CC1=CC=C([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2[OH:1])C=C1CC1=CC=C(C2=CC=C(F)C=C2)S1|CC1=CC=C([C@@H]2O[C@H](CO)[C@@H](O)[C@H]([OH:1])[C@H]2O)C=C1CC1=CC=C(C2=CC=C(F)C=C2)S1|C[C:1]1=[CH:1][CH:1]=[C:1]([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[CH:1]=[C:1]1CC1=CC=C(C2=CC=C(F)C=C2)S1|CC1=CC=C([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C=C1CC1=CC=C(C2=CC=C(F)C=C2)[S:1]1|CC1=CC=C([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C=C1C[C:1]1=[CH:1][CH:1]=[C:1](C2=CC=C(F)C=C2)S1|CC1=CC=C([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C=C1CC1=CC=C(C2=C[CH:1]=[C:1](F)C=C2)S1|CC1=CC=C([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C=C1CC1=CC=C(C2=CC=C(F)[CH:1]=[CH:1]2)S1
10,O=C(Nc1ccc(OC(F)(F)F)cc1)c1sccc1NCc1ccnc2ccccc12,O=C(NC1=CC=C(OC(F)(F)F)C=C1)C1=C([NH:1]C/C2=C/C=N\C3=CC=CC=C32)C=CS1|O=C(NC1=CC=C(OC(F)(F)F)C=C1)C1=C(NC/[C:1]2=[CH:1]/C=N\C3=CC=CC=C32)C=CS1|O=C(NC1=CC=C(OC(F)(F)F)C=C1)C1=C(NC/C2=C/C=N\C3=CC=CC=C32)[CH:1]=[CH:1]S1|O=C(N[C:1]1=[CH:1][CH:1]=[C:1](OC(F)(F)F)[CH:1]=[CH:1]1)C1=C(NC/C2=C/C=N\C3=CC=CC=C32)C=CS1|O=C(NC1=CC=C(OC(F)(F)F)C=C1)[C:1]1=[C:1](NC/C2=C/C=N\C3=CC=CC=C32)C=CS1|O=C(NC1=CC=C(OC(F)(F)F)C=C1)[C:1]1=C(NC/C2=C/C=N\C3=CC=CC=C32)C=CS1|O=C(NC1=CC=C(OC(F)(F)F)C=C1)C1=C(NC/C2=C/C=N\C3=CC=CC=C32)C=C[S:1]1|O=C(NC1=CC=C(OC(F)(F)F)C=C1)[C:1]1=[C:1](NC/C2=C/C=N\C3=CC=CC=C32)[CH:1]=[CH:1][S:1]1|O=C(NC1=CC=C(OC(F)(F)F)C=C1)C1=C(NC/C2=C/C=N\C3=C[CH:1]=[CH:1]C=C32)C=CS1|O=C(NC1=CC=C(OC(F)(F)F)C=C1)C1=C(N[CH2:1]/C2=C/C=N\C3=CC=CC=C32)C=CS1
11,NC1(C(=O)N[C@@H](CCO)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,NC1(C(=O)N[C@@H](CC[OH:1])C2=CC=C(Cl)C=C2)CCN(C2=NC=NC3=C2C=CN3)CC1|NC1(C(=O)N[C@@H](CCO)C2=CC=C(Cl)C=C2)CCN([C:1]2=[N:1][CH:1]=[N:1][C:1]3=[C:1]2C=CN3)CC1|NC1(C(=O)N[C@@H](C[CH2:1]O)C2=CC=C(Cl)C=C2)CCN(C2=NC=NC3=C2C=CN3)CC1|NC1(C(=O)N[C@@H](CCO)C2=CC=C(Cl)C=C2)CCN(C2=NC=NC3=C2C=C[NH:1]3)CC1|NC1(C(=O)N[C@@H](CCO)C2=CC=C(Cl)C=C2)CCN(C2=N[CH:1]=[N:1]C3=C2C=CN3)CC1|NC1(C(=O)N[C@@H](CCO)C2=CC=C(Cl)C=C2)CCN(C2=NC=NC3=C2[CH:1]=[CH:1]N3)CC1|NC1(C(=O)N[C@@H](CCO)C2=CC=C(Cl)C=C2)CC[N:1](C2=NC=NC3=C2C=CN3)CC1|NC1(C(=O)N[C@@H](C[CH2:1][OH:1])C2=CC=C(Cl)C=C2)CCN(C2=NC=NC3=C2C=CN3)CC1|NC1(C(=O)N[C@@H](CCO)C2=C[CH:1]=[C:1](Cl)C=C2)CCN(C2=NC=NC3=C2C=CN3)CC1|NC1(C(=O)N[C@@H](CCO)C2=CC=C(Cl)C=C2)CCN(C2=NC=NC3=C2C=CN3)[CH2:1]C1
