substrate,truth,mapped_rxn,pred_rxn,site_truth
CC(C)(C)[C@H](NC(=O)C(F)(F)F)C(=O)N1CC2(C[C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O)SCCS2,CC(C)(C)[C@H](NC(=O)C(F)(F)F)C(=O)N1CC2(C[C@H]1C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)O)SCCS2,CC(C)(C)[C@H](NC(=O)C(F)(F)F)C(=O)N1CC2(C[C@H]1C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)O)SCCS2>>CC(C)(C)[C@H](NC(=O)C(F)(F)F)C(=O)N1CC2(C[C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O)SCCS2,[CH3:1][C:2]([CH3:3])([CH3:4])[C@H:5]([NH:6][C:7](=[O:8])[C:9]([F:10])([F:11])[F:12])[C:13](=[O:14])[N:15]1[CH2:16][C:17]2([CH2:18][C@H:19]1[C:20](=[O:21])[NH:22][C@@H:23]([CH2:26][C@@H:27]1[CH2:28][CH2:29][NH:30][C:31]1=[O:32])[C:24](=O)O)[S:33][CH2:34][CH2:35][S:36]2>>[CH3:1][C:2]([CH3:3])([CH3:4])[C@H:5]([NH:6][C:7](=[O:8])[C:9]([F:10])([F:11])[F:12])[C:13](=[O:14])[N:15]1[CH2:16][C:17]2([CH2:18][C@H:19]1[C:20](=[O:21])[NH:22][C@H:23]([C:24]#N)[CH2:26][C@@H:27]1[CH2:28][CH2:29][NH:30][C:31]1=[O:32])[S:33][CH2:34][CH2:35][S:36]2,CC(C)(C)[C@H](NC(=O)C(F)(F)F)C(=O)N1CC2(C[C@H]1C(=O)N[C@@H](C[C@@H]1CCNC1=O)[C:1]#N)SCCS2
CC[C@@H](C(=O)Nc1ccc(C(N)=O)c(F)c1)n1cc(OC)c(-c2cc(Cl)ccc2-n2cc(C(F)(F)F)nn2)cc1=O,CC[C@@H](C(=O)O)n1cc(OC)c(-c2cc(Cl)ccc2-n2cc(C(F)(F)F)nn2)cc1=O,CC[C@@H](C(=O)O)n1cc(OC)c(-c2cc(Cl)ccc2-n2cc(C(F)(F)F)nn2)cc1=O>>CC[C@@H](C(=O)Nc1ccc(C(N)=O)c(F)c1)n1cc(OC)c(-c2cc(Cl)ccc2-n2cc(C(F)(F)F)nn2)cc1=O,[CH3:1][CH2:2][C@@H:3]([C:4](=[O:5])[OH:13])[n:17]1[cH:18][c:19]([O:20][CH3:21])[c:22](-[c:23]2[cH:24][c:25]([Cl:26])[cH:27][cH:28][c:29]2-[n:30]2[cH:31][c:32]([C:33]([F:34])([F:35])[F:36])[n:37][n:38]2)[cH:39][c:40]1=[O:41]>>[CH3:1][CH2:2][C@@H:3]([C:4](=[O:5])Nc1ccc(C(N)=[O:13])c(F)c1)[n:17]1[cH:18][c:19]([O:20][CH3:21])[c:22](-[c:23]2[cH:24][c:25]([Cl:26])[cH:27][cH:28][c:29]2-[n:30]2[cH:31][c:32]([C:33]([F:34])([F:35])[F:36])[n:37][n:38]2)[cH:39][c:40]1=[O:41],CC[C@H](n1cc(OC)c(-c2cc(Cl)ccc2-n2cc(C(F)(F)F)nn2)cc1=O)[C:1](=O)Nc1ccc(C(N)=[O:1])c(F)c1
CCCCCc1cc(O)c2c(c1)OC(C)(C)C1CCC(C)CC21,CCCCCc1cc(O)c2c(c1)OC(C)(C)C1CCC(CO)CC21,CCCCCc1cc(O)c2c(c1)OC(C)(C)C1CCC(CO)CC21>>CCCCCc1cc(O)c2c(c1)OC(C)(C)C1CCC(C)CC21,[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][c:6]1[cH:7][c:8]([OH:9])[c:10]2[c:11]([cH:12]1)[O:13][C:14]([CH3:15])([CH3:16])[CH:17]1[CH2:18][CH2:19][CH:20]([CH2:21]O)[CH2:22][CH:23]21>>[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][c:6]1[cH:7][c:8]([OH:9])[c:10]2[c:11]([cH:12]1)[O:13][C:14]([CH3:15])([CH3:16])[CH:17]1[CH2:18][CH2:19][CH:20]([CH3:21])[CH2:22][CH:23]21,CCCCCc1cc(O)c2c(c1)OC(C)(C)C1CCC([CH3:1])CC21
CC(=O)Nc1ccc(C)c(C(=O)N[C@H](C)c2cccc3ccccc23)c1,Cc1ccc(N)cc1C(=O)N[C@H](C)c1cccc2ccccc12,Cc1ccc(N)cc1C(=O)N[C@H](C)c1cccc2ccccc12>>CC(=O)Nc1ccc(C)c(C(=O)N[C@H](C)c2cccc3ccccc23)c1,[CH3:9][c:8]1[cH:7][cH:6][c:5]([NH2:4])[cH:26][c:10]1[C:11](=[O:12])[NH:13][C@H:14]([CH3:15])[c:16]1[cH:17][cH:18][cH:19][c:20]2[cH:21][cH:22][cH:23][cH:24][c:25]12>>CC(=O)[NH:4][c:5]1[cH:6][cH:7][c:8]([CH3:9])[c:10]([C:11](=[O:12])[NH:13][C@H:14]([CH3:15])[c:16]2[cH:17][cH:18][cH:19][c:20]3[cH:21][cH:22][cH:23][cH:24][c:25]23)[cH:26]1,CC(=O)[NH:1]c1ccc(C)c(C(=O)N[C@H](C)c2cccc3ccccc23)c1
Cc1ccc(N)cc1C(=O)N[C@H](C)c1cccc2ccccc12,Cc1cc(O)c(N)cc1C(=O)N[C@H](C)c1cccc2ccccc12,Cc1cc(O)c(N)cc1C(=O)N[C@H](C)c1cccc2ccccc12>>Cc1ccc(N)cc1C(=O)N[C@H](C)c1cccc2ccccc12,[CH3:1][c:2]1[cH:3][c:4](O)[c:5]([NH2:6])[cH:7][c:8]1[C:9](=[O:10])[NH:11][C@H:12]([CH3:13])[c:14]1[cH:15][cH:16][cH:17][c:18]2[cH:19][cH:20][cH:21][cH:22][c:23]12>>[CH3:1][c:2]1[cH:3][cH:4][c:5]([NH2:6])[cH:7][c:8]1[C:9](=[O:10])[NH:11][C@H:12]([CH3:13])[c:14]1[cH:15][cH:16][cH:17][c:18]2[cH:19][cH:20][cH:21][cH:22][c:23]12,Cc1c[cH:1]c(N)cc1C(=O)N[C@H](C)c1cccc2ccccc12
Cn1cc(Nc2nccc(N3C[C@H]4CC[C@@H](C3)N4C(=O)[C@@H]3CC3(F)F)n2)cn1,Nc1nccc(N2C[C@H]3CC[C@@H](C2)N3C(=O)[C@@H]2CC2(F)F)n1,Nc1nccc(N2C[C@H]3CC[C@@H](C2)N3C(=O)[C@@H]2CC2(F)F)n1>>Cn1cc(Nc2nccc(N3C[C@H]4CC[C@@H](C3)N4C(=O)[C@@H]3CC3(F)F)n2)cn1,[NH2:5][c:6]1[n:7][cH:8][cH:9][c:10]([N:11]2[CH2:12][C@H:13]3[CH2:14][CH2:15][C@@H:16]([CH2:17]2)[N:18]3[C:19](=[O:20])[C@@H:21]2[CH2:22][C:23]2([F:24])[F:25])[n:26]1>>Cn1cc([NH:5][c:6]2[n:7][cH:8][cH:9][c:10]([N:11]3[CH2:12][C@H:13]4[CH2:14][CH2:15][C@@H:16]([CH2:17]3)[N:18]4[C:19](=[O:20])[C@@H:21]3[CH2:22][C:23]3([F:24])[F:25])[n:26]2)cn1,Cn1cc([NH:1]c2nccc(N3C[C@@H]4CC[C@H](C3)N4C(=O)[C@@H]3CC3(F)F)n2)cn1
C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCNC,C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCNC>>C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,[CH2:1]=[CH:2][C:3](=[O:4])[NH:5][c:6]1[cH:7][c:8]([NH:9][c:10]2[n:11][cH:12][c:13]([C:14](=[O:15])[O:16][CH:17]([CH3:18])[CH3:19])[c:20](-[c:21]3[cH:22][n:23]([CH3:24])[c:25]4[cH:26][cH:27][cH:28][cH:29][c:30]34)[n:31]2)[c:32]([O:33][CH3:34])[cH:35][c:36]1[N:37]([CH3:38])[CH2:39][CH2:40][NH:41][CH3:42]>>[CH2:1]=[CH:2][C:3](=[O:4])[NH:5][c:6]1[cH:7][c:8]([NH:9][c:10]2[n:11][cH:12][c:13]([C:14](=[O:15])[O:16][CH:17]([CH3:18])[CH3:19])[c:20](-[c:21]3[cH:22][n:23]([CH3:24])[c:25]4[cH:26][cH:27][cH:28][cH:29][c:30]34)[n:31]2)[c:32]([O:33][CH3:34])[cH:35][c:36]1[N:37]([CH3:38])[CH2:39][CH2:40][N:41]([CH3:42])C,C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CC[N:1](C)C
Cc1ccc([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1Cc1ccc(-c2ccc(F)cc2)s1,Cc1ccc([C@@H]2O[C@H](CO)[C@@H](O)[C@H](OC3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)[C@H]2O)cc1Cc1ccc(-c2ccc(F)cc2)s1,Cc1ccc([C@@H]2O[C@H](CO)[C@@H](O)[C@H](OC3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)[C@H]2O)cc1Cc1ccc(-c2ccc(F)cc2)s1>>Cc1ccc([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1Cc1ccc(-c2ccc(F)cc2)s1,[CH3:1][c:2]1[cH:3][cH:4][c:5]([C@@H:6]2[O:7][C@H:8]([CH2:9][OH:10])[C@@H:11]([OH:12])[C@H:13](OC3O[C@H](C(=O)O)[C@@H](O)[C@H]([OH:14])[C@H]3O)[C@H:15]2[OH:16])[cH:17][c:18]1[CH2:19][c:20]1[cH:21][cH:22][c:23](-[c:24]2[cH:25][cH:26][c:27]([F:28])[cH:29][cH:30]2)[s:31]1>>[CH3:1][c:2]1[cH:3][cH:4][c:5]([C@@H:6]2[O:7][C@H:8]([CH2:9][OH:10])[C@@H:11]([OH:12])[C@H:13]([OH:14])[C@H:15]2[OH:16])[cH:17][c:18]1[CH2:19][c:20]1[cH:21][cH:22][c:23](-[c:24]2[cH:25][cH:26][c:27]([F:28])[cH:29][cH:30]2)[s:31]1,Cc1ccc([C@@H]2O[C@H](CO)[C@@H](O)[C@H:1]([OH:1])[C@H]2O)cc1Cc1ccc(-c2ccc(F)cc2)s1
O=C(Nc1ccc(OC(F)(F)F)cc1)c1sccc1NCc1ccnc2ccccc12,O=C(Nc1ccc(OC(F)(F)F)cc1)c1sccc1NCc1cc(=O)[nH]c2ccccc12,O=C(Nc1ccc(OC(F)(F)F)cc1)c1sccc1NCc1cc(=O)[nH]c2ccccc12>>O=C(Nc1ccc(OC(F)(F)F)cc1)c1sccc1NCc1ccnc2ccccc12,[O:1]=[C:2]([NH:3][c:4]1[cH:5][cH:6][c:7]([O:8][C:9]([F:10])([F:11])[F:12])[cH:13][cH:14]1)[c:15]1[s:16][cH:17][cH:18][c:19]1[NH:20][CH2:21][c:22]1[cH:23][c:24](=O)[nH:25][c:26]2[cH:27][cH:28][cH:29][cH:30][c:31]12>>[O:1]=[C:2]([NH:3][c:4]1[cH:5][cH:6][c:7]([O:8][C:9]([F:10])([F:11])[F:12])[cH:13][cH:14]1)[c:15]1[s:16][cH:17][cH:18][c:19]1[NH:20][CH2:21][c:22]1[cH:23][cH:24][n:25][c:26]2[cH:27][cH:28][cH:29][cH:30][c:31]12,O=C(Nc1ccc(OC(F)(F)F)cc1)c1sccc1NCc1c[cH:1]nc2ccccc12
NC1(C(=O)N[C@@H](CCO)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,NC1(C(=O)N[C@@H](CCOC2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,NC1(C(=O)N[C@@H](CCOC2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1>>NC1(C(=O)N[C@@H](CCO)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,[NH2:1][C:2]1([C:3](=[O:4])[NH:5][C@@H:6]([CH2:7][CH2:8][O:9]C2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)[c:10]2[cH:11][cH:12][c:13]([Cl:14])[cH:15][cH:16]2)[CH2:17][CH2:18][N:19]([c:20]2[n:21][cH:22][n:23][c:24]3[nH:25][cH:26][cH:27][c:28]23)[CH2:29][CH2:30]1>>[NH2:1][C:2]1([C:3](=[O:4])[NH:5][C@@H:6]([CH2:7][CH2:8][OH:9])[c:10]2[cH:11][cH:12][c:13]([Cl:14])[cH:15][cH:16]2)[CH2:17][CH2:18][N:19]([c:20]2[n:21][cH:22][n:23][c:24]3[nH:25][cH:26][cH:27][c:28]23)[CH2:29][CH2:30]1,NC1(C(=O)N[C@@H](CC[OH:1])c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1
