substrate,metabolite,mapped_rxn,pred_rxn,site_truth
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC>>C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC,[CH:1]#[C:2][C@:3]1([OH:4])[CH2:8][CH2:9][C@H:10]2[C@@H:11]3[CH2:12][CH2:13][C:14]4=[CH:15]/[C:16](=[N:17]/[OH:18])[CH2:19][CH2:20][C@@H:21]4[C@H:22]3[CH2:23][CH2:24][C@:25]12[CH2:26][CH3:27]>>[CH:1]#[C:2][C@:3]1([O:4]C(C)=O)[CH2:8][CH2:9][C@H:10]2[C@@H:11]3[CH2:12][CH2:13][C:14]4=[CH:15]/[C:16](=[N:17]/[OH:18])[CH2:19][CH2:20][C@@H:21]4[C@H:22]3[CH2:23][CH2:24][C@:25]12[CH2:26][CH3:27],C#C[C@]1([O:1]C(C)=O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC
CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)OC2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)OC2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1>>CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,[CH3:1][C:2]([CH3:3])([OH:4])[c:5]1[cH:6][cH:7][cH:8][cH:9][c:10]1[CH2:11][CH2:12][C@@H:13]([S:14][CH2:15][C:16]1([CH2:17][C:18](=[O:19])[O:20]C2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)[CH2:21][CH2:22]1)[c:23]1[cH:24][cH:25][cH:26][c:27](/[CH:28]=[CH:29]/[c:30]2[cH:31][cH:32][c:33]3[cH:34][cH:35][c:36]([Cl:37])[cH:38][c:39]3[n:40]2)[cH:41]1>>[CH3:1][C:2]([CH3:3])([OH:4])[c:5]1[cH:6][cH:7][cH:8][cH:9][c:10]1[CH2:11][CH2:12][C@@H:13]([S:14][CH2:15][C:16]1([CH2:17][C:18](=[O:19])[OH:20])[CH2:21][CH2:22]1)[c:23]1[cH:24][cH:25][cH:26][c:27](/[CH:28]=[CH:29]/[c:30]2[cH:31][cH:32][c:33]3[cH:34][cH:35][c:36]([Cl:37])[cH:38][c:39]3[n:40]2)[cH:41]1,CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)[OH:1])CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1
CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,CC(O)(CO)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,CC(O)(CO)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1>>CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,[CH3:1][C:2]([OH:4])([CH2:3]O)[c:5]1[cH:6][cH:7][cH:8][cH:9][c:10]1[CH2:11][CH2:12][C@@H:13]([S:14][CH2:15][C:16]1([CH2:17][C:18](=[O:19])[OH:20])[CH2:21][CH2:22]1)[c:23]1[cH:24][cH:25][cH:26][c:27](/[CH:28]=[CH:29]/[c:30]2[cH:31][cH:32][c:33]3[cH:34][cH:35][c:36]([Cl:37])[cH:38][c:39]3[n:40]2)[cH:41]1>>[CH3:1][C:2]([CH3:3])([OH:4])[c:5]1[cH:6][cH:7][cH:8][cH:9][c:10]1[CH2:11][CH2:12][C@@H:13]([S:14][CH2:15][C:16]1([CH2:17][C:18](=[O:19])[OH:20])[CH2:21][CH2:22]1)[c:23]1[cH:24][cH:25][cH:26][c:27](/[CH:28]=[CH:29]/[c:30]2[cH:31][cH:32][c:33]3[cH:34][cH:35][c:36]([Cl:37])[cH:38][c:39]3[n:40]2)[cH:41]1,CC(O)(c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1)[CH3:1]
CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,CC(C)(O)c1ccccc1[C@H](O)C[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,CC(C)(O)c1ccccc1[C@H](O)C[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1>>CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,[CH3:1][C:2]([CH3:3])([OH:4])[c:5]1[cH:6][cH:7][cH:8][cH:9][c:10]1[C@H:11](O)[CH2:12][C@@H:13]([S:14][CH2:15][C:16]1([CH2:17][C:18](=[O:19])[OH:20])[CH2:21][CH2:22]1)[c:23]1[cH:24][cH:25][cH:26][c:27](/[CH:28]=[CH:29]/[c:30]2[cH:31][cH:32][c:33]3[cH:34][cH:35][c:36]([Cl:37])[cH:38][c:39]3[n:40]2)[cH:41]1>>[CH3:1][C:2]([CH3:3])([OH:4])[c:5]1[cH:6][cH:7][cH:8][cH:9][c:10]1[CH2:11][CH2:12][C@@H:13]([S:14][CH2:15][C:16]1([CH2:17][C:18](=[O:19])[OH:20])[CH2:21][CH2:22]1)[c:23]1[cH:24][cH:25][cH:26][c:27](/[CH:28]=[CH:29]/[c:30]2[cH:31][cH:32][c:33]3[cH:34][cH:35][c:36]([Cl:37])[cH:38][c:39]3[n:40]2)[cH:41]1,CC(C)(O)c1ccccc1[CH2:1]C[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1
CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,CC(C)(O)c1ccccc1CC[C@H](c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1)S(=O)CC1(CC(=O)O)CC1,CC(C)(O)c1ccccc1CC[C@H](c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1)S(=O)CC1(CC(=O)O)CC1>>CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,[CH3:1][C:2]([CH3:3])([OH:4])[c:5]1[cH:6][cH:7][cH:8][cH:9][c:10]1[CH2:11][CH2:12][C@H:13]([c:23]1[cH:24][cH:25][cH:26][c:27](/[CH:28]=[CH:29]/[c:30]2[cH:31][cH:32][c:33]3[cH:34][cH:35][c:36]([Cl:37])[cH:38][c:39]3[n:40]2)[cH:41]1)[S:14](=O)[CH2:15][C:16]1([CH2:17][C:18](=[O:19])[OH:20])[CH2:21][CH2:22]1>>[CH3:1][C:2]([CH3:3])([OH:4])[c:5]1[cH:6][cH:7][cH:8][cH:9][c:10]1[CH2:11][CH2:12][C@@H:13]([S:14][CH2:15][C:16]1([CH2:17][C:18](=[O:19])[OH:20])[CH2:21][CH2:22]1)[c:23]1[cH:24][cH:25][cH:26][c:27](/[CH:28]=[CH:29]/[c:30]2[cH:31][cH:32][c:33]3[cH:34][cH:35][c:36]([Cl:37])[cH:38][c:39]3[n:40]2)[cH:41]1,CC(C)(O)c1ccccc1CC[C@H](c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1)[S:1]CC1(CC(=O)O)CC1
CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,CC(C)(O)c1ccccc1CC[C@H](c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1)[S+](O)CC1(CC(=O)O)CC1,CC(C)(O)c1ccccc1CC[C@H](c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1)[S+](O)CC1(CC(=O)O)CC1>>CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,[CH3:1][C:2]([CH3:3])([OH:4])[c:5]1[cH:6][cH:7][cH:8][cH:9][c:10]1[CH2:11][CH2:12][C@H:13]([c:23]1[cH:24][cH:25][cH:26][c:27](/[CH:28]=[CH:29]/[c:30]2[cH:31][cH:32][c:33]3[cH:34][cH:35][c:36]([Cl:37])[cH:38][c:39]3[n:40]2)[cH:41]1)[S+:14](O)[CH2:15][C:16]1([CH2:17][C:18](=[O:19])[OH:20])[CH2:21][CH2:22]1>>[CH3:1][C:2]([CH3:3])([OH:4])[c:5]1[cH:6][cH:7][cH:8][cH:9][c:10]1[CH2:11][CH2:12][C@@H:13]([S:14][CH2:15][C:16]1([CH2:17][C:18](=[O:19])[OH:20])[CH2:21][CH2:22]1)[c:23]1[cH:24][cH:25][cH:26][c:27](/[CH:28]=[CH:29]/[c:30]2[cH:31][cH:32][c:33]3[cH:34][cH:35][c:36]([Cl:37])[cH:38][c:39]3[n:40]2)[cH:41]1,CC(C)(O)c1ccccc1CC[C@H](c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1)[S:1]CC1(CC(=O)O)CC1
CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,CC(C)(O)c1ccccc1[C@@H](O)C[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,CC(C)(O)c1ccccc1[C@@H](O)C[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1>>CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,[CH3:1][C:2]([CH3:3])([OH:4])[c:5]1[cH:6][cH:7][cH:8][cH:9][c:10]1[C@@H:11](O)[CH2:12][C@@H:13]([S:14][CH2:15][C:16]1([CH2:17][C:18](=[O:19])[OH:20])[CH2:21][CH2:22]1)[c:23]1[cH:24][cH:25][cH:26][c:27](/[CH:28]=[CH:29]/[c:30]2[cH:31][cH:32][c:33]3[cH:34][cH:35][c:36]([Cl:37])[cH:38][c:39]3[n:40]2)[cH:41]1>>[CH3:1][C:2]([CH3:3])([OH:4])[c:5]1[cH:6][cH:7][cH:8][cH:9][c:10]1[CH2:11][CH2:12][C@@H:13]([S:14][CH2:15][C:16]1([CH2:17][C:18](=[O:19])[OH:20])[CH2:21][CH2:22]1)[c:23]1[cH:24][cH:25][cH:26][c:27](/[CH:28]=[CH:29]/[c:30]2[cH:31][cH:32][c:33]3[cH:34][cH:35][c:36]([Cl:37])[cH:38][c:39]3[n:40]2)[cH:41]1,CC(C)(O)c1ccccc1[CH2:1]C[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1
CC(C)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1,CC(C)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2O)cc1,CC(C)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2O)cc1>>CC(C)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1,[CH3:1][CH:2]([CH3:3])[CH2:4][NH:5][CH2:6][c:7]1[cH:8][cH:9][c:10](-[c:11]2[cH:12][cH:13][cH:14][cH:15][c:16]2[S:17](=[O:18])(=[O:19])[N:20]2[CH2:21][CH2:22][CH2:23][CH:24]2O)[cH:25][cH:26]1>>[CH3:1][CH:2]([CH3:3])[CH2:4][NH:5][CH2:6][c:7]1[cH:8][cH:9][c:10](-[c:11]2[cH:12][cH:13][cH:14][cH:15][c:16]2[S:17](=[O:18])(=[O:19])[N:20]2[CH2:21][CH2:22][CH2:23][CH2:24]2)[cH:25][cH:26]1,CC(C)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCC[CH2:1]2)cc1
CC(C)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1,NCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1,NCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1>>CC(C)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1,[NH2:5][CH2:6][c:7]1[cH:8][cH:9][c:10](-[c:11]2[cH:12][cH:13][cH:14][cH:15][c:16]2[S:17](=[O:18])(=[O:19])[N:20]2[CH2:21][CH2:22][CH2:23][CH2:24]2)[cH:25][cH:26]1>>CC(C)C[NH:5][CH2:6][c:7]1[cH:8][cH:9][c:10](-[c:11]2[cH:12][cH:13][cH:14][cH:15][c:16]2[S:17](=[O:18])(=[O:19])[N:20]2[CH2:21][CH2:22][CH2:23][CH2:24]2)[cH:25][cH:26]1,CC(C)C[NH:1]Cc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1
CC(C)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1,CC(C)CNC(=O)c1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1,CC(C)CNC(=O)c1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1>>CC(C)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1,[CH3:1][CH:2]([CH3:3])[CH2:4][NH:5][C:6](=O)[c:7]1[cH:8][cH:9][c:10](-[c:11]2[cH:12][cH:13][cH:14][cH:15][c:16]2[S:17](=[O:18])(=[O:19])[N:20]2[CH2:21][CH2:22][CH2:23][CH2:24]2)[cH:25][cH:26]1>>[CH3:1][CH:2]([CH3:3])[CH2:4][NH:5][CH2:6][c:7]1[cH:8][cH:9][c:10](-[c:11]2[cH:12][cH:13][cH:14][cH:15][c:16]2[S:17](=[O:18])(=[O:19])[N:20]2[CH2:21][CH2:22][CH2:23][CH2:24]2)[cH:25][cH:26]1,CC(C)CN[CH2:1]c1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1
