substrate,Enzyme,site_truth,truth,site_count
CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,CYP1A2,CC(C)(O)c1ccccc1CC[C@H](c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1)[S:1]CC1(CC(=O)O)CC1,CC(C)(O)c1ccccc1CC[C@H](c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1)S(=O)CC1(CC(=O)O)CC1,1
CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,CYP2C9,CC(C)(O)c1c[cH:1]ccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1|CC(C)(O)c1ccccc1CC[C@H](c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1)[S:1]CC1(CC(=O)O)CC1|CC(C)(O)c1ccccc1[CH2:1]C[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1|CC(O)(c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1)[CH3:1],CC(C)(O)c1cc(O)ccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1|CC(C)(O)c1ccccc1C(O)C[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1|CC(C)(O)c1ccccc1CC[C@H](c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1)S(=O)CC1(CC(=O)O)CC1|CC(C)(O)c1ccccc1[C@H](O)C[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1|CC(O)(CO)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,4
CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,CYP2D6,CC(C)(O)c1ccccc1CC[C@H](c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1)[S:1]CC1(CC(=O)O)CC1,CC(C)(O)c1ccccc1CC[C@H](c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1)S(=O)CC1(CC(=O)O)CC1,1
CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,CYP3A4,CC(C)(O)c1c[cH:1]ccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1|CC(C)(O)c1ccccc1CC[C@H](c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1)[S:1]CC1(CC(=O)O)CC1|CC(C)(O)c1ccccc1[CH2:1]C[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1|CC(O)(c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1)[CH3:1],CC(C)(O)c1cc(O)ccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1|CC(C)(O)c1ccccc1C(O)C[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1|CC(C)(O)c1ccccc1CC[C@H](c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1)S(=O)CC1(CC(=O)O)CC1|CC(C)(O)c1ccccc1CC[C@H](c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1)[S+]([O-])CC1(CC(=O)O)CC1|CC(C)(O)c1ccccc1[C@@H](O)C[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1|CC(C)(O)c1ccccc1[C@H](O)C[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1|CC(O)(CO)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,4
CC(C)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1,CYP2D6,CC(C)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CC[CH2:1]C2)cc1|CC(C)CN[CH2:1][c:1]1[cH:1]cc(-c2ccccc2S(=O)(N2CCCC2)=[O:1])c[cH:1]1,CC(C)C=O|CC(C)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCC(O)C2)cc1,2
CC(C)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1,CYP3A4,CC(C)CN[CH2:1][c:1]1[cH:1]cc(-c2ccccc2S(=O)(N2CCCC2)=[O:1])c[cH:1]1|CC(C)CN[CH2:1]c1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1|CC(C)C[NH:1]Cc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1,CC(C)C=O|CC(C)CN|CC(C)CNC(O)c1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1,3
CC(CN1c2ccccc2Sc2ccccc21)N(C)C,CYP2D6,CC(CN1c2ccccc2Sc2c[cH:1]ccc21)N(C)C|CC(CN1c2ccccc2Sc2ccccc21)[N:1](C)C|CC(CN1c2ccccc2[S:1]c2ccccc21)N(C)C,CC(CN1c2ccccc2Sc2cc(O)ccc21)N(C)C|CC(CN1c2ccccc2Sc2ccccc21)[N+](C)(C)[O-]|CC(CN1c2ccccc2[S+]([O-])c2ccccc21)N(C)C|CNC(C)CN1c2ccccc2Sc2ccccc21,3
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,CYP2C9,CCC1(c2cc[cH:1]cc2)C(=O)NC(=O)NC1=O,CCC1(c2ccc(O)cc2)C(=O)NC(=O)NC1=O,1
CCCCCCCCc1ccc(CCC(N)(CO)CO)cc1,CYP2D6,NC(CO)(CO)CCc1ccc(CCCCCCC[CH3:1])cc1,NC(CO)(CO)CCc1ccc(CCCCCCCCO)cc1,1
CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1,CYP1A2,CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H]([O:1][CH2:1]CO)[C@@H](O)[C@H]3O)c2n1,O=CCO,1
