,Molecule_Name,Molecule_Number,Atom_Number,Atom_Name,Atom,Span2end,Span2end_N_Correction,Span2end_CO_Correction,COO-Dist,COO_Correction,N+dist,N_Correction,Relative Span,2DSASA,Reactivity,Energy,3A4 Score,2D6 Score,2C9 Score,3A4 Ranking,2D6 Ranking,2C9 Ranking,N_ox,Similarity
0,Smiles,0,0,O,O.1,5,26.85,23.650000000000002,0,0,0,0,0.6666666666666666,0.0,999.0,999.0,993.6666666666666,1025.85,1022.65,21,22,22,0.0,0.6666666666666666
1,Smiles,0,1,C,C.2,6,26.86,23.66,0,0,0,0,0.6,3.2966067999999993,999.0,999.0,994.068135728,1025.7281357279999,1022.5281357279999,22,18,18,0.0,0.0
2,Smiles,0,2,C,C.3,5,26.85,23.650000000000002,0,0,0,0,0.6666666666666666,2.5157428,999.0,999.0,993.5660369546666,1025.749370288,1022.549370288,19,19,19,0.0,0.0
3,Smiles,0,3,C,C.4,4,26.84,23.64,0,0,0,0,0.7333333333333333,24.222758040000002,86.3,86.3,79.46442301173333,112.1710896784,108.97108967839999,11,13,13,0.0,0.6666666666666666
4,Smiles,0,4,C,C.5,3,20.1,17.700000000000003,0,0,0,0,0.8,33.17694352000001,86.3,86.3,78.57292225919998,105.0729222592,102.67292225919999,10,12,12,0.0,0.6666666666666666
5,Smiles,0,5,C,C.6,2,13.4,11.8,0,0,0,0,0.8666666666666667,35.12575704000001,92.0,92.0,83.66163638506666,103.9949697184,102.39496971839999,13,11,11,0.0,0.6666666666666666
6,Smiles,0,6,N,N.7,3,20.1,17.700000000000003,0,0,0,0,0.8,16.838185560000007,75.6,75.6,68.52647257759999,95.02647257759999,92.6264725776,3,5,5,0.0,0.6666666666666666
7,Smiles,0,7,C,C.8,4,26.84,23.64,0,0,0,0,0.7333333333333333,3.1674596,999.0,999.0,993.0066349493334,1025.7133016159999,1022.513301616,17,17,17,0.0,0.0
8,Smiles,0,8,C,C.9,3,20.1,17.700000000000003,0,0,0,0,0.8,3.568122699999999,999.0,999.0,992.457275092,1018.957275092,1016.557275092,16,16,16,0.0,0.0
9,Smiles,0,9,C,C.10,2,13.4,11.8,0,0,0,0,0.8666666666666667,28.469494040000008,86.3,86.3,78.22788690506665,98.5612202384,96.96122023839999,9,8,8,0.0,0.6666666666666666
