,Molecule_Name,Molecule_Number,Atom_Number,Atom_Name,Atom,Span2end,Span2end_N_Correction,Span2end_CO_Correction,COO-Dist,COO_Correction,N+dist,N_Correction,Relative Span,2DSASA,Reactivity,Energy,3A4 Score,2D6 Score,2C9 Score,3A4 Ranking,2D6 Ranking,2C9 Ranking,N_ox,Similarity
0,Smiles,0,0,C,C.1,0,0.0,0.0,0,0,0,0,1.0,61.953904999999985,63.9,63.9,53.4218438,61.4218438,61.4218438,2,1,1,0.0,0.6666666666666666
1,Smiles,0,1,N,N.2,1,6.7,5.9,0,0,0,0,0.9375,18.350617120000003,89.6,89.6,81.36597531519999,95.56597531519999,94.7659753152,16,12,13,0.0,0.3333333333333333
2,Smiles,0,2,C,C.3,2,13.4,11.8,0,0,0,0,0.875,5.5792947999999996,999.0,999.0,991.776828208,1012.176828208,1010.5768282079999,20,20,20,0.0,0.0
3,Smiles,0,3,O,O.4,1,6.7,5.9,0,0,0,0,0.9375,0.0,999.0,999.0,991.5,1005.7,1004.9,19,19,19,0.0,0.6666666666666666
4,Smiles,0,4,C,C.5,3,20.1,17.700000000000003,0,0,0,0,0.8125,2.9853328,999.0,999.0,992.380586688,1018.980586688,1016.580586688,22,22,22,0.0,0.0
5,Smiles,0,5,C,C.6,2,13.4,11.8,0,0,0,0,0.875,25.872266040000003,80.8,80.8,72.7651093584,93.1651093584,91.5651093584,12,10,11,0.0,0.6666666666666666
6,Smiles,0,6,C,C.7,1,6.7,5.9,0,0,0,0,0.9375,32.67395204,74.1,74.1,65.2930419184,79.4930419184,78.6930419184,6,3,3,0.0,1.0
7,Smiles,0,7,C,C.8,2,13.4,11.8,0,0,0,0,0.875,33.49870604,80.8,80.8,72.4600517584,92.8600517584,91.2600517584,11,9,10,0.0,1.0
8,Smiles,0,8,C,C.9,3,20.1,17.700000000000003,0,0,0,0,0.8125,25.02222804000001,77.2,77.2,69.6991108784,96.29911087840001,93.89911087840001,9,13,12,0.0,0.6666666666666666
9,Smiles,0,9,C,C.10,4,26.84,23.64,0,0,0,0,0.75,2.208804700000001,999.0,999.0,992.911647812,1025.7516478119999,1022.5516478119999,23,28,28,0.0,0.0
10,Smiles,0,10,S,S.11,5,26.85,23.650000000000002,0,0,0,0,0.6875,31.992832080000014,46.9,46.9,40.120286716799995,72.4702867168,69.2702867168,1,2,2,0.0,0.4
11,Smiles,0,11,C,C.12,6,26.86,23.66,0,0,0,0,0.625,2.883406700000002,999.0,999.0,993.884663732,1025.744663732,1022.544663732,26,27,27,0.0,0.0
12,Smiles,0,12,C,C.13,7,26.87,23.67,0,0,0,0,0.5625,24.197474040000007,77.2,77.2,71.7321010384,103.10210103840001,99.9021010384,10,17,17,0.0,0.6666666666666666
13,Smiles,0,13,C,C.14,8,26.88,23.68,0,0,0,0,0.5,24.959916560000007,74.1,74.1,69.1016033376,99.98160333759999,96.7816033376,8,16,15,0.0,0.6666666666666666
14,Smiles,0,14,C,C.15,7,26.87,23.67,0,0,0,0,0.5625,6.247646799999999,999.0,999.0,994.250094128,1025.620094128,1022.420094128,27,25,25,0.0,0.0
15,Smiles,0,15,C,C.16,6,26.86,23.66,0,0,0,0,0.625,5.4381268,999.0,999.0,993.782474928,1025.642474928,1022.442474928,25,26,26,0.0,0.0
16,Smiles,0,16,C,C.17,5,26.85,23.650000000000002,0,0,0,0,0.6875,18.923263640000002,65.6,65.6,59.343069454399995,91.69306945439999,88.4930694544,4,8,7,0.0,0.3333333333333333
17,Smiles,0,17,C,C.18,4,26.84,23.64,0,0,0,0,0.75,20.808703640000004,65.6,65.6,58.76765185439999,91.6076518544,88.4076518544,3,6,6,0.0,0.3333333333333333
18,Smiles,0,18,C,C.19,3,20.1,17.700000000000003,0,0,0,0,0.8125,6.092477800000001,999.0,999.0,992.256300888,1018.8563008880001,1016.4563008880001,21,21,21,0.0,0.0
19,Smiles,0,19,C,C.20,2,13.4,11.8,0,0,0,0,0.875,31.03135152,86.3,86.3,78.0587459392,98.4587459392,96.85874593919999,15,15,16,0.0,0.6666666666666666
20,Smiles,0,20,C,C.21,1,6.7,5.9,0,0,0,0,0.9375,34.32346004000001,86.3,86.3,77.4270615984,91.6270615984,90.82706159840001,14,7,8,0.0,1.0
21,Smiles,0,21,C,C.22,0,0.0,0.0,0,0,0,0,1.0,36.742121520000005,86.3,86.3,76.8303151392,84.8303151392,84.8303151392,13,4,4,0.0,1.0
22,Smiles,0,22,C,C.23,1,6.7,5.9,0,0,0,0,0.9375,36.77526504000001,92.0,92.0,83.0289893984,97.2289893984,96.4289893984,17,14,14,0.0,0.6666666666666666
23,Smiles,0,23,N,N.24,2,13.4,11.8,0,0,0,0,0.875,22.140467040000004,75.6,75.6,67.7143813184,88.1143813184,86.5143813184,7,5,5,0.0,0.6666666666666666
24,Smiles,0,24,N,N.25,6,26.86,23.66,0,0,0,0,0.625,23.05227404,92.1,92.1,86.17790903839999,118.03790903839999,114.83790903839999,18,18,18,0.0,0.3333333333333333
25,Smiles,0,25,N,N.26,7,26.87,23.67,0,0,0,0,0.5625,24.025364560000007,999.0,999.0,993.5389854176,1024.9089854176,1021.7089854175999,24,23,23,0.0,0.3333333333333333
26,Smiles,0,26,C,C.27,8,26.88,23.68,0,0,0,0,0.5,7.7759537000000005,999.0,999.0,994.688961852,1025.568961852,1022.368961852,28,24,24,0.0,0.0
27,Smiles,0,27,C,C.28,7,26.87,23.67,0,0,0,0,0.5625,21.64252404000001,68.2,68.2,62.834299038400005,94.20429903840001,91.0042990384,5,11,9,0.0,0.3333333333333333
