,Molecule_Name,Molecule_Number,Atom_Number,Atom_Name,Atom,Span2end,Span2end_N_Correction,Span2end_CO_Correction,COO-Dist,COO_Correction,N+dist,N_Correction,Relative Span,2DSASA,Reactivity,Energy,3A4 Score,2D6 Score,2C9 Score,3A4 Ranking,2D6 Ranking,2C9 Ranking,N_ox,Similarity
0,Smiles,0,0,O,O.1,0,0.0,0.0,0,0,0,0,1.0,0.0,999.0,999.0,991.0,999.0,999.0,14,14,14,0.0,0.3333333333333333
1,Smiles,0,1,C,C.2,1,6.7,5.9,0,0,0,0,0.9,32.03361700000001,59.9,59.9,51.41865531999999,65.31865531999999,64.51865532,2,1,1,0.0,0.4
2,Smiles,0,2,C,C.3,2,13.4,11.8,0,0,0,0,0.8,5.4845057,999.0,999.0,992.380619772,1012.180619772,1010.580619772,16,16,16,0.0,0.0
3,Smiles,0,3,N,N.4,1,6.7,5.9,0,0,0,0,0.9,20.77809052,92.1,92.1,84.06887637919999,97.9688763792,97.1688763792,12,10,10,0.0,0.6666666666666666
4,Smiles,0,4,C,C.5,2,13.4,11.8,0,0,0,0,0.8,30.382614520000004,69.4,69.4,61.784695419200006,81.58469541920002,79.98469541920001,4,4,4,0.0,0.3333333333333333
5,Smiles,0,5,C,C.6,3,20.1,17.700000000000003,0,0,0,0,0.7,5.3510255,999.0,999.0,993.18595898,1018.88595898,1016.4859589800001,17,17,17,0.0,0.0
6,Smiles,0,6,N,N.7,3,20.1,17.700000000000003,0,0,0,0,0.7,-0.49710329999999736,92.1,92.1,86.519884132,112.21988413199999,109.819884132,13,13,13,0.0,0.3333333333333333
7,Smiles,0,7,C,C.8,4,26.84,23.64,0,0,0,0,0.6,3.0061485999999995,999.0,999.0,994.0797540560001,1025.7197540559998,1022.519754056,20,20,20,0.0,0.0
8,Smiles,0,8,C,C.9,3,20.1,17.700000000000003,0,0,0,0,0.7,21.78370204,86.3,86.3,79.8286519184,105.5286519184,103.1286519184,11,11,11,0.0,0.6666666666666666
9,Smiles,0,9,C,C.10,2,13.4,11.8,0,0,0,0,0.8,27.396062040000004,80.8,80.8,73.30415751839999,93.1041575184,91.50415751839999,6,8,8,0.0,0.6666666666666666
10,Smiles,0,10,C,C.11,3,20.1,17.700000000000003,0,0,0,0,0.7,5.2789918,999.0,999.0,993.188840328,1018.888840328,1016.488840328,18,18,18,0.0,0.0
11,Smiles,0,12,C,C.13,4,26.84,23.64,0,0,0,0,0.6,17.73992404,80.8,80.8,75.2904030384,106.9304030384,103.7304030384,8,12,12,0.0,0.3333333333333333
12,Smiles,0,13,C,C.14,5,26.85,23.650000000000002,0,0,0,0,0.5,2.294600400000001,999.0,999.0,994.908215984,1025.758215984,1022.558215984,22,21,21,0.0,0.0
13,Smiles,0,14,C,C.15,4,26.84,23.64,0,0,0,0,0.6,1.5545626000000006,999.0,999.0,994.137817496,1025.777817496,1022.577817496,21,22,22,0.0,0.0
14,Smiles,0,15,C,C.16,3,20.1,17.700000000000003,0,0,0,0,0.7,2.5275674000000006,999.0,999.0,993.298897304,1018.998897304,1016.598897304,19,19,19,0.0,0.0
15,Smiles,0,16,C,C.17,2,13.4,11.8,0,0,0,0,0.8,25.047512040000004,80.8,80.8,73.39809951839999,93.1980995184,91.59809951839999,7,9,9,0.0,0.6666666666666666
16,Smiles,0,17,C,C.18,1,6.7,5.9,0,0,0,0,0.9,32.67395204,84.1,84.1,75.59304191839999,89.4930419184,88.6930419184,9,6,6,0.0,1.0
17,Smiles,0,18,C,C.19,0,0.0,0.0,0,0,0,0,1.0,34.32346004000001,80.8,80.8,71.4270615984,79.4270615984,79.4270615984,5,3,3,0.0,1.0
18,Smiles,0,19,C,C.20,1,6.7,5.9,0,0,0,0,0.9,31.097739040000008,84.1,84.1,75.65609043839999,89.55609043839999,88.7560904384,10,7,7,0.0,0.6666666666666666
19,Smiles,0,20,C,C.21,2,13.4,11.8,0,0,0,0,0.8,6.260536800000001,999.0,999.0,992.349578528,1012.149578528,1010.549578528,15,15,15,0.0,0.0
20,Smiles,0,22,N,N.23,4,26.84,23.64,0,0,0,0,0.6,11.503215160000003,61.9,61.9,56.639871393600004,88.27987139359999,85.07987139359999,3,5,5,0.0,0.3333333333333333
21,Smiles,0,23,C,C.24,4,26.84,23.64,0,0,0,0,0.6,27.107117519999996,48.5,48.5,42.615715299200005,74.2557152992,71.0557152992,1,2,2,0.0,0.3333333333333333
