,Molecule_Name,Molecule_Number,Atom_Number,Atom_Name,Atom,Span2end,Span2end_N_Correction,Span2end_CO_Correction,COO-Dist,COO_Correction,N+dist,N_Correction,Relative Span,2DSASA,Reactivity,Energy,3A4 Score,2D6 Score,2C9 Score,3A4 Ranking,2D6 Ranking,2C9 Ranking,N_ox,Similarity
0,Smiles,0,0,C,C.1,7,26.87,23.67,0,0,8,0.0,0.631578947368421,62.24319899999998,62.2,62.2,54.65764046105264,86.58027204000001,83.38027204000001,7,7,7,0.0,1.0
1,Smiles,0,1,O,O.2,8,26.88,23.68,0,0,7,6.7,0.5789473684210527,0.0,999.0,999.0,994.3684210526316,1032.5800000000002,1022.68,29,28,31,0.0,0.0
2,Smiles,0,2,C,C.3,9,26.89,23.69,0,0,6,13.4,0.5263157894736842,2.9490355000000026,999.0,999.0,994.6715122642105,1039.17203858,1022.57203858,31,29,28,0.0,0.0
3,Smiles,0,3,C,C.4,8,26.88,23.68,0,0,5,20.1,0.5789473684210527,3.9360648000000014,999.0,999.0,994.2109784606315,1045.822557408,1022.5225574079999,28,31,26,0.0,0.0
4,Smiles,0,4,O,O.5,7,26.87,23.67,0,0,6,13.4,0.631578947368421,0.0,999.0,999.0,993.9473684210526,1039.27,1022.67,26,30,30,0.0,0.0
5,Smiles,0,5,C,C.6,6,26.86,23.66,0,0,7,6.7,0.6842105263157895,25.657310520000003,62.2,62.2,55.70002336867369,94.7337075792,84.8337075792,9,11,9,0.0,0.4
6,Smiles,0,6,C,C.7,5,26.85,23.650000000000002,0,0,8,0.0,0.7368421052631579,24.004062999999995,75.9,75.9,69.04510063789475,101.78983748,98.58983748000001,14,12,14,0.0,0.4
7,Smiles,0,7,C,C.8,4,26.84,23.64,0,0,9,0.0,0.7894736842105263,24.150194000000006,41.1,41.1,33.818202766315785,66.97399224,63.773992240000005,2,4,4,0.0,0.4
8,Smiles,0,8,N,N.9,3,20.1,17.700000000000003,0,0,10,0.0,0.8421052631578947,4.225178999999999,42.6,42.6,35.694150734736844,62.53099284,60.130992840000005,3,3,3,0.0,0.6666666666666666
9,Smiles,0,9,C,C.10,2,13.4,11.8,0,0,11,0.0,0.8947368421052632,33.995457,41.1,41.1,32.5822869831579,53.14018172,51.54018172000001,1,2,1,0.0,0.6666666666666666
10,Smiles,0,10,C,C.11,1,6.7,5.9,0,0,12,0.0,0.9473684210526315,37.526446,62.2,62.2,53.11999479157895,67.39894216,66.59894216000001,6,5,5,0.0,0.3333333333333333
11,Smiles,0,11,O,O.12,0,0.0,0.0,0,0,13,0.0,1.0,0.0,999.0,999.0,991.0,999.0,999.0,19,19,19,0.0,0.0
12,Smiles,0,12,C,C.13,1,6.7,5.9,0,0,12,0.0,0.9473684210526315,37.526446,62.2,62.2,53.11999479157895,67.39894216,66.59894216000001,6,5,5,0.0,0.3333333333333333
13,Smiles,0,13,C,C.14,2,13.4,11.8,0,0,11,0.0,0.8947368421052632,33.995457,41.1,41.1,32.5822869831579,53.14018172,51.54018172000001,1,2,1,0.0,0.6666666666666666
14,Smiles,0,14,C,C.15,7,26.87,23.67,0,0,6,13.4,0.631578947368421,24.212823040000004,68.2,68.2,62.17885549945263,107.50148707840002,90.90148707840001,11,15,12,0.0,0.6666666666666666
15,Smiles,0,15,C,C.16,8,26.88,23.68,0,0,7,6.7,0.5789473684210527,21.482334040000005,74.1,74.1,68.60912769103157,106.8207066384,96.9207066384,13,14,13,0.0,0.6666666666666666
16,Smiles,0,16,C,C.17,8,26.88,23.68,0,0,8,0.0,0.5789473684210527,4.5648752,999.0,999.0,994.1858260446315,1025.6974049920002,1022.4974049919999,27,25,25,0.0,0.0
17,Smiles,0,17,C,C.18,9,26.89,23.69,0,0,7,6.7,0.5263157894736842,3.9694158,999.0,999.0,994.6306970522105,1032.4312233680002,1022.531223368,30,27,27,0.0,0.0
18,Smiles,0,18,N,N.19,8,26.88,23.68,0,0,8,0.0,0.5789473684210527,7.591976640000013,75.6,75.6,70.66474198703158,102.1763209344,98.97632093440001,15,13,15,0.0,0.3333333333333333
19,Smiles,0,19,C,C.20,7,26.87,23.67,0,0,9,0.0,0.631578947368421,5.3390559,999.0,999.0,993.7338061850526,1025.656437764,1022.4564377639999,25,23,23,0.0,0.0
20,Smiles,0,20,N,N.21,6,26.86,23.66,0,0,10,0.0,0.6842105263157895,5.227565720000012,89.6,89.6,83.91721316067368,116.2508973712,113.0508973712,17,18,18,0.0,0.3333333333333333
21,Smiles,0,21,C,C.22,5,26.85,23.650000000000002,0,0,11,0.0,0.7368421052631579,4.7120368,999.0,999.0,992.9167816858946,1025.661518528,1022.4615185279999,23,24,24,0.0,0.0
22,Smiles,0,22,O,O.23,4,26.84,23.64,0,0,12,0.0,0.7894736842105263,0.0,999.0,999.0,992.6842105263158,1025.84,1022.64,22,26,29,0.0,0.6666666666666666
23,Smiles,0,23,C,C.24,4,26.84,23.64,0,0,12,0.0,0.7894736842105263,4.660862,999.0,999.0,992.4977760463158,1025.65356552,1022.45356552,21,22,22,0.0,0.0
24,Smiles,0,24,C,C.25,3,20.1,17.700000000000003,0,0,13,0.0,0.8421052631578947,29.148825040000006,92.0,92.0,84.09720489313685,110.93404699839999,108.5340469984,18,16,16,0.0,0.3333333333333333
25,Smiles,0,25,N,N.26,2,13.4,11.8,0,0,14,0.0,0.8947368421052632,21.21169452,75.6,75.6,67.59363748235788,88.15153221919999,86.5515322192,12,9,11,0.0,0.6666666666666666
26,Smiles,0,26,C,C.27,1,6.7,5.9,0,0,15,0.0,0.9473684210526315,9.511693800000002,999.0,999.0,991.040584879579,1005.3195322480001,1004.519532248,20,20,20,0.0,0.0
27,Smiles,0,27,N,N.28,0,0.0,0.0,0,0,16,0.0,1.0,54.42232,54.1,54.1,43.923107200000004,51.923107200000004,51.923107200000004,5,1,2,0.0,0.6666666666666666
28,Smiles,0,28,N,N.29,2,13.4,11.8,0,0,14,0.0,0.8947368421052632,21.21169452,75.6,75.6,67.59363748235788,88.15153221919999,86.5515322192,12,9,11,0.0,0.6666666666666666
29,Smiles,0,29,C,C.30,3,20.1,17.700000000000003,0,0,13,0.0,0.8421052631578947,29.148825040000006,92.0,92.0,84.09720489313685,110.93404699839999,108.5340469984,18,16,16,0.0,0.3333333333333333
30,Smiles,0,30,N,N.31,6,26.86,23.66,0,0,10,0.0,0.6842105263157895,5.3638033000000025,89.6,89.6,83.91176365747368,116.245447868,113.045447868,16,17,17,0.0,0.3333333333333333
31,Smiles,0,31,C,C.32,5,26.85,23.650000000000002,0,0,11,0.0,0.7368421052631579,33.05047900000001,63.9,63.9,56.683243997894735,89.42798084,86.22798084,10,10,10,0.0,0.6666666666666666
32,Smiles,0,32,C,C.33,5,26.85,23.650000000000002,0,0,11,0.0,0.7368421052631579,37.713474,48.5,48.5,41.09672419789474,73.84146104,70.64146104000001,4,6,6,0.0,0.3333333333333333
33,Smiles,0,33,N,N.34,6,26.86,23.66,0,0,10,0.0,0.6842105263157895,20.17313612000001,61.9,61.9,55.61939034467368,87.95307455519999,84.7530745552,8,8,8,0.0,0.3333333333333333
