"Atom number","Rang","Delta P"
"5","1","0.486"
"15","2","0.258"
"13","3","0.153"
"24","4","0.144"
"12","5","-0.023"
"16","6","-0.062"
"18","7","-0.077"
"30","8","-0.191"
"9","9","-0.222"
"38","10","-0.222"
"8","11","-0.250"
"39","12","-0.250"
"1","13","-0.336"
"2","14","-0.346"
"3","15","-0.346"
"4","16","-0.346"
"25","17","-0.346"
"26","18","-0.346"
"27","19","-0.346"
"31","20","-0.346"
"32","21","-0.346"
"33","22","-0.346"
"22","23","-0.394"
"28","24","-0.421"
"11","25","-0.451"
"19","26","-0.485"
"20","27","-0.499"
"14","28","-0.526"
"23","29","-0.531"
"7","30","-0.533"
"10","31","-0.607"
"29","32","-0.668"
"21","33","-0.719"
"37","34","-0.732"
"17","35","-0.763"
"34","36","-0.819"
"36","37","-0.821"
"35","38","-0.841"
"6","39","-0.862"
