"Atom number","Rang","Delta P"
"3","1","0.261"
"13","2","0.149"
"2","3","0.144"
"21","4","0.064"
"1","5","0.031"
"5","6","-0.016"
"9","7","-0.072"
"29","8","-0.072"
"11","9","-0.107"
"4","10","-0.151"
"6","11","-0.154"
"18","12","-0.217"
"17","13","-0.246"
"27","14","-0.306"
"7","15","-0.422"
"26","16","-0.434"
"10","17","-0.447"
"28","18","-0.447"
"8","19","-0.470"
"19","20","-0.504"
"22","21","-0.520"
"23","22","-0.520"
"24","23","-0.520"
"14","24","-0.593"
"25","25","-0.595"
"16","26","-0.604"
"15","27","-0.655"
"20","28","-0.731"
"12","29","-0.822"
