"Atom number","Rang","Delta P"
"16","1","-0.004"
"34","2","-0.017"
"35","3","-0.024"
"36","4","-0.029"
"8","5","-0.038"
"25","6","-0.041"
"14","7","-0.047"
"11","8","-0.051"
"30","9","-0.051"
"27","10","-0.070"
"26","11","-0.071"
"40","12","-0.081"
"41","13","-0.081"
"42","14","-0.081"
"39","15","-0.089"
"22","16","-0.093"
"12","17","-0.101"
"1","18","-0.104"
"7","19","-0.104"
"37","20","-0.104"
"9","21","-0.107"
"29","22","-0.108"
"6","23","-0.113"
"38","24","-0.115"
"28","25","-0.128"
"5","26","-0.130"
"10","27","-0.131"
"24","28","-0.138"
"15","29","-0.144"
"32","30","-0.146"
"4","31","-0.147"
"19","32","-0.158"
"13","33","-0.161"
"33","34","-0.161"
"2","35","-0.165"
"3","36","-0.173"
"21","37","-0.173"
"31","38","-0.174"
"23","39","-0.180"
"18","40","-0.181"
"17","41","-0.190"
"20","42","-0.212"
