"Atom number","Rang","Delta P"
"1","1","0.602"
"12","2","0.019"
"29","3","-0.065"
"22","4","-0.080"
"6","5","-0.108"
"28","6","-0.108"
"31","7","-0.128"
"30","8","-0.176"
"8","9","-0.178"
"19","10","-0.183"
"35","11","-0.354"
"7","12","-0.371"
"24","13","-0.373"
"25","14","-0.373"
"26","15","-0.373"
"3","16","-0.426"
"9","17","-0.430"
"18","18","-0.435"
"33","19","-0.439"
"21","20","-0.460"
"32","21","-0.476"
"5","22","-0.512"
"23","23","-0.516"
"27","24","-0.521"
"20","25","-0.526"
"14","26","-0.529"
"4","27","-0.534"
"13","28","-0.538"
"10","29","-0.540"
"17","30","-0.558"
"16","31","-0.583"
"34","32","-0.595"
"2","33","-0.608"
"15","34","-0.616"
"11","35","-0.644"
