"Atom number","Rang","Delta P"
"8","1","0.287"
"14","2","0.215"
"18","3","0.215"
"22","4","0.137"
"26","5","0.093"
"24","6","0.092"
"1","7","-0.052"
"11","8","-0.082"
"10","9","-0.494"
"2","10","-0.507"
"17","11","-0.575"
"13","12","-0.598"
"28","13","-0.618"
"5","14","-0.629"
"4","15","-0.651"
"6","16","-0.652"
"25","17","-0.659"
"19","18","-0.679"
"12","19","-0.690"
"20","20","-0.692"
"7","21","-0.693"
"27","22","-0.703"
"9","23","-0.732"
"15","24","-0.748"
"16","25","-0.753"
"3","26","-0.791"
"21","27","-0.866"
"23","28","-0.875"
