"Atom number","Rang","Delta P"
"24","1","0.447"
"2","2","0.101"
"1","3","0.027"
"6","4","0.005"
"3","5","-0.015"
"31","6","-0.022"
"9","7","-0.088"
"13","8","-0.110"
"17","9","-0.145"
"30","10","-0.163"
"33","11","-0.183"
"20","12","-0.235"
"32","13","-0.279"
"7","14","-0.291"
"4","15","-0.324"
"5","16","-0.342"
"14","17","-0.380"
"8","18","-0.383"
"18","19","-0.391"
"21","20","-0.402"
"26","21","-0.437"
"19","22","-0.441"
"27","23","-0.441"
"28","24","-0.441"
"29","25","-0.441"
"11","26","-0.459"
"12","27","-0.480"
"15","28","-0.487"
"16","29","-0.544"
"25","30","-0.567"
"23","31","-0.568"
"22","32","-0.571"
"10","33","-0.721"
