"Atom number","Rang","Delta P"
"32","1","-0.004"
"26","2","-0.011"
"2","3","-0.070"
"19","4","-0.070"
"23","5","-0.073"
"12","6","-0.088"
"22","7","-0.139"
"3","8","-0.147"
"10","9","-0.147"
"14","10","-0.147"
"16","11","-0.147"
"21","12","-0.147"
"24","13","-0.147"
"31","14","-0.147"
"11","15","-0.174"
"1","16","-0.195"
"29","17","-0.220"
"15","18","-0.250"
"33","19","-0.251"
"27","20","-0.266"
"17","21","-0.279"
"20","22","-0.310"
"35","23","-0.322"
"18","24","-0.366"
"28","25","-0.372"
"30","26","-0.381"
"13","27","-0.394"
"4","28","-0.402"
"5","29","-0.432"
"6","30","-0.520"
"34","31","-0.645"
"9","32","-0.693"
"25","33","-0.724"
"7","34","-0.752"
"8","35","-0.868"
