"Atom number","Rang","Delta P"
"22","1","0.297"
"20","2","0.212"
"18","3","0.176"
"9","4","0.096"
"5","5","0.062"
"29","6","0.062"
"13","7","0.019"
"6","8","-0.004"
"28","9","-0.004"
"21","10","-0.011"
"24","11","-0.029"
"15","12","-0.041"
"26","13","-0.041"
"1","14","-0.064"
"11","15","-0.098"
"19","16","-0.116"
"14","17","-0.129"
"10","18","-0.176"
"3","19","-0.184"
"17","20","-0.219"
"16","21","-0.244"
"25","22","-0.244"
"27","23","-0.252"
"4","24","-0.317"
"7","25","-0.331"
"2","26","-0.403"
"23","27","-0.404"
"8","28","-0.427"
"12","29","-0.519"
