"Atom number","Rang","Delta P"
"21","1","0.760"
"33","2","0.507"
"1","3","0.148"
"3","4","0.081"
"2","5","0.071"
"14","6","-0.068"
"12","7","-0.098"
"5","8","-0.135"
"8","9","-0.135"
"17","10","-0.135"
"20","11","-0.135"
"24","12","-0.135"
"27","13","-0.135"
"30","14","-0.135"
"13","15","-0.173"
"26","16","-0.194"
"15","17","-0.232"
"29","18","-0.267"
"23","19","-0.300"
"16","20","-0.323"
"34","21","-0.343"
"19","22","-0.368"
"22","23","-0.375"
"18","24","-0.501"
"7","25","-0.525"
"10","26","-0.571"
"9","27","-0.572"
"6","28","-0.592"
"25","29","-0.596"
"28","30","-0.596"
"31","31","-0.596"
"32","32","-0.614"
"4","33","-0.682"
"11","34","-0.763"
