"Atom number","Rang","Delta P"
"21","1","0.947"
"33","2","0.574"
"1","3","0.039"
"2","4","-0.009"
"3","5","-0.128"
"5","6","-0.128"
"8","7","-0.128"
"17","8","-0.128"
"20","9","-0.128"
"24","10","-0.128"
"27","11","-0.128"
"30","12","-0.128"
"34","13","-0.266"
"26","14","-0.393"
"22","15","-0.433"
"29","16","-0.464"
"4","17","-0.474"
"14","18","-0.506"
"32","19","-0.521"
"23","20","-0.530"
"10","21","-0.539"
"7","22","-0.557"
"12","23","-0.596"
"6","24","-0.603"
"25","25","-0.671"
"28","26","-0.673"
"15","27","-0.688"
"31","28","-0.697"
"19","29","-0.704"
"16","30","-0.713"
"13","31","-0.742"
"9","32","-0.758"
"18","33","-0.855"
"11","34","-0.860"
