"Atom number","Rang","Delta P"
"1","1","0.578"
"16","2","0.257"
"19","3","0.194"
"8","4","0.086"
"20","5","-0.007"
"21","6","-0.007"
"12","7","-0.009"
"24","8","-0.151"
"26","9","-0.182"
"13","10","-0.215"
"27","11","-0.288"
"4","12","-0.297"
"11","13","-0.297"
"29","14","-0.301"
"30","15","-0.308"
"28","16","-0.311"
"23","17","-0.316"
"17","18","-0.350"
"9","19","-0.398"
"14","20","-0.421"
"10","21","-0.448"
"7","22","-0.500"
"15","23","-0.519"
"6","24","-0.530"
"22","25","-0.555"
"18","26","-0.594"
"5","27","-0.623"
"3","28","-0.633"
"25","29","-0.672"
"2","30","-0.712"
