"Atom number","Rang","Delta P"
"26","1","0.690"
"6","2","0.003"
"13","3","-0.078"
"15","4","-0.078"
"21","5","-0.078"
"8","6","-0.151"
"25","7","-0.276"
"19","8","-0.297"
"1","9","-0.298"
"23","10","-0.541"
"11","11","-0.559"
"22","12","-0.569"
"3","13","-0.572"
"17","14","-0.585"
"5","15","-0.599"
"10","16","-0.606"
"4","17","-0.659"
"16","18","-0.678"
"7","19","-0.698"
"9","20","-0.773"
"24","21","-0.798"
"12","22","-0.828"
"20","23","-0.846"
"14","24","-0.858"
"18","25","-0.868"
"2","26","-0.886"
