Molecule ID,SMILES,Metabolites
1,CC(C)(C)[C@H](NC(=O)C(F)(F)F)C(=O)N1CC2(C[C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O)SCCS2,CC(C)(C)C(N)C(=O)N1CC2(C[C@H]1C(=O)N[C@@H](C#N)C[C@@H]1CCNC1=O)SCCS2 CC(C)(C)[C@H](N)C(=O)N1CC2(C[C@H]1C(=O)NC(C#N)C[C@@H]1CCNC1=O)SCCS2 N#C[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H]1CC2(CN1C(=O)[C@@H](N)C(F)(F)F)SCCS2 CC(C)(C)[C@H](N)C(=O)N1CC2(C[C@H]1C(=O)N[C@@H](C#N)C[C@@H]1CCNC1=O)SCCS2 CC(C)(C)C(N)C(=O)N1CC2(CC1C(=O)NC(C#N)CC1CCNC1=O)SCCS2 CC(C)(C)[C@H](NC(=O)C(F)(F)F)C(=O)N1CC2(CCS2)C[C@H]1C(=O)N[C@@H](C#N)C[C@@H]1CCNC1=O CC(C)(C)[C@H](N)C(=O)N1CC2(C[C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O)SCCS2 CC(C)(C)[C@H](NC(=O)C(F)(F)F)C(=O)N1CC2(C[C@H]1C(=O)N[C@@H](C#N)C[C@@H]1CCN=C1O)SCCS2 CC(C)(C)C(N)C(=O)N1CC2(C[C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O)SCCS2 N#C[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H]1C[C@@]2(CCS2)CN1C(=O)[C@@H](N)C(F)(F)F N#C[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H]1CC2(CN1C(=O)[C@H](N)C(F)(F)F)SCCS2 CC(C)(C)[C@H](NC(=O)C(F)(F)F)C(=O)N1CC2(C[C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O)OCCS2
2,CC[C@@H](C(=O)Nc1ccc(C(N)=O)c(F)c1)n1cc(OC)c(-c2cc(Cl)ccc2-n2cc(C(F)(F)F)nn2)cc1=O,CC[C@@H](C(=O)Nc1ccc(C(N)=O)c(F)c1)n1cc(O)c(-c2cc(Cl)ccc2-n2cc(C(F)(F)F)nn2)cc1=O CC[C@@H](C(=O)Nc1ccc(C(N)=O)c(F)c1)n1cc(OC)c(-c2cc(Cl)ccc2-n2cnc(C(F)(F)F)c2)cc1=O CC[C@@H](C(=O)Nc1ccc(C(=O)O)c(F)c1)n1cc(OC)c(-c2cc(Cl)ccc2-n2cnc(C(F)(F)F)c2)cc1=O CC[C@H](C(O)=Nc1ccc(C(N)=O)c(F)c1)n1cc(OC)c(-c2cc(Cl)ccc2-n2cc(C(F)(F)F)nn2)cc1=O CC[C@@H](C(O)=Nc1ccc(C(N)=O)c(F)c1)n1cc(OC)c(-c2cc(Cl)ccc2-n2cc(C(F)(F)F)nn2)cc1=O CC[C@@H](C(=O)Nc1ccc(C(=O)O)c(F)c1)n1cc(O)c(-c2cc(Cl)ccc2-n2cc(C(F)(F)F)nn2)cc1=O CC[C@@H](C(=O)O)n1cc(OC)c(-c2cc(Cl)ccc2-n2cc(C(F)(F)F)nn2)cc1=O CC[C@@H](C(O)=Nc1ccc(C(=O)NC(C)=O)c(F)c1)n1cc(OC)c(-c2cc(Cl)ccc2-n2cc(C(F)(F)F)nn2)cc1=O CC[C@@H](C(=O)Nc1ccc(C(N)=O)c(F)c1)n1cc(O)c(-c2cc(Cl)ccc2-n2cnc(C(F)(F)F)c2)cc1=O CC[C@@H](C(=O)Nc1ccc(C(=O)O)c(F)c1)n1cc(OC)c(-c2cc(Cl)ccc2-n2cnc(C(F)(F)F)c2O)cc1=O CC[C@@H](C(O)=Nc1ccc(C(N)=O)c(F)c1)n1cc(O)c(-c2cc(Cl)ccc2-n2cc(C(F)(F)F)nn2)cc1=O CC[C@@H](C(O)=Nc1ccc(C(=O)O)c(F)c1)n1cc(OC)c(-c2cc(Cl)ccc2-n2cc(C(F)(F)F)nn2)cc1=O CC[C@@H](C(=O)Nc1ccc(C(=O)NC(C)=O)c(F)c1)n1cc(OC)c(-c2cc(Cl)ccc2-n2cc(C(F)(F)F)nn2)cc1=O CC[C@H](C(=O)Nc1ccc(C(N)=O)c(F)c1)n1cc(OC)c(-c2cc(Cl)ccc2-n2cnc(C(F)(F)F)c2)cc1=O CC[C@@H](C(=O)Nc1ccc(C(=O)O)c(F)c1)n1cc(OC)c(-c2cc(Cl)ccc2-n2cc(C(F)(F)F)nn2)cc1=O NC(=O)c1ccc(NC(=O)[C@H](CCO)n2cc(O)c(-c3cc(Cl)ccc3-n3cc(C(F)(F)F)nn3)cc2=O)cc1F
3,CCCCCc1cc(O)c2c(c1)OC(C)(C)C1CCC(C)CC21,CCCCCc1cc(O)c2c(c1)OC(C)(C)C1CCC(CO)CC21 CCCCCc1cc(O)c2c(c1)OC(C)(C)C1C[C@@H](O)[C@@H](C)CC21 CCCCCc1cc(O)c2c(c1)OC(C)(C)C1CC(O)C(C)CC21 CCCCCc1cc(O)c2c(c1)OC(C)(C)C1C[C@@H](O)C(C)C[C@@H]21 CCCCCc1cc(O)c2c(c1)OC(C)(C)C1CCC3(C)OC3C21 CCCCCc1cc(O)c2c(c1)OC(C)(C)C1C(O)CC(C)CC21 CCCCCc1cc(O)c2c(c1)OC(C)(C)C1C2CC(C)C[C@@H]1O CCCCCc1cc(O)c2c(c1)OC(C)(C)C1C[C@@H](O)C(C)CC21 CCCCCc1cc(OC)c2c(c1)OC(C)(C)C1CCC(CO)CC21 CCCCCc1cc(O)c2c(c1)OC(C)(C)C1CCCCC21
4,CC(=O)Nc1ccc(C)c(C(=O)N[C@H](C)c2cccc3ccccc23)c1,CC(=O)Nc1ccc(C)c(C(=O)N[C@H](C)c2cc(O)cc3ccccc23)c1 CC(=O)Nc1ccc(C)c(C(=O)N[C@H](C)c2cc(O)c(O)c3ccccc23)c1 CC(=O)Nc1cc(O)c(C)c(C(=O)N[C@H](C)c2cccc3ccccc23)c1 Cc1ccc(N)cc1C(=O)N[C@@H](C)c1cccc2ccccc12 Cc1ccc(N)cc1C(=O)NC(C)c1cccc2ccccc12 CC(=O)Nc1ccc(C)c(C(=O)N[C@H](C)c2ccc(O)c3ccccc23)c1 CC(=O)Nc1ccc(CO)c(C(=O)N[C@H](C)c2cccc3ccccc23)c1 Cc1ccc(N)cc1C(=O)N[C@H](C)c1cccc2ccccc12 CC(=O)Nc1ccc(C)c(C(=O)N[C@H](C)c2cccc3c(O)cccc23)c1 CC(=O)Nc1ccc(C)c(C(=O)N[C@@H](C)c2ccc(O)c3ccccc23)c1
5,Cc1ccc(N)cc1C(=O)N[C@H](C)c1cccc2ccccc12,Cc1ccc(N)cc1C(=O)N[C@@H](C)c1ccc(O)c2ccccc12 Cc1ccc(NC=O)cc1C(=O)N[C@H](C)c1cccc2ccccc12 Cc1ccc(N[C@@H](C)c2cccc3ccccc23)cc1C(=O)N[C@H](C)c1ccccc1O Cc1ccc(N)cc1C(=O)N[C@H](C)c1cc(O)cc2ccccc12 CC(=O)Nc1ccc(C)c(C(=O)N[C@H](C)c2cccc3ccccc23)c1 Cc1ccc(N)cc1C(=O)N[C@H](C)c1ccc(O)c2ccccc12 CC(NC(=O)c1cc(N)ccc1CO)c1cccc2ccccc12 Cc1ccc(NC(C)c2cccc3ccccc23)cc1C(=O)N[C@H](C)c1ccccc1O Cc1ccc(N)cc1C(=O)N[C@H](C)c1cc(O)c(O)c2ccccc12 Cc1ccc(NO)cc1C(=O)N[C@H](C)c1cccc2ccccc12 Cc1ccc(N=CO)cc1C(=O)N[C@H](C)c1cccc2ccccc12 Cc1ccc(N)cc1C(=O)N[C@H](C)c1cccc2c(O)c(O)ccc12 CC(=O)Nc1ccc(C)c(C(=O)N[C@H](C)c2cccc3c(O)c(O)ccc23)c1 CC(=O)Nc1ccc(C)c(C(=O)N[C@H](C)c2cccc3c(O)cccc23)c1 Cc1cc(O)c(N)cc1C(=O)N[C@H](C)c1cccc2ccccc12
6,Cn1cc(Nc2nccc(N3C[C@@H]4CC[C@H](C3)N4C(=O)[C@@H]3CC3(F)F)n2)cn1,O=C1C2CCC(CN2c2ccnc(Nc3cn[nH]c3)n2)N1C(=O)C1CC1(F)F Cn1cc(Nc2nccc(N3C[C@@H]4CC[C@H](C3)N4C(=O)C3(F)CC3(F)F)n2)cn1 Cn1cc(Nc2nccc(N3C[C@@H]4CC[C@H](C3)N4)n2)cn1 O=C([C@@H]1CC1(F)F)N1C(=O)[C@@H]2CC[C@@H]1CN(c1ccnc(Nc3cn[nH]c3)n1)C2 Cn1cc(Nc2nccc(N3CC4CCC(C3)N4C(=O)C3CC3(F)F)n2)c[n+]1CO Cn1cc(Nc2nccc(N3C[C@@H]4CC[C@H](C3)N4C(=O)C3CC3(F)F)n2)c[n+]1[O-] O=C1C2CCC(CN(c3ccnc(Nc4cn[nH]c4)n3)C2)N1CC(F)(F)F Cn1cc(Nc2nccc(N3CC4CC[C@@H](C3)N4C(=O)C3(F)CC3(F)F)n2)cn1 Cn1cc(Nc2nccc(N3C[C@@H]4CC[C@H](C3)N4C(=O)[C@@H]3CC3(F)F)n2)c[n+]1[O-] Cn1cc(Nc2nccc(N3CC4CCC(C3)N4C(=O)C3CC3(F)F)n2)c[n+]1C Cn1cc(Nc2nccc(N3CC4CCC(C3)N4)n2)cn1 Cn1cc(Nc2nccc(N3CC4CCC(C3)N4C(=O)C3CC3(F)F)n2)c[n+]1[O-] Cn1cc(Nc2nccc(N3CC4CC(O)C(C3)N4C(=O)C3CC3(F)F)n2)cn1 O=C1OC2(F)CC2C(=O)N2C1CC(F)(F)C2CNc1ccnc(Nc2cn[nH]c2)n1
7,C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3c[nH]c4ccccc34)n2)c(OC)cc1N C=Cc1nc2cc(Nc3ncc(C(=O)OC(C)C)c(-c4cn(C)c5ccccc45)n3)c(OC)cc2n1C C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(O)cc1N(C)CCNC COc1cc2c(cc1Nc1ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n1)NC(=O)C(O)CN2C C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1NC C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3c[nH]c4ccccc34)n2)c(OC)cc1NC C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1NCCN(C)C COc1cc2c(cc1Nc1ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n1)NC(=O)C(O)CN2 CNCCN(C)c1cc(OC)c(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)cc1NC(=O)C=CO C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3c[nH]c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCNC C=CC(=O)Nc1cc(Nc2ncc(C(=O)O)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1NC C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1NCCNC C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3c[nH]c4ccccc34)n2)c(OC)cc1N(C)CCNC C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(O)cc1NC C=CC(=O)Nc1cc(Nc2ncc(C(=O)O)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N
8,Cc1ccc([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1Cc1ccc(-c2ccc(F)cc2)s1,Cc1ccc([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1Cc1ccc(-c2ccc(F)c(O)c2)s1 Cc1ccc([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)[C@H]2O)cc1Cc1ccc(-c2ccc(F)cc2)s1 OC[C@H]1OC(c2ccc(Cc3ccc(-c4ccc(F)cc4)s3)c(O)c2)[C@H](O)[C@@H](O)[C@@H]1O OCc1cc(C2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)ccc1Cc1ccc(-c2ccc(F)cc2)s1 Cc1ccc([C@@H]2O[C@H](CO)[C@@H](O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)cc1Cc1ccc(-c2ccc(F)cc2)o1 Cc1ccc([C@@H]2O[C@H](CO)[C@@H](O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)cc1Cc1ccc(-c2ccc(F)cc2)s1 Cc1ccc([C@@H]2O[C@H](CO)[C@@H](O[C@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)cc1Cc1ccc(-c2ccc(F)cc2)s1 OC[C@H]1O[C@@H](c2ccc(Cc3ccc(-c4ccc(F)cc4)s3)c(O)c2)[C@H](O)[C@@H](O)[C@@H]1O Cc1ccc([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O[C@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)[C@H]2O)cc1Cc1ccc(-c2ccc(F)cc2)s1 OC[C@H]1O[C@@H](c2ccc(Cc3ccc(-c4ccc(F)cc4)s3)cc2)[C@H](O)[C@@H](O)[C@@H]1O OC[C@@H]1O[C@@H](c2ccc(Cc3ccc(-c4ccc(F)cc4)s3)c(O)c2)[C@H](O)[C@@H](O)[C@@H]1O
9,COC1CCC(n2c([C@@]3(C)CCC(=O)N3c3ccc(F)c(F)c3)nc3cc(-c4c(C)noc4C)ccc32)CC1,COC1CCC(n2c(=O)[nH]c3cc(-c4c(C)noc4C)ccc32)CC1 Cc1noc(C)c1-c1ccc2c(c1)nc(C1(C)CCC(=O)N1c1ccc(F)c(F)c1)n2C1CCC(O)CC1 COC1CCC(n2c([C@]3(C)CCC(=O)N3c3ccc(F)c(F)c3)nc3cc(-c4c(C)noc4CO)ccc32)CC1 Cc1noc(C)c1-c1ccc2c(c1)nc([C@@]1(C)CCC(=O)N1c1ccc(F)c(F)c1)n2[C@H]1CC[C@H](O)CC1 Cc1noc(C)c1-c1ccc2c(c1)nc([C@@]1(C)CCC(=O)N1c1ccc(F)c(F)c1)n2[C@H]1CC[C@@H](O)CC1 Cc1noc(C)c1-c1ccc2c(c1)nc([C@@]1(C)CCC(=O)N1c1ccc(F)c(F)c1)n2C1CCC(O)CC1 COC1CCC(n2c(C3(C)CCC(=O)N3)nc3cc(-c4c(C)noc4C)ccc32)CC1 Cc1noc(C)c1-c1ccc2c(c1)nc([C@]1(C)CCC(=O)N1c1ccc(F)c(F)c1)n2C1CCC(O)CC1 Cc1noc(C)c1-c1ccc2c(c1)nc([C@@]1(C)CCC(=O)N1c1ccc(F)c(F)c1)n2C1CCC(=O)CC1 Cc1noc(C)c1-c1ccc2[nH]c([C@@]3(C)CCC(=O)N3c3ccc(F)c(F)c3)nc2c1 COC1CCC(n2c([C@@]3(C)CCC(=O)N3c3ccc(F)c(F)c3)nc3cc(-c4c(C)noc4CO)ccc32)CC1
10,O=C(Nc1ccc(OC(F)(F)F)cc1)c1sccc1NCc1ccnc2ccccc12,O=C(Nc1ccc(OC(F)(F)F)cc1)c1sc(O)cc1NCc1ccnc2ccccc12 O=C(Nc1ccc(OC(F)(F)F)cc1)c1sccc1NCc1cc(O)nc2ccccc12 O=C(Nc1ccc(OC(F)(F)F)cc1)c1sccc1NC(O)c1ccnc2ccccc12 O=C(Nc1ccc(OC(F)(F)F)cc1)c1sccc1NC(=O)c1ccnc2ccccc12 O=C(Nc1ccc(OC(F)(F)F)cc1)c1sccc1N[C@@H](Cc1ccnc2ccccc12)C(=O)O O=C(Nc1ccc(OC(F)(F)F)c(O)c1)c1sccc1NCc1ccnc2ccccc12 O=C(Nc1ccc(OC(F)(F)F)cc1)c1sccc1NCc1ccnc2c(O)c(O)ccc12 O=C(Nc1ccc(OC(F)(F)F)cc1)c1sccc1NC(=O)c1cc(O)nc2ccccc12 O=C(Nc1ccc(OC(F)(F)F)cc1)c1sccc1NCc1ccnc2cc(O)ccc12 Nc1ccsc1C(=O)Nc1ccc(OC(F)(F)F)cc1 O=C(Nc1ccc(OC(F)(F)F)cc1)c1sccc1NC(=O)c1ccnc2c(O)cccc12 O=C(Nc1ccc(OC(F)(F)F)cc1)c1sccc1NC(=O)c1cc(O)cc2ccccc12 O=C(Nc1ccc(OC(F)(F)F)cc1)c1sccc1N[C@@H](Cc1ccnc2ccccc12)C(O)=NCCS O=C(Nc1ccc(OC(F)(F)F)cc1)c1sccc1N(Cc1ccnc2ccccc12)C(=O)O O=C(Nc1ccc(OC(F)(F)F)cc1)c1sccc1NCc1ccnc2ccc(O)cc12 O=C(O)CN=C(O)[C@H](Cc1ccnc2ccccc12)Nc1ccsc1C(=O)Nc1ccc(OC(F)(F)F)cc1 O=C(O)CNC(=O)c1sccc1NCc1ccnc2ccccc12 O=C(Nc1ccc(OC(F)(F)F)cc1)c1sccc1NCc1cc[n+]([O-])c2ccccc12 O=C(O)c1sccc1NCc1ccnc2ccccc12 O=C(Nc1ccc(OC(F)(F)F)cc1)c1sccc1NCc1ccnc2c(O)cccc12
