Name,SMILES,predictions
1,CC(C)(C)[C@H](NC(=O)C(F)(F)F)C(=O)N1CC2(C[C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O)SCCS2,CC(C)(CO)[C@H](NC(=O)C(F)(F)F)C(=O)N1CC2(C[C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O)SCCS2 CC(C)(C)[C@H](NC(=O)C(F)(F)F)C(=O)N1CC2(C[C@H]1C(=O)N[C@H](C#N)C[C@@H]1CC(=O)NC1=O)SCCS2 CC(C)(C)[C@H](N)C(=O)N1CC2(C[C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O)SCCS2 CC(C)(C)[C@H](NC(=O)C(F)(F)F)C(=O)N1CC2(C[C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O)SCCS2=O
2,CC[C@@H](C(=O)NC1=CC=C(C(N)=O)C(F)=C1)N1C=C(OC)C(C2=CC(Cl)=CC=C2N2C=C(C(F)(F)F)N=N2)=CC1=O,CC[C@@H](C(=O)NC1=CC=C(C(N)=O)C(F)=C1)N1C=C(OC)C(C2(O)CC(Cl)=CC=C2N2C=C(C(F)(F)F)N=N2)=CC1=O CC[C@@H](C(=O)NC1=CC=C(C(N)=O)C(F)=C1)N1C=C(O)C(C2=CC(Cl)=CC=C2N2C=C(C(F)(F)F)N=N2)=CC1=O CC[C@@H](C(=O)NC1=CC=C(C(N)=O)C(F)=C1)N1C=C(OC)C(C2=CC(Cl)=CC=C2n2cc(C(F)(F)F)nn2)=CC1=O CC[C@@H](C(=O)NC1=CCC(C(N)=O)C(F)=C1)N1C=C(OC)C(C2=CC(Cl)=CC=C2N2C=C(C(F)(F)F)N=N2)=CC1=O CC[C@@H](C(=O)NC1=CC=C(C(=O)O)C(F)=C1)N1C=C(OC)C(C2=CC(Cl)=CC=C2N2C=C(C(F)(F)F)N=N2)=CC1=O
3,CCCCCC1=CC(O)=C2C(=C1)OC(C)(C)C1CCC(C)CC21,CCCCCC1=CC(O)=C2C(=C1)OC(C)(C)C1CCC(C)(O)CC21 CCCCCC1=CC(OC2OC(C(=O)O)C(O)C(O)C2O)=C2C(=C1)OC(C)(C)C1CCC(C)CC21 CCCCCC1=CC(O)=C2C(=C1)OC(C)(C)C1CC(O)C(C)CC21 CCCCCC1=CC(O)=C2C(=C1)OC(C)(CO)C1CCC(C)CC21 CCCCCC1=CC(O)=C2C(=C1)OC(C)(C)C1CCC(CO)CC21
4,CC(=O)NC1=CC=C(C)C(C(=O)N[C@H](C)/C2=C/C=C\C3=CC=CC=C32)=C1,CC(=O)Nc1ccc(C)c(C(=O)N[C@H](C)/C2=C/C=C\C3=CC=CC=C32)c1 CC(=O)NC1=CC=C(CO)C(C(=O)N[C@H](C)/C2=C/C=C\C3=CC=CC=C32)=C1 CC(=O)NC1=CC=C(C)C(C(=O)N[C@H](C)C2CC=CC3=CC=CC=C32)=C1 CC1=CC=C(N)C=C1C(=O)N[C@H](C)/C1=C/C=C\C2=CC=CC=C21 CC(=O)NC1=CC=C(C)C(C(=O)N[C@H](C)/C2=C/C=C\C3=CC4OC4C=C32)=C1
5,CC1=CC=C(N)C=C1C(=O)N[C@H](C)/C1=C/C=C\C2=CC=CC=C21,CC1=CC=C(N)C=C1C(=O)N[C@H](C)/C1=C/C=C\C2=CC=CC(O)=C21 CC1=CC=C(N)C=C1C(=O)N[C@H](C)C1(O)CC=CC2=CC=CC=C21 CC1=CC=C(NO)C=C1C(=O)N[C@H](C)/C1=C/C=C\C2=CC=CC=C21 CC1=CC=C(N)C=C1C(=O)N[C@H](C)C1=CC=CC2=CC3OC3C=C21 CC1=CC=C(N)C=C1C(=O)N[C@H](C)C1=CC2OC2C2=CC=CC=C21
6,CN1C=C(NC2=NC=CC(N3C[C@@H]4CC[C@H](C3)N4C(=O)[C@@H]3CC3(F)F)=N2)C=N1,CN1C=C(NC2=NC=CC(N3C[C@@H]4CC[C@H](C3)N4C(=O)[C@@H]3CC3(F)F)=N2)C(=O)N1 CN1C=C(NC2=NC=CC(N3C[C@@H]4CC[C@H](C3)N4C(=O)[C@@H]3CC3(F)F)=N2)CN1 CN1C=C(Nc2nccc(N3C[C@@H]4CC[C@H](C3)N4C(=O)[C@@H]3CC3(F)F)n2)C=N1 Cn1cc(NC2=NC=CC(N3C[C@@H]4CC[C@H](C3)N4C(=O)[C@@H]3CC3(F)F)=N2)cn1
7,C=CC(=O)NC1=CC(NC2=NC=C(C(=O)OC(C)C)C(/C3=C/N(C)C4=CC=CC=C43)=N2)=C(OC)C=C1N(C)CCN(C)C,C=CC(=O)NC1=CC(NC2=NC=C(C(=O)OC(C)C)C(C3=CN(C)C4=CC=CC=C34)=N2)=C(OC)C=C1NCCN(C)C C=CC(=O)NC1=CC(NC2=NC=C(C(=O)O)C(C3=CN(C)C4=CC=CC=C34)=N2)=C(OC)C=C1N(C)CCN(C)C C=CC(=O)NC1=CC(NC2=NC=C(C(=O)OC(C)C)C(C3=CN(C)C4=CC=CC=C34)=N2)=C(OC)C=C1N(C)CC[N+](C)(C)[O-] C=CC(=O)NC1=CC(NC2=NC=C(C(=O)OC(C)C)C(C3=CN(C)C4=CC=CC=C34)=N2)=C(OC)C=C1N(C)CC(=O)N(C)C C=CC(=O)NC1=CC(Nc2ncc(C(=O)OC(C)C)c(C3=CN(C)C4=CC=CC=C34)n2)=C(OC)C=C1N(C)CCN(C)C
8,CC1=CC=C([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C=C1CC1=CC=C(C2=CC=C(F)C=C2)S1,CC1=CC=C([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)C=C1CC1=CC=C(C2=CC=C(F)C=C2)S1 CC1=CC=C([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)[C@H]2O)C=C1CC1=CC=C(C2=CC=C(F)C=C2)S1 CC1=CC=C([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C=C1C(O)C1=CC=C(C2=CC=C(F)C=C2)S1 CC1=CC=C([C@@H]2O[C@H](CO)[C@@H](O[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)C=C1CC1=CC=C(C2=CC=C(F)C=C2)S1 CC1=CC=C([C@@H]2O[C@H](COC3OC(C(=O)O)C(O)C(O)C3O)[C@@H](O)[C@H](O)[C@H]2O)C=C1CC1=CC=C(C2=CC=C(F)C=C2)S1
9,COC1CCC(N2C3=CC=C(C4=C(C)ON=C4C)C=C3/N=C\2[C@@]2(C)CCC(=O)N2C2=CC=C(F)C(F)=C2)CC1,CC1=NOC(C)=C1C1=CC=C2N/C(=C/C3=NC(=O)CCC3(C)C3=CC=C(F)C(F)=C3)[C@]2(C)C=C1 COC1CCC(N2C3=CC=C(C4=C(C)ON=C4C)C=C3/N=C\2[C@@]2(C)CCC(=O)N2C2=CC=C(F)C(F)=C2)CC1O COC1CCC(N2C3=CC=C(C4=C(CO)ON=C4C)C=C3/N=C\2[C@@]2(C)CCC(=O)N2C2=CC=C(F)C(F)=C2)CC1 COC1CCC(N2C3=CC=C(C4=C(C)ON=C4C)C=C3/N=C\2[C@@]2(C)CCC(=O)N2C2=CC=C(F)C(F)=C2)C(O)C1 COC1CCC(N2C3=CC=C(C4=C(C)ON=C4C)C=C3/N=C\2[C@@]2(C)C[C@@H](O)C(=O)N2C2=CC=C(F)C(F)=C2)CC1
10,O=C(NC1=CC=C(OC(F)(F)F)C=C1)C1=C(NC/C2=C/C=N\C3=CC=CC=C32)C=CS1,O=C(Nc1ccc(OC(F)(F)F)cc1)C1=C(NC/C2=C/C=N\C3=CC=CC=C32)C=CS1 O=C(NC1=CC=C(OC(F)(F)F)C=C1)C1=C(NC/C2=C/C=N\C3=CC=CC=C32)C2OC2S1 O=C(NC1=CC=C(OC(F)(F)F)C=C1)C1(O)SC=CC1NC/C1=C/C=N\C2=CC=CC=C21 O=C(NC1=CC=C(OC(F)(F)F)C=C1)C1=C(NCC2(O)CC=NC3=CC=CC=C32)C=CS1 NC1=C(C(=O)NC2=CC=C(OC(F)(F)F)C=C2)SC=C1
