name,substrate,predict_site
1,CC(C)(C)[C@H](NC(=O)C(F)(F)F)C(=O)N1CC2(C[C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O)SCCS2,CC(C)(C)[C@H](NC(=O)C(F)(F)F)C(=O)N1CC2(C[C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O)SCC[S:1]2|CC(C)(C)[C@H](NC(=O)C(F)(F)F)C(=O)N1CC2(C[C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O)SCC[S:1]2|CC(C)([C@H](NC(=O)C(F)(F)F)C(=O)N1CC2(C[C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O)SCCS2)[CH3:1]|CC(C)(C)[C@H](N[C:1](=O)C(F)(F)F)C(=O)N1CC2(C[C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O)SCCS2|CC(C)(C)[C@H](NC(=O)C(F)(F)F)C(=O)N1CC2(C[C@H]1[C:1](=O)N[C@H](C#N)C[C@@H]1CCNC1=O)SCCS2|CC(C)(C)[C@H](NC(=O)C(F)(F)F)C(=O)N1CC2(C[C@H]1C(=O)N[C@H](C#N)C[C@@H]1C[CH2:1]NC1=O)SCCS2|CC(C)(C)[C@H](NC(=O)C(F)(F)F)C(=O)N1CC2(C[C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O)SC[CH2:1]S2|CC(C)(C)[C@H](NC(=O)C(F)(F)F)C(=O)N1CC2(C[C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O)SC[CH2:1]S2|CC(C)(C)[C@H](NC(=O)C(F)(F)F)C(=O)N1CC2(C[C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O)SC[CH2:1]S2|CC(C)(C)[C@H](NC(=O)C(F)(F)F)C(=O)N1CC2(C[C@H]1C(=O)N[C@@H](C[C@@H]1CCNC1=O)[C:1]#N)SCCS2|CC(C)(C)[C@H](NC(=O)C(F)(F)F)C(=O)N1CC2(C[C@H]1C(=O)N[C@@H](C[C@@H]1CCNC1=O)[C:1]#N)SCCS2|CC(C)(C)[C@H](NC(=O)C(F)(F)F)C(=O)N1CC2(SCCS2)[CH2:1][C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O
2,CC[C@@H](C(=O)Nc1ccc(C(N)=O)c(F)c1)n1cc(OC)c(-c2cc(Cl)ccc2-n2cc(C(F)(F)F)nn2)cc1=O,CC[C@@H](C(=O)Nc1ccc([C:1](N)=O)c(F)c1)n1cc(OC)c(-c2cc(Cl)ccc2-n2cc(C(F)(F)F)nn2)cc1=O|CC[C@@H](C(=O)Nc1ccc(C(N)=O)[c:1](F)c1)n1cc(OC)c(-c2cc(Cl)ccc2-n2cc(C(F)(F)F)nn2)cc1=O|CC[C@H](n1cc(OC)c(-c2cc(Cl)ccc2-n2cc(C(F)(F)F)nn2)cc1=O)[C:1](=O)Nc1ccc(C(N)=O)c(F)c1|COc1cn([C@@H](C[CH3:1])C(=O)Nc2ccc(C(N)=O)c(F)c2)c(=O)cc1-c1cc(Cl)ccc1-n1cc(C(F)(F)F)nn1|COc1cn([C@H](C(=O)Nc2ccc(C(N)=O)c(F)c2)[CH2:1]C)c(=O)cc1-c1cc(Cl)ccc1-n1cc(C(F)(F)F)nn1|CC[C@@H](C(=O)Nc1ccc(C(N)=O)[c:1](F)c1)n1cc(OC)c(-c2cc(Cl)ccc2-n2cc(C(F)(F)F)nn2)cc1=O|CC[C@@H:1](C(=O)Nc1ccc(C(N)=O)c(F)c1)n1cc(OC)c(-c2cc(Cl)ccc2-n2cc(C(F)(F)F)nn2)cc1=O|CC[C@@H](C(=O)Nc1ccc(C(N)=O)[c:1](F)c1)n1cc(OC)c(-c2cc(Cl)ccc2-n2cc(C(F)(F)F)nn2)cc1=O|CC[C@@H](C(=O)Nc1ccc(C(=O)[NH2:1])c(F)c1)n1cc(OC)c(-c2cc(Cl)ccc2-n2cc(C(F)(F)F)nn2)cc1=O
3,CCCCCc1cc(O)c2c(c1)OC(C)(C)C1CCC(C)CC21,CCCCCc1cc(O)c2c(c1)OC(C)(C)C1CCC([CH3:1])CC21|CC1CCC2C(C1)c1c(O)cc(CCC[CH2:1]C)cc1OC2(C)C|CCCCCc1cc2c(c([OH:1])c1)C1CC(C)CCC1C(C)(C)O2|CCCC[CH2:1]c1cc(O)c2c(c1)OC(C)(C)C1CCC(C)CC21|CCCCCc1cc(O)c2c(c1)OC(C)(C)C1C[CH2:1]C(C)CC21|CCCCCc1cc(O)c2c(c1)OC(C)(C)C1CC[CH:1](C)CC21|CC1CCC2C(C1)c1c(O)cc(CCCC[CH3:1])cc1OC2(C)C|CCCCCc1cc2c(c([OH:1])c1)C1CC(C)CCC1C(C)(C)O2|CCC[CH2:1]Cc1cc(O)c2c(c1)OC(C)(C)C1CCC(C)CC21|CCCCCc1cc2c(c([OH:1])c1)C1CC(C)CCC1C(C)(C)O2
4,CC(=O)Nc1ccc(C)c(C(=O)N[C@H](C)c2cccc3ccccc23)c1,CC(=O)Nc1ccc(C)c(C(=O)N[C@H](C)c2cc[cH:1]c3ccccc23)c1|CC(=O)Nc1ccc([CH3:1])c(C(=O)N[C@H](C)c2cccc3ccccc23)c1|CC(=O)Nc1ccc(C)c(C(=O)N[C@H](C)c2c[cH:1][cH:2]c3ccccc23)c1|CC(=O)Nc1ccc(C)c([C:1](=O)N[C@H](C)c2cccc3ccccc23)c1|CC(=O)Nc1cc(C(=O)N[C@H](C)c2cccc3ccccc23)c(C)c[cH:1]1|CC(=O)Nc1ccc(C)c(C(=O)N[C@H](C)c2cccc3c2cc[cH:2][cH:1]3)c1|CC(=O)Nc1ccc(C)c(C(=O)N[C@H](C)c2cccc3c[cH:1]ccc23)c1|CC(=O)Nc1ccc(C)c([C:1](=O)N[C@H](C)c2cccc3ccccc23)c1
5,Cc1ccc(N)cc1C(=O)N[C@H](C)c1cccc2ccccc12,Cc1ccc([NH2:1])cc1C(=O)N[C@H](C)c1cccc2ccccc12|Cc1ccc(N)cc1C(=O)N[C@H](C)c1cccc2c1cc[cH:1][cH:2]2|Cc1c[cH:1]c(N)cc1C(=O)N[C@H](C)c1cccc2ccccc12|Cc1ccc(N)cc1C(=O)N[C@H](C)c1cc[cH:1]c2ccccc12|Cc1ccc([NH2:1])cc1C(=O)N[C@H](C)c1cccc2ccccc12|Cc1cc[c:1](N)cc1C(=O)N[C@H](C)c1cccc2ccccc12|Cc1ccc(N)cc1C(=O)N[C@H](C)c1cccc2cc[cH:2][cH:1]c12|Cc1ccc([NH2:1])cc1C(=O)N[C@H](C)c1cccc2ccccc12|Cc1ccc([NH2:1])cc1C(=O)N[C@H](C)c1cccc2ccccc12|Cc1ccc(N)cc1[C:1](=O)N[C@H](C)c1cccc2ccccc12
6,Cn1cc(Nc2nccc(N3C[C@H]4CC[C@@H](C3)N4C(=O)[C@@H]3CC3(F)F)n2)cn1,Cn1cc(Nc2nccc(N3C[C@@H]4CC[C@H](C3)N4C(=O)[C@@H]3CC3(F)F)n2)c[n:1]1|Cn1cc(Nc2nccc(N3C[C@@H]4CC[C@H](C3)N4C(=O)[C@@H]3CC3(F)F)n2)c[n:1]1|Cn1cc(Nc2nccc(N3C[C@@H]4CC[C@H](C3)N4[C:1](=O)[C@@H]3CC3(F)F)n2)cn1|Cn1cc(Nc2nccc(N3C[C@@H]4CC[C@H](C3)N4C(=O)[C@@H]3C[C:1]3(F)F)n2)cn1|Cn1cc(Nc2nccc(N3C[C@@H]4CC[C@@H](N4C(=O)[C@@H]4CC4(F)F)[CH2:1]3)n2)cn1|Cn1cc(Nc2nccc(N3C[C@@H]4CC[C@H](C3)N4C(=O)[C@H]3C(F)(F)[CH2:1]3)n2)cn1|Cn1cc(Nc2nccc(N3C[C@H]4CC[C@H](N4C(=O)[C@@H]4CC4(F)F)[CH2:1]3)n2)cn1|Cn1cc(Nc2nccc(N3C[C@@H]4CC[C@H](C3)N4C(=O)[C@H]3C(F)(F)[CH2:1]3)n2)cn1|Cn1cc(Nc2nc[cH:1]c(N3C[C@@H]4CC[C@H](C3)N4C(=O)[C@@H]3CC3(F)F)n2)cn1
7,C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)[CH2:1]CN(C)C|C=CC(=O)Nc1c[c:1](Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C|COc1cc(N(C)CCN(C)C)c(NC(=O)C=[CH2:1])cc1Nc1ncc(C(=O)OC(C)C)c(-c2cn(C)c3ccccc23)n1
8,Cc1ccc([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1Cc1ccc(-c2ccc(F)cc2)s1,OC[C@H]1O[C@@H](c2ccc([CH3:1])c(Cc3ccc(-c4ccc(F)cc4)s3)c2)[C@H](O)[C@@H](O)[C@@H]1O|Cc1ccc([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1[CH2:1]c1ccc(-c2ccc(F)cc2)s1|Cc1ccc([C@@H]2O[C@H](CO)[C@@H](O)[C@H]([OH:1])[C@H]2O)cc1Cc1ccc(-c2ccc(F)cc2)s1|Cc1c[cH:1]c([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1Cc1ccc(-c2ccc(F)cc2)s1|Cc1c(Cc2ccc(-c3ccc(F)cc3)s2)cc([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c[cH:1]1|Cc1ccc([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1Cc1ccc(-c2ccc(F)cc2)[s:1]1|Cc1ccc([C@@H]2O[C@H](C[OH:1])[C@@H](O)[C@H](O)[C@H]2O)cc1Cc1ccc(-c2ccc(F)cc2)s1|Cc1ccc([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2[OH:1])cc1Cc1ccc(-c2ccc(F)cc2)s1|Cc1ccc([C@@H]2O[C@H](C[OH:1])[C@@H](O)[C@H](O)[C@H]2O)cc1Cc1ccc(-c2ccc(F)cc2)s1
10,O=C(Nc1ccc(OC(F)(F)F)cc1)c1sccc1NCc1ccnc2ccccc12,O=C(Nc1ccc(OC(F)(F)F)cc1)c1sccc1N[CH2:1]c1ccnc2ccccc12|O=C(Nc1ccc(OC(F)(F)F)cc1)c1sccc1NCc1cc[n:1]c2ccccc12|O=C(Nc1ccc(OC(F)(F)F)cc1)c1sccc1NCc1cc[n:1]c2ccccc12|O=C(Nc1ccc(OC(F)(F)F)cc1)c1sccc1NCc1c[cH:1]nc2ccccc12|O=C(Nc1ccc(OC(F)(F)F)cc1)c1c(NCc2ccnc3ccccc23)cc[s:1]1|O=C(Nc1ccc(OC(F)(F)F)cc1)c1sccc1NCc1ccnc2c1cc[cH:1][cH:2]2|O=C(Nc1ccc(OC(F)(F)F)cc1)c1sccc1NCc1ccnc2cc[cH:1]cc12|O=C(Nc1ccc(OC(F)(F)F)c[cH:1]1)c1sccc1NCc1ccnc2ccccc12|O=[C:1](Nc1ccc(OC(F)(F)F)cc1)c1sccc1NCc1ccnc2ccccc12|O=C(Nc1ccc(OC(F)(F)F)cc1)c1sc[cH:1]c1NCc1ccnc2ccccc12
11,NC1(C(=O)N[C@@H](CCO)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,NC1(C(=O)N[C@@H](CC[OH:1])c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1|NC1(C(=O)N[C@@H](CCO)c2ccc(Cl)cc2)CCN(c2ncnc3[nH][cH:1]cc23)CC1|NC1(C(=O)N[C@@H:1](CCO)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1|NC1(C(=O)N[C@@H](CC[OH:1])c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1|NC1(C(=O)N[C@@H](CCO)c2ccc(Cl)cc2)CCN(c2ncnc3[nH][cH:1]cc23)CC1|NC1(C(=O)N[C@@H](CCO)c2ccc(Cl)c[cH:1]2)CCN(c2ncnc3[nH]ccc23)CC1|NC1(C(=O)N[C@@H](CCO)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)C[CH2:1]1|NC1(C(=O)N[C@@H](CC[OH:1])c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1|NC1(C(=O)N[C@@H](CC[OH:1])c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1
