SMILES,metabolite,predict
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC,C#C[C@]1([O:1]C(C)=O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC|C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C/C(=N/[OH:1])CC[C@@H]4[C@H]3CC[C@@]21CC|C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C/[C:1](=N/[OH:1])CC[C@@H]4[C@H]3CC[C@@]21CC|C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3C[CH2:1]C4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC|C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C/[C:1](=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC|C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CC[C:1]4=[CH:1]/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC|C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C/C(=[N:1]/O)CC[C@@H]4[C@H]3CC[C@@]21CC|C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3C[CH2:1][C@@:1]21CC|C#C[C@@]1([O:1]C(C)=O)[C@@]2(CC)CC[C@H]3[C@@H](CCC4=C\C(=N/O)CC[C@@H]43)[C@@H]2C1|C#C[C@@]1([O:1]C(C)=O)[C@@]2(CC)CC[C@H]3[C@@H](CCC4=C\C(=N\O)CC[C@@H]43)[C@@H]2C1
CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)OC2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1|CC(O)(CO)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1|CC(C)(O)c1ccccc1[C@H](O)C[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1|CC(C)(O)c1ccccc1CC[C@H](c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1)S(=O)CC1(CC(=O)O)CC1|CC(C)(O)c1ccccc1CC[C@H](c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1)[S+](O)CC1(CC(=O)O)CC1|CC(C)(O)c1ccccc1[C@@H](O)C[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,CC(C)(O)c1c[cH:1]ccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1|CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)[OH:1])CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1|CC(O)(c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1)[CH3:1]|CC(C)(O)c1cc[cH:1]cc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1|C[C:1](O)(c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1)[CH3:1]|CC(C)(c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1)[OH:1]|C[C:1](C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1|CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)[cH:1]1|CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3c[cH:1]c(Cl)cc3n2)c1|CC(C)(O)c1c(CC[C@@H](SCC2(CC(=O)O)CC2)c2cccc(/C=C/c3ccc4ccc(Cl)cc4n3)c2)ccc[cH:1]1
CC(C)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1,CC(C)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2O)cc1|NCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1|CC(C)CNC(=O)c1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1|CC(C)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCC(O)C2)cc1|CC(CO)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1|CC(C)(O)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1,CC(C)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCC[CH2:1]2)cc1|CC(C)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CC[CH2:1]C2)cc1|CC(CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1)[CH3:1]|CC(C)C[NH:1]Cc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1|C[CH:1](C)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1|CC(C)[CH2:1]NCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1|CC(C[NH:1]Cc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1)[CH3:1]|CC(C)CNCc1ccc(-c2cc[cH:1]cc2S(=O)(=O)N2CCCC2)cc1|CC(C)CNCc1ccc(-c2ccccc2S(=O)(=O)[N:1]2CCCC2)cc1|C[CH:1](CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1)[CH3:1]
CC(CN1c2ccccc2Sc2ccccc21)N(C)C,CC(CN1c2ccccc2S(=O)c2ccccc21)N(C)C|CNC(C)CN1c2ccccc2Sc2ccccc21|CC(CN1c2ccccc2SC2C=CC(O)=CC21)N(C)C,CC(CN1c2ccccc2Sc2c[cH:1]ccc21)N(C)C|CC(CN1c2ccccc2Sc2cc[cH:1]cc21)N(C)C|CC(CN1c2ccccc2[S:1]c2ccccc21)N(C)C|CC(CN1c2cc[cH:1]cc2Sc2ccccc21)N(C)C|CC(CN1c2ccccc2S[c:1]2[cH:1][cH:1][cH:1][cH:1][c:1]21)N(C)C|CC(CN1c2ccccc2Sc2ccc[cH:1]c21)N(C)C|CC(CN1c2ccccc2Sc2ccccc21)[N:1](C)C|CC(CN1c2ccccc2Sc2c1ccc[cH:1]2)N(C)C|CC(C[N:1]1c2ccccc2Sc2ccccc21)N(C)C|CN(C)C(CN1c2ccccc2Sc2ccccc21)[CH3:1]
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1O|CC1(CO)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1|CC1(C)CCC(C[N+]2([O-])CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1|CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)C(=O)C2)=C(c2ccc(Cl)cc2)C1|CC1(C)CC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)C(O)C1,CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)[cH:1]c2)C1|CC1([CH3:1])CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1|CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)c[cH:1]2)C1|CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH][cH:1]cc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1|CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)[CH2:1]1|CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc([NH:1]CC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1|CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c([O:1]c4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1|CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+:1](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1|CC1(C)CCC(C[N:1]2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1|CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2cc[c:1](Cl)cc2)C1
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,CC1(C)CN2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2S1|C[C@@H](C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12)c1ccc(O)cc1|CC1(CO)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O|CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)c(O)c3)C(=O)N2[C@H]1C(=O)O|CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(OC4O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]4O)cc3)C(=O)N2[C@H]1C(=O)O,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc([OH:1])cc3)C(=O)N2[C@H]1C(=O)O|CC1([CH3:1])S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O|CC1(C)S[C@@H]2[C@H](NC(=O)[C@H:1](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O|CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)[cH:1]c3)C(=O)N2[C@H]1C(=O)O|CC1(C)S[C@@H]2[C@H]([NH:1]C(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O|CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)[OH:1]|CC1(C)S[C@@H]2[C@H](NC(=O)[C@@H](c3ccc(O)cc3)[NH2:1])C(=O)N2[C@H]1C(=O)O|CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)[N:1]2[C@H]1C(=O)O|CC1(C)S[C@@H]2[C@H](NC(=O)[C@@H:1](c3ccc(O)cc3)[NH2:1])C(=O)N2[C@H]1C(=O)O|C[C:1]1([CH3:1])S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,CCC1(c2ccc(O)cc2)C(=O)NC(=O)NC1=O,CCC1(c2ccccc2)C(=O)NC(=O)[NH:1]C1=O|CCC1(c2cc[cH:1]cc2)C(=O)NC(=O)NC1=O|CCC1(c2ccccc2)C(=O)NC(=O)N[C:1]1=[O:1]|CCC1(c2ccccc2)C(=O)[NH:1]C(=O)NC1=O|O=C1NC(=O)C(C[CH3:1])(c2ccccc2)C(=O)N1|C[CH2:1]C1(c2ccccc2)C(=O)NC(=O)NC1=O|CCC1(c2ccccc2)C(=O)NC(=O)[NH:1][C:1]1=[O:1]|CCC1(c2ccc[cH:1]c2)C(=O)NC(=O)NC1=O|CCC1(c2ccccc2)C(=O)NC(=O)[NH:1][C:1]1=O|CCC1(c2ccccc2)C(=O)N[C:1](=[O:1])NC1=O
CCC1Oc2ccccc2C1C(=O)c1cc(Br)c(O)c(Br)c1,Oc1cc(Br)c(O)c(Br)c1|CCC1Oc2ccccc2C1C(=O)c1cc(O)c(O)c(Br)c1|CCC1Oc2cc(O)ccc2C1C(=O)c1cc(Br)c(O)c(Br)c1,CCC1C(C(=O)c2cc(Br)c(O)c(Br)c2)c2ccccc2[O:1]1|CCC1Oc2ccccc2C1C(=O)c1cc(Br)c([OH:1])c(Br)c1|CCC1Oc2ccccc2[CH:1]1C(=O)c1cc(Br)c(O)c(Br)c1|CCC1C(C(=O)[c:1]2cc(Br)c(O)c(Br)c2)c2ccccc2[O:1]1|CCC1Oc2cc[cH:1]cc2C1C(=O)c1cc(Br)c(O)c(Br)c1|CCC1Oc2ccccc2C1C(=O)c1cc(Br)c(O)[c:1](Br)c1|CCC1Oc2c[cH:1]ccc2C1C(=O)c1cc(Br)c(O)c(Br)c1|CC[CH:1]1C(C(=O)c2cc(Br)c(O)c(Br)c2)c2ccccc2[O:1]1|C[CH2:1]C1Oc2ccccc2C1C(=O)c1cc(Br)c(O)c(Br)c1|CCC1Oc2ccccc2C1C(=O)c1cc(Br)c(O)c(Br)[cH:1]1
CCCCCCCCc1ccc(CCC(N)(CO)CO)cc1,CCCCCCCCc1ccc(CC[C@](N)(CO)COP(=O)(O)O)cc1,CCCCCCCCc1ccc(CCC(N)(CO)C[OH:1])cc1|CCCCCCCCc1ccc(CCC(CO)(CO)[NH2:1])cc1|CCCCCCCCc1ccc(CCC(CO)(C[OH:1])[NH2:1])cc1|C[CH2:1]CCCCCCc1ccc(CCC(N)(CO)CO)cc1|CCCCCCC[CH2:1]c1ccc(CCC(N)(CO)CO)cc1|CCCCCCCCc1ccc(CCC(N)(C[OH:1])C[OH:1])cc1|CC[CH2:1]CCCCCc1ccc(CCC(N)(CO)CO)cc1|CCCCCC[CH2:1][CH2:1]c1ccc(CCC(N)(CO)CO)cc1|CCCCCCCCc1ccc(CCC(N)(CO)[CH2:1]O)cc1|CCCCCCCCc1ccc(CC[C:1](N)(CO)C[OH:1])cc1
CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1,CCCCNc1ccc(C(=O)O)cc1,CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCC[O:1]C)cc1|CCCC[NH:1]c1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1|CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCC[O:1]CCOC)cc1|CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCC[O:1]CCOCCOC)cc1|CCCCNc1ccc(C(=O)[O:1]CCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1|CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCC[O:1]CCOCCOCCOC)cc1|CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC[CH2:1][O:1]C)cc1|CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCC[O:1]CCOCCOCCOCCOC)cc1|CCCCNc1ccc(C(=O)OCCOCCOCCOCC[O:1]CCOCCOCCOCCOCCOC)cc1|CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCO[CH3:1])cc1
