substrate,all_predictions,metabolite
COc1ccc2ccc(=O)oc2c1CC=C(C)C,COC1=CC=C2C=C(C(=O)OC2=C1CC=C(C)C)O|OC1=CC=C2C=CC(=O)OC2=C1CC=C(C)C|COC1=CC=C2C=CC(=O)OC2=C1CC3C(C)(C)O3|COC1=C(C=C2C=CC(=O)OC2=C1CC=C(C)C)O|COC1=CC=C2C=CC(=O)OC2=C1CC=C(C)CO|O=C|COC1=CC=C2C=CC(=O)OC2=C1C(C=C(C)C)O|COC1=CC=C2C3C(C(=O)OC2=C1CC=C(C)C)O3,COc1ccc2c(c1CC=C(C)C)OC(O)C(CC(=O)O)=C2|CC(C)=CCc1c(O)ccc2ccc(=O)oc12|C=C(C)/C=C/c1c(OC)ccc2ccc(=O)oc12|COc1ccc2ccc(=O)oc2c1C/C=C(\C)CO|COc1ccc2cc(O)c(=O)oc2c1CC=C(C)C
CNCc1cc(-c2ccccc2F)n(S(=O)(=O)c2cccnc2)c1,C1(C=2C(F)=CC=CC2)=CC(=CN1S(C3=CC=CN=C3)(=O)=O)C(NC)O|C1(C=2C(F)=C(C=CC2)O)=CC(=CN1S(C3=CC=CN=C3)(=O)=O)CNC|C1(C=2C(F)=CC=C(C2)O)=CC(=CN1S(C3=CC=CN=C3)(=O)=O)CNC|C1(C=2C(F)=CC=CC2)=CC(=CN1S(C3=CC=CN=C3)(=O)=O)C=O|C1(C=2C(F)=CC=CC2)=CC(=CN1S(C3=CC=C[N+](=C3)[O-])(=O)=O)CNC|C1(C=2C(F)=CC=CC2)=CC(=CN1S(C3=CC=CN=C3)(=O)=O)CN|O=C|C1(C=2C(F)=CC(=CC2)O)=CC(=CN1S(C3=CC=CN=C3)(=O)=O)CNC|C1(C=2C(F)=CC=CC2O)=CC(=CN1S(C3=CC=CN=C3)(=O)=O)CNC|NC,NCc1cc(-c2ccccc2F)n(S(=O)(=O)c2cccnc2)c1|C/[N+]([O-])=C/c1cc(-c2ccccc2F)n(S(=O)(=O)c2cccnc2)c1|O=C(O)c1cc(-c2ccccc2F)n(S(=O)(=O)c2cccnc2)c1
Cc1ccc(-n2nccn2)c(C(=O)N2CCN(c3nc4cc(Cl)ccc4o3)CCC2C)c1,C(C1=CC=C(N2N=CC=N2)C(C(=O)N3CCN(C4=NC5=CC(Cl)=CC=C5O4)CCC3C)=C1)O|CC1=CC=C(N2N=CC=N2)C(C(=O)N3CC(N(C4=NC5=CC(Cl)=CC=C5O4)CCC3C)O)=C1|CC1=CC=C(N2N=CC=N2)C(C(=O)N3CCN(C4=NC5=CC(Cl)=CC=C5O4)C(CC3C)O)=C1|CC1=CC=C(N2N=CC=N2)C(C(=O)N3CCN(C4=NC5=CC(Cl)=CC(=C5O4)O)CCC3C)=C1|CC1=CC=C(N2N=CC=N2)C(C(=O)N3C(CN(C4=NC5=CC(Cl)=CC=C5O4)CCC3C)O)=C1|CC1=CC=C(N2N=CC=N2)C(C(=O)N(CC=O)C(CCNC3=NC4=CC(Cl)=CC=C4O3)C)=C1|CC1=CC=C(N2N=CC=N2)C(C(=O)N3CCN(C4=NC5=CC(Cl)=CC=C5O4)CC(C3C)O)=C1|CC1=CC=C(N2N=CC=N2)C(C(=O)N3CCN(C4=NC5=CC(Cl)=CC=C5O4)CCC3CO)=C1|CC1=CC=C(N2N=CC=N2)C(C(=O)N(CCNC3=NC4=CC(Cl)=CC=C4O3)C(CC=O)C)=C1|CC1=CC=C(N2N=CC=N2)C(C(=O)N3CCN(C4=NC5=CC(Cl)=C(C=C5O4)O)CCC3C)=C1|CC1=CC=C(N2N=CC=N2)C(C(=O)N3CCN(C4=NC5=C(C(Cl)=CC=C5O4)O)CCC3C)=C1,Cc1ccc(-n2nccn2)c(C(=O)N2CCN(c3nc4cc(Cl)c(O)cc4o3)CCC2C)c1|Cc1ccc(-n2nccn2)c(C(=O)N2CCN(c3nc4cc(Cl)ccc4o3)CCC2CO)c1|CC1CCN(c2nc3cc(Cl)ccc3o2)CCN1C(=O)c1cc(CO)ccc1-n1nccn1
Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)/C=C/c3ccc(O)cc3)cc2)cc1,CC1=CC=C(S(=O)(=O)NC2=CC=C(C(=O)/C=C/C3=CC=CC=C3)C=C2)C=C1|C1(=CC=C(S(=O)(=O)NC2=CC=C(C(=O)C=CC3=CC=C(O)C=C3)C=C2)C=C1)CO|CC1=CC=C(S(=O)(=O)NC2=CC=C(C(=O)C3C(C4=CC=C(O)C=C4)O3)C=C2)C=C1|CC1=CC=C(S(=O)(=O)[NH](C2=CC=C(C(=O)/C=C/C3=CC=C(O)C=C3)C=C2)C4OC(C(O)C(O)C4O)C(O)=O)C=C1|CC1=CC=C(S(=O)(=O)NC2=CC=C(C(=O)/C=C/C3=CC=C(OC4OC(C(O)C(O)C4O)C(O)=O)C=C3)C=C2)C=C1|CC1=CC=C(S(=O)(=O)NC2=CC=C(C(=O)/C=C/C3=CC=C(O)C(=C3)O)C=C2)C=C1|CC1=CC=C(S(=O)(=O)NC2=CC=C(C(O)/C=C/C3=CC=C(O)C=C3)C=C2)C=C1|CC1=CC=C(S(=O)(=O)NC2=CC=C(C(=O)/C=C/C3=CC=C(O)C=C3)C(=C2)O)C=C1|CC1=CC=C(S(=O)(=O)NC2=CC=C(C(=O)CCC3=CC=C(O)C=C3)C=C2)C=C1|C(C1=CC=C(S(=O)(=O)NC2=CC=C(C(=O)/C=C/C3=CC=C(O)C=C3)C=C2)C=C1)O|CC1=CC=C(S(=O)(=O)NC2=CC=C(C(=O)/C=C/C3=CC=C(O)C=C3)C=C2)C(=C1)O,O=C(/C=C/c1ccc(O)cc1)c1ccc(NS(=O)(=O)c2ccc(CO)cc2)cc1|Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)/C=C/c3ccc(O)c(O)c3)cc2)cc1
C[C@H]1CNCCCN1S(=O)(=O)c1cccc2cncc(F)c12,C[C@H]1CNCCCN1S(=O)(=O)C2=CC=C(C3=CN=CC(F)=C23)O|CC1CNCCC(N1S(=O)(=O)C2=CC=CC3=CN=CC(F)=C23)O|C[C@H]1CNCCC(N1S(=O)(=O)C2=CC=CC3=CN=CC(F)=C23)O|C([C@H]1CNCCCN1S(=O)(=O)C2=CC=CC3=CN=CC(F)=C23)O|C[C@H]1C(NCCCN1S(=O)(=O)C2=CC=CC3=CN=CC(F)=C23)O|C[C@H]1CNCC(CN1S(=O)(=O)C2=CC=CC3=CN=CC(F)=C23)O|C[C@H]1CNCCCN1S(=O)(=O)C2=C(C=CC3=CN=CC(F)=C23)O|CC1CNCCCN1S(=O)(=O)C2=CC=CC3=C[N+](=CC(F)=C23)[O-]|C[C@H]1CNCCCN1S(=O)(=O)C2=CC=CC3=C(N=CC(F)=C23)O|C[C@H]1CNC(CCN1S(=O)(=O)C2=CC=CC3=CN=CC(F)=C23)O|CC1CNC(CCN1S(=O)(=O)C2=CC=CC3=CN=CC(F)=C23)O|C[C@H]1CNCCCN1S(=O)(=O)C2=CC=CC3=CN=C(C(F)=C23)O|C[C@H]1CNCCCN1S(=O)(=O)C2=CC(=CC3=CN=CC(F)=C23)O,C[C@H]1CNC(=O)CCN1S(=O)(=O)c1cccc2cncc(F)c12|C[C@H]1C[N+]([O-])=CCCN1S(=O)(=O)c1cccc2cncc(F)c12
C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,C[C@@H](OC1=CC(C=2C=NN(C3CC(NCC3)O)C2)=CN=C1N)C4=C(Cl)C=CC(F)=C4Cl|C[C@@H](OC1=CC(C=2C=NN(C3CCNCC3)C2)=CN=C1N)C4=C(C=CC(F)=C4Cl)SCC(NC(=O)CCC(N)C(O)=O)C(=O)NCC(O)=O|CC(OC1=CC(C=2C=NN(C3CCNCC3)C2)=CN=C1[NH2+][O-])C4=C(Cl)C=CC(F)=C4Cl|CC(C1=C(Cl)C=CC(F)=C1Cl)=O|C[C@@H](OC1=CC(C=2C=NN(C3CCNCC3)C2)=CN=C1N)C4=C(Cl)C(C=C(F)C4Cl)SCC(NC(=O)CCC(N)C(O)=O)C(=O)NCC(O)=O|CC(OC1=CC(C=2C=NN(C3CCNCC3)C2)=CN=C1N)(C4=C(Cl)C=CC(F)=C4Cl)O|C[C@@H](OC1=CC(C=2C=NN(C3CCNCC3)C2)=C[N+](=C1N)C4OC(C(O)C(O)C4O)C(O)=O)C5=C(Cl)C=CC(F)=C5Cl|C[C@@H](OC1=CC(C=2C=NN(C3CCNCC3)C2)=CN=C1NO)C4=C(Cl)C=CC(F)=C4Cl|CC(OC1=CC(C=2C=NN(C3CC(NCC3)O)C2)=CN=C1N)C4=C(Cl)C=CC(F)=C4Cl|C[C@@H](OC1=CC(C=2C=NN(C3CCNCC3)C2)=CN=C1N)C4=C(Cl)C(=CC(F)=C4Cl)O|C[C@@H](OC1=CC(C=2C=NN(C3CCNCC3)C2)=CN=C1N)C4=C(Cl)C=C(C(F)=C4Cl)O|C[C@@H](OC1=CC(C=2C=NN(C3C(CNCC3)O)C2)=CN=C1N)C4=C(Cl)C=CC(F)=C4Cl|C[C@@H](OC1=CC(C=2C=NN(C3CCNCC3)C2)=CN=C1NC4OC(C(O)C(O)C4O)C(O)=O)C5=C(Cl)C=CC(F)=C5Cl|OC1=CC(C=2C=NN(C3CCNCC3)C2)=CN=C1N|C[C@@H](OC1=CC(C=2C=NN(C(CCN)CC(O)=O)C2)=CN=C1N)C3=C(Cl)C=CC(F)=C3Cl|C[C@@H](OC1=CC(C=2C=NN(C3CCNCC3)C2)=C[N+](=C1N)[O-])C4=C(Cl)C=CC(F)=C4Cl|C=C(OC1=CC(C=2C=NN(C3CCNCC3)C2)=CN=C1N)C4=C(Cl)C=CC(F)=C4Cl|C[C@@H](OC1=CC(C=2C=NN(C3CCNCC3)C2)=CN=C1N)C4=C(Cl)C=CC(=C4Cl)SCC(NC(=O)CCC(N)C(O)=O)C(=O)NCC(O)=O|C[C@@H](OC1=CC(C=2C=NN(C3CCNCC3)C2)=CN=C1N)C4=C(Cl)C=CC(F)=C4SCC(NC(=O)CCC(N)C(O)=O)C(=O)NCC(O)=O|C([C@@H](OC1=CC(C=2C=NN(C3CCNCC3)C2)=CN=C1N)C4=C(Cl)C=CC(F)=C4Cl)O,Nc1ncc(-c2cnn(C3CCNCC3)c2)cc1O
CC(C)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1,C(C(C)CNCC1=CC=C(C2=CC=CC=C2S(=O)(=O)N3CCCC3)C=C1)O|CC(C)CNCC1=CC=C(C2=CC=CC=C2S(=O)(=O)N3CCCC3)C(=C1)O|NCC1=CC=C(C2=CC=CC=C2S(=O)(=O)N3CCCC3)C=C1|C(C1=CC=C(C2=CC=CC=C2S(=O)(=O)N3CCCC3)C=C1)=O|CC(C)CNCC1=CC=C(C2=CC=CC=C2S(=O)(=O)N3CC(CC3)O)C=C1|CC(C)CNCC1=C(C=C(C2=CC=CC=C2S(=O)(=O)N3CCCC3)C=C1)O|CC(C)CNC(C1=CC=C(C2=CC=CC=C2S(=O)(=O)N3CCCC3)C=C1)O|CC(C)CNCC1=CC=C(C2=CC=CC=C2S(=O)(=O)N3C(CCC3)O)C=C1|CC(C)CN|CC(=C)CNCC1=CC=C(C2=CC=CC=C2S(=O)(=O)N3CCCC3)C=C1|CC(C)(CNCC1=CC=C(C2=CC=CC=C2S(=O)(=O)N3CCCC3)C=C1)O|CC(C)C=O|CC(C)CNCC1=CC=C(C2=CC=C(C=C2S(=O)(=O)N3CCCC3)O)C=C1|CC(C)CNCC1=CC=C(C2=C(C=CC=C2S(=O)(=O)N3CCCC3)O)C=C1,CC(C)CNC(=O)c1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1|CC(C)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCC(O)C2)cc1|CC(CO)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1|CC(C)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2O)cc1|NCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1|CC(C)(O)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1
COc1ccc(S(=O)(=O)N2Cc3[nH]c4ccccc4c3CC2C(N)=O)cc1,COC1=CC=C(S(=O)(=O)N2C(C=3NC4=CC=CC=C4C3CC2C(N)=O)O)C=C1|COC1=CC=C(S(=O)(=O)N2CC=3NC4=C(C=CC=C4C3CC2C(N)=O)O)C=C1|O=C|COC1=CC=C(S(=O)(=O)N2CC=3NC4=CC=CC=C4C3C(C2C(N)=O)O)C=C1|COC1=CC=C(S(=O)(=O)N2CC=3NC4=CC(=CC=C4C3CC2C(N)=O)O)C=C1|COC1=CC=C(S(=O)(=O)N2CC=3NC4=CC=CC=C4C3CC2C(NC5C(C(O)C(C(O5)C(O)=O)O)O)=O)C=C1|COC1=CC=C(S(=O)(=O)N2CC=3NC4=CC=CC(=C4C3CC2C(N)=O)O)C=C1|COC1=CC=C(S(=O)(=O)N2CC=3NC4=CC=C(C=C4C3CC2C(N)=O)O)C=C1|COC1=CC=C(S(=O)(=O)N2CC=3NC4=CC=CC=C4C3CC2C(N)=O)C(=C1)O|OC1=CC=C(S(=O)(=O)N2CC=3NC4=CC=CC=C4C3CC2C(N)=O)C=C1,COc1ccc(S(=O)(=O)N2Cc3[nH]c4ccccc4c3C=C2C(N)=O)cc1|COc1ccc(S(=O)(=O)N2Cc3[nH]c4ccccc4c3CC2C(N)=O)cc1O|NC(=O)C1Cc2c([nH]c3ccccc23)CN1S(=O)(=O)c1ccc(O)cc1
Cc1cc(N2CCN([C@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2ccccc2)n1,CC=1C=C(N2CCN([C@H]3C(N[C@H](C(=O)N4CCSC4)C3)O)CC2)N(C5=CC=CC=C5)N1|CC=1C=C(N2CC(N([C@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)O)N(C5=CC=CC=C5)N1|C=1(C=C(N2CCN(C3CNC(C(=O)N4CCSC4)C3)CC2)N(C5=CC=CC=C5)N1)CO|CC=1C=C(N2CCN([C@H]3CN[C@H](C(=O)N4CCS(C4)=O)C3)CC2)N(C5=CC=CC=C5)N1|CC=1C=C(N2CCN(C3(CN[C@H](C(=O)N4CCSC4)C3)O)CC2)N(C5=CC=CC=C5)N1|C(C=1C=C(N2CCN([C@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)N(C5=CC=CC=C5)N1)O|CC=1C=C(N2CCN([C@H]3CN[C@H](C(=O)N4C(CSC4)O)C3)CC2)N(C5=CC=CC=C5)N1|CC=1C=C(N2C(CN([C@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)O)N(C5=CC=CC=C5)N1|CC=1C=C(NCCN(CC=O)[C@H]2CN[C@H](C(=O)N3CCSC3)C2)N(C4=CC=CC=C4)N1|C1(CN[C@H](C(=O)N2CCSC2)C1)=O|CC=1C=C(N2CC[N+]([C@H]3CN[C@H](C(=O)N4CCSC4)C3)(CC2)[O-])N(C5=CC=CC=C5)N1|CC=1C=C(N2CCN([C@H]3CN[C@H](C(=O)N4CC(SC4)O)C3)CC2)N(C5=CC=CC=C5)N1|CC=1C=C(N2CCN([C@H]3CN[C@H](C(=O)N4CCSC4)C3O)CC2)N(C5=CC=CC=C5)N1|CC=1C=C(N2CCN(C3CNC(C(=O)N4CCSC4)C3)CC2)N(C5=CC=C(C=C5)O)N1|CC=1C=C(N2CCNCC2)N(C3=CC=CC=C3)N1,Cc1cc(N2CCN([C@H]3CN[C@H](C(=O)N4CCS(=O)C4)C3)CC2)n(-c2ccccc2)n1|Cc1cc(N2CCN([C@H]3CN[C@H](C(=O)O)C3)CC2)n(-c2ccccc2)n1|O=C([C@@H]1C[C@@H](N2CCN(c3cc(CO)nn3-c3ccccc3)CC2)CN1)N1CCSC1
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,CC1(CCC(=C(C1)C2=C(C=C(C=C2)Cl)O)CN3CCN(CC3)C4=CC=C(C(=C4)OC=5C=C6C=CNC6=NC5)C(=O)NS(=O)(=O)C7=CC=C(C(=C7)[N+](=O)[O-])NCC8CCOCC8)C|CC1(CCC(=C(C1)C2=CC=C(C=C2)Cl)C(N3CCN(CC3)C4=CC=C(C(=C4)OC=5C=C6C=CNC6=NC5)C(=O)NS(=O)(=O)C7=CC=C(C(=C7)[N+](=O)[O-])NCC8CCOCC8)O)C|CC1(CCC(=C(C1)C2=CC=C(C=C2)Cl)CN3CCN(CC3)C4=CC=C(C(=C4)OC=5C=C6C=CNC6=NC5)C(=O)NS(=O)(=O)C7=CC=C(C(=C7)NO)NCC8CCOCC8)C|CC1(CCC(=C(C1)C2=CC=C(C=C2)Cl)C=O)C|CC1(CCC(=C(C1)C2=CC=C(C=C2)Cl)CN3CC[N+](CC3)(C4=CC=C(C(=C4)OC=5C=C6C=CNC6=NC5)C(=O)NS(=O)(=O)C7=CC=C(C(=C7)[N+](=O)[O-])NCC8CCOCC8)[O-])C|CC1(CCC(=C(C1)C2=CC=C(C=C2)Cl)CN3CCN(CC3)C4=CC=C(C(=C4)OC=5C=C6C=CNC6=NC5)C(=O)NS(=O)(=O)C7=CC=C(C(=C7)[N+](=O)[O-])N)C|CC1(CCC(=C(C1)C2=CC(=C(C=C2)Cl)O)CN3CCN(CC3)C4=CC=C(C(=C4)OC=5C=C6C=CNC6=NC5)C(=O)NS(=O)(=O)C7=CC=C(C(=C7)[N+](=O)[O-])NCC8CCOCC8)C|CC1(CCC(=C(C1)C2=CC=C(C=C2)Cl)CN3CCN(CC3)C4=CC=C(C(=C4)OC=5C=C6C=CNC6=NC5)C(=O)NS(=O)(=O)C7=CC=C(C(=C7)N)NCC8CCOCC8)C|CC1(CCC2(C(C1)(C3=CC=C(C=C3)Cl)O2)CN4CCN(CC4)C5=CC=C(C(=C5)OC=6C=C7C=CNC7=NC6)C(=O)NS(=O)(=O)C8=CC=C(C(=C8)[N+](=O)[O-])NCC9CCOCC9)C|CC1(CCC(=C(C1)C2=CC=C(C=C2)Cl)CN3CC(N(CC3)C4=CC=C(C(=C4)OC=5C=C6C=CNC6=NC5)C(=O)NS(=O)(=O)C7=CC=C(C(=C7)[N+](=O)[O-])NCC8CCOCC8)O)C|CC1(CCC(=C(C1)C2=CC=C(C=C2)Cl)CN3CCN(CC3)C4=CC=C(C(=C4)OC=5C=C6C=CNC6=NC5)C(=O)NS(=O)(=O)C7=CC=C(C(=C7)N=O)NCC8CCOCC8)C|CC1(CCC(=C(C1)C2=CC=C(C=C2)Cl)C[N+]3(CCN(CC3)C4=CC=C(C(=C4)OC=5C=C6C=CNC6=NC5)C(=O)NS(=O)(=O)C7=CC=C(C(=C7)[N+](=O)[O-])NCC8CCOCC8)[O-])C|CC1(CCC(=C(C1)C2=CC=C(C=C2)Cl)CN3CCN(CC3)C4=CC=C(C(=C4)OC=5C=C6C=CNC6=NC5)C(=O)NS(=O)(=O)C7=CC=C(C(=C7)[N+](=O)[O-])NCC8C(COCC8)O)C|CC1(CCC(=C(C1)C2=CC=C(C=C2)Cl)CN3CCN(CC3)C4=CC=C(C(=C4)OC=5C=C6C=CNC6=NC5)C(=O)NS(=O)(=O)C7=CC=C(C(=C7)[N+](=O)[O-])NCC8CC(OCC8)O)C|CC1(CCC(=C(C1)C2=CC=C(C=C2)Cl)CN3CCN(CC3)C4=CC=C(C(=C4)OC=5C=C6C=CNC6=NC5)C(=O)[NH](S(=O)(=O)C7=CC=C(C(=C7)[N+](=O)[O-])NCC8CCOCC8)C9OC(C(O)C(O)C9O)C(O)=O)C|CC1(CCC(=C(C1)C2=CC=C(C=C2)Cl)CN3C(CN(CC3)C4=CC=C(C(=C4)OC=5C=C6C=CNC6=NC5)C(=O)NS(=O)(=O)C7=CC=C(C(=C7)[N+](=O)[O-])NCC8CCOCC8)O)C|N1CCN(CC1)C2=CC=C(C(=C2)OC=3C=C4C=CNC4=NC3)C(=O)NS(=O)(=O)C5=CC=C(C(=C5)[N+](=O)[O-])NCC6CCOCC6|CC1(CCC(=C(C1)C2=CC=C(C=C2)Cl)CN(CC=O)CCNC3=CC=C(C(=C3)OC=4C=C5C=CNC5=NC4)C(=O)NS(=O)(=O)C6=CC=C(C(=C6)[N+](=O)[O-])NCC7CCOCC7)C|C(C1CCOCC1)=O|C(C1(CCC(=C(C1)C2=CC=C(C=C2)Cl)CN3CCN(CC3)C4=CC=C(C(=C4)OC=5C=C6C=CNC6=NC5)C(=O)NS(=O)(=O)C7=CC=C(C(=C7)[N+](=O)[O-])NCC8CCOCC8)C)O,CC1(C)CC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)C(O)C1|CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1O|CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)C(=O)C2)=C(c2ccc(Cl)cc2)C1|CC1(CO)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1|CC1(C)CCC(C[N+]2([O-])CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1
